id,n_models,source,title,doi,registration,estimation,model_notes,data,status,exclusion_reason,exclusion_reason_notes
p00409,4,published,Boundaries in spatial cognition: Looking like a boundary is more important than being a boundary,10.1037/xlm0000760,none,OLS,ANOVA,https://supp.apa.org/psycarticles/supplemental/xlm0000760/XLM-2019-0666_Negen.xlsx,completed,Included,NA
p00487,5,published,Water is and is not Hâ‚‚O,10.1111/mila.12234,none,OLS,ANOVA,https://osf.io/f44hq/files/,completed,Included,NA
p00516,5,published,A model for two-digit number processing based on a joint Garner and system factorial technology analysis,10.1037/xge0000679,none,OLS (RM),Mixed ANOVA,https://data.mendeley.com/datasets/fr5dwz8ttz/1,completed,Included,NA
p00562,15,published,The confirmation and prevalence biases in visual search reflect separate underlying processes,10.1037/xhp0000714,none,OLS (RM),Mixed ANOVA,https://osf.io/2u4py/,completed,Included,NA
p00576,2,published,Dynamic visual noise has the same effect on visual memory and visual imagery tasks,10.1037/pne0000183,none,OLS (RM),Mixed ANOVA,http://dx.doi.org/10.1037/pne0000183.supp,completed,Included,NA
p00577,3,published,Rapid holistic perception and evasion of road hazards,10.1037/xge0000665,none,OLS (RM),Mixed ANOVA,https://osf.io/cen28/,completed,Included,NA
p00655,6,published,"The opposite of stress: The relationship between vagal tone, creativity, and divergent thinking",10.1027/1618-3169/a000483,none,OLS,Regression,https://osf.io/d4s6q/,completed,Included,NA
p00682,3,published,Authoritative maternal parenting associates with the explicit need for autonomy,10.1027/1614-0001/a000309,none,OLS,Regression,https://osf.io/6hqju/files/,completed,Included,NA
p00713,2,published,Experienced category variability modulates the impact of context on evaluative judgments,10.1027/1618-3169/a000469,none,OLS (RM),Mixed ANOVA,https://osf.io/m7azk/,completed,Included,NA
p00723,1,published,On the characteristics of sustained attention test performance: The role of the preview benefit,10.1027/1015-5759/a000543,none,OLS (RM),Repeated measures ANOVA,https://econtent.hogrefe.com/doi/suppl/10.1027/1015-5759/a000543,completed,Included,NA
p00743,4,published,Incidental fear reduces empathy for an out-group's pain,10.1037/emo0000714,none,OLS + ,ANOVA + mixed ANOVA,https://osf.io/aqfs9/,completed,Included,NA
p00774,2,published,Situated embodiment:  When physical weight does and does not inform judgments of importance,http://psyarxiv.com/jmurp/ ,none,OLS,ANOVA,https://osf.io/cka4d/,completed,Included,NA
p00827,13,published,It's only funny if we say it: Disparagement humor is better received if it originates from a member of the group being disparaged,10.1016/j.jesp.2019.103838,preregistered,OLS + ,ANOVA,https://osf.io/2cvm5/?view_only=fac6abc8a7fd4f7ebe20df1912a0da2b,completed,Included,NA
p00835,2,published,Vision and proprioception make equal contributions to path integration in a novel homing task,10.1016/j.cognition.2019.06.010,none,OLS (RM),Repeated measures ANOVA,https://osf.io/tq7av/,completed,Included,NA
p00856,23,published,Using reappraisal to regulate negative emotion after the 2016 U.S. Presidential election: Does emotion regulation trump political action?,10.1037/pspp0000200,none,OLS,"ANOVA, regression, mediation",https://osf.io/j6u3t/,completed,Included,NA
p00959,9,published,A negativity bias in detail generation during event simulation,10.1037/emo0000647,none,OLS (RM),Mixed ANOVA,https://osf.io/afr5y/,completed,Included,NA
p01033,10,published,List-method directed forgetting after prolonged retention interval: Further challenges to contemporary accounts,10.1016/j.jml.2019.02.002,none,OLS + ,ANOVA + RM ANOVA,https://osf.io/d5ky6/,completed,Included,NA
p01041,3,published,Independent recollection-familiarity ratings: Similar effects of levels-of-processing whether amount or confidence is rated,10.1037/cep0000161,none,OLS + ,ANOVA + mixed ANOVA,osf.io/8gyns,completed,Included,NA
p01071,4,published,Attitude change via repeated evaluative pairings versus evaluative statements: Shared and unique features,10.1037/pspa0000151,none,OLS + ,Regression + mixed effects models,https://osf.io/serq4/,completed,Included,NA
p01100,4,published,Preregistered Replication of ‚ÄúFeeling superior is a bipartisan issue: Extremity (not direction) of political views predicts perceived belief superiority‚Äù,http://psyarxiv.com/hfuas/,preregistered,OLS + ,Regression + mixed effects models,https://osf.io/x79pm/,completed,Included,NA
p01136,5,published,Individual differences in cognitive map accuracy: Investigating the role of landmark familiarity,10.1037/cep0000165,none,OLS + ,ANOVA + MANOVA,https://osf.io/kjz9b/files/,completed,Included,NA
p01147,2,published,Perception of a surface split induced by globally inconsistent kinetic occlusion: Objects with salient parts break apart easily,10.1037/xge0000530,none,OLS (RM),Repeated measures ANOVA,https://supp.apa.org/psycarticles/supplemental/xge0000530/xge0000530_supp.html,completed,Included,NA
p01162,3,published,Self-approach tendencies: Relations with explicit and implicit self-evaluations,10.3389/fpsyg.2019.00309,none,OLS (RM),Repeated measures ANOVA,https://osf.io/zxqk2/,completed,Included,NA
p01173,1,published,Individual differences in sensitivity to visuomotor discrepancies,10.3389/fpsyg.2019.00144,none,OLS + ,Regression + Spearman correlation + FA,https://osf.io/kt326/,completed,Included,NA
p01182,5,published,Grasp planning for object manipulation without simulation of the object manipulation action,10.1037/xhp0000602,none,OLS (RM),Repeated measures ANOVA,https://osf.io/a67cy/,completed,Included,NA
p01192,4,published,Predictive validity and adjustment of ideal partner preferences across the transition into romantic relationships,10.1037/pspp0000170,preregistered,OLS + ,Regression  + FA,https://supp.apa.org/psycarticles/supplemental/pspp0000170/pspp0000170_supp.html,completed,Included,NA
p01193,8,published,"Humorous cognitive reappraisal: More benign humour and less ""dark"" humour is affiliated with more adaptive cognitive reappraisal strategies",10.1371/journal.pone.0211618,none,OLS,Regression,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0211618#sec017,completed,Included,NA
p01218,4,published,The expression of ego depletion: Thin slices of nonverbal behavior as cues to momentary self-control capacity,10.1027/1864-9335/a000370,none,OLS (RM),Repeated measures ANOVA,https://osf.io/86cre/?view_only=c1cc4381077a4aa3978b633e6501b49d,completed,Included,NA
p01235,13,published,Complex social identities and intergroup relations: Gateway groups in the western Balkans,10.1027/1864-9335/a000379,none,OLS,t-tests,https://osf.io/p9xvf/,completed,Included,NA
p01304,5,published,Crowdsourced measurement of reaction times to audiovisual stimuli with various degrees of asynchrony,10.1177/0018720818787126,none,OLS,Welch t-test,https://data.4tu.nl/articles/dataset/Supplementary_data_for_the_following_paper_Crowdsourced_measurement_of_reaction_times_to_audiovisual_stimuli_with_various_degrees_of_asynchrony_/12697760,completed,Included,NA
p01308,3,published,Conflict Monitoring or Multi-tasking? Tracking Within-Task Performance in Single-item and Multi-item Stroop Tasks,http://psyarxiv.com/e8bjg/,none,OLS (RM),Repeated measures ANOVA,https://osf.io/geuxn/ ,completed,Included,NA
p01386,3,published,Infants distinguish between leaders and bullies,10.1073/pnas.1801677115,none,OLS (RM),Mixed ANOVA,https://www.pnas.org/doi/full/10.1073/pnas.1801677115#supplementary-materials,completed,Included,NA
p01392,4,published,Attachment buffers the physiological impact of social exclusion,10.1371/journal.pone.0203287,none,OLS + ,Regression + mixed ANOVA,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0203287#sec021,completed,Included,NA
p01422,5,published,Use of behavioural and physiological responses for scoring sound sensitivity in dogs,10.1371/journal.pone.0200618,none,OLS (RM),Repeated measures ANOVA,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0200618#sec014,completed,Included,NA
p01483,6,published,Companion and free-ranging Bali dogs: Environmental links with personality traits in an endemic dog population of South East Asia,10.1371/journal.pone.0197354,none,OLS,Regression,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0197354#sec013,completed,Included,NA
p01530,4,published,Following one's true self and the sacredness of cultural values,10.1016/j.jesp.2018.01.001,preregistered,OLS (RM),Repeated measures ANOVA + paired t-test,https://osf.io/fbtrm/?view_only=c9e5b77457d841dfb2d794fa7e34464a,completed,Included,NA
p01552,2,published,Reward learning and statistical learning independently influence attentional priority of salient distractors in visual search,http://psyarxiv.com/tzwyp/ ,none,OLS (RM),Repeated measures ANOVA,https://osf.io/zg3nr/,completed,Included,NA
p01635,1,published,Heat and fraud: Evaluating how room temperature influences fraud likelihood,http://psyarxiv.com/mt8pv/,registered report,OLS + ,ANOVA + non-parametric,https://osf.io/pr475,completed,Included,NA
p01678,5,published,Perceiving and remembering affordances for others are continuous processes,10.1027/1618-3169/a000424,none,OLS,t-tests + ANOVAS,https://econtent.hogrefe.com/doi/10.1027/1618-3169/a000424,completed,Included,NA
p01693,6,published,When a reactivated visual mask disrupts serial recall: Evidence that refreshing relies on memory traces reactivation in working memory,10.1027/1618-3169/a000414,none,OLS (RM),Paired t-tests,https://doi.org/10.1027/1618-3169/a000414,completed,Included,NA
p01701,1,published,Directional bias for vertical integration of motion trajectories: Investigation of an ambiguous bouncing-bouncing display,10.1027/1618-3169/a000410,none,OLS (RM),Repeated measures ANOVA,https://doi.org/10.1027/618-3169/a000410,completed,Included,NA
p01792,1,published,Proprioceptive assessment in clinical settings: Evaluation of joint position sense in upper limb post-stroke using a robotic manipulator,10.1371/journal.pone.0183257,none,OLS (RM),Repeated measures ANOVA,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0183257#sec018,completed,Included,NA
p01901,3,published,False-belief reasoning from 3 to 92 years of age,10.1371/journal.pone.0185345,none,OLS,Regression,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0185345#sec011,completed,Included,NA
p02873,1,published,The functional intelligences proposition,10.1016/j.paid.2016.04.057,none,OLS + ,Regression + path analysis,https://www.sciencedirect.com/science/article/pii/S019188691630318X#s0050,completed,Included,NA
p03274,8,published,"Enhancing cognitive abilities with comprehensive training: A large, online, randomized, active-controlled trial",10.1371/journal.pone.0134467,Registered Clinical Trial,OLS,Regression + ANCOVA,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0134467,completed,Included,NA
r00443,10,published,Van Tongeren et al. (2020) - PSPB - Religious Residue and Morality,http://psyarxiv.com/pzj4q/,preregistered,OLS + ,ANOVA + mediation,https://osf.io/p9gye/,completed,Included,NA
r00482,8,published,Late-Action Effect: Heightened Counterfactual Potency and Perceived Outcome Reversibility Make Actions Closer to a Definitive Outcome Seem More Impactful,http://psyarxiv.com/t4xz5/,preregistered,OLS + ,ANOVA + mediation + mixed effects,https://osf.io/ubmyj/,completed,Included,NA
r00545,19,published,Should you save the more useful? The effect of generality on moral judgments about rescue and indirect effects,http://psyarxiv.com/cynxq/,preregistered,OLS,t-tests + ANOVAS,https://osf.io/fz7q2/,completed,Included,NA
r00646,3,published,Proximity and Expectancy Modulate Response Vigor After Reward Omission,https://doi.org/10.1525/collabra.18184,none,OLS (RM),Repeated measures ANOVA,https://osf.io/vuy95/,completed,Included,NA
r01085,2,published,Changes in risk perception and protective behavior during the first week of the COVID-19 pandemic in the United States,http://psyarxiv.com/dz428/,none,OLS,Regression + ANOVA,https://github.com/tobywise/covid19-risk-perception,completed,Included,NA
r01288,4,published,Information about herd immunity and empathy promote COVID-19 vaccination intentions,http://psyarxiv.com/wzu6k/,preregistered,OLS,Regression,https://osf.io/4395f/,completed,Included,NA
r01883,7,published,You Can't Always Get What You Want and It Hurts: Learning During the Pandemic,http://psyarxiv.com/wqdx8/,none,OLS + ,ANOVA + MANOVA,https://osf.io/ukjex/,completed,Included,NA
r02896,2,published,Engagement with fat talk as a function of social comparison and body image concerns: Two replication studies support main effects but do not support an interaction effect.,10.1016/j.bodyim.2021.05.005,none,OLS,Regression,https://osf.io/uyw9e/,completed,Included,NA
r05771,4,published,A pre-registered test of competing theories to explain ego depletion effects using psychophysiological indicators of mental effort,http://psyarxiv.com/ufk52/,preregistered,OLS,t-tests + ANOVA,https://osf.io/kxb2c/,completed,Included,NA
u00005,1,unpublished,The COVID-19 Pandemic’s Impact on OCD Symptoms Varies Widely,http://psyarxiv.com/h8wyt/,preregistered,OLS,t-test,https://osf.io/3hs6a/files/osfstorage,completed,Included,NA
u00161,1,unpublished,Drawn to distraction: Anxiety impairs neural suppression of known distractor featuresin visual search,http://psyarxiv.com/98jur/,none,OLS (RM),Repeated measures ANOVA,https://osf.io/5ak2y/?view_only=d3b720a10ca34bcdacefce94ca54a1b8,completed,Included,NA
u00176,4,unpublished,Stereotype accommodation concerning older people,http://psyarxiv.com/635qn/,none,OLS,Regression,https://osf.io/ste6x/,completed,Included,NA
u00215,5,unpublished,Believing in Hidden Plots is Associated with Decreased Behavioral Trust: Conspiracy Belief as Greater Sensitivity to Social Threat or Insensitivity Towards its Absence?,http://psyarxiv.com/74ugt/,preregistered,OLS + ,Regression + repeated measures ANOVA,https://osf.io/guqn5/,completed,Included,NA
u00270,5,unpublished,"Religion Does Not Inhibit Belief in Science, but Non-Religious People Think it Does",http://psyarxiv.com/536w7/,preregistered,OLS + ,Regression + mixed effects models,https://osf.io/7v4hd/,completed,Included,NA
u00420,1,unpublished,Embedding Reflection on Graduate Attributes in the Psychology Curriculum: The Impact on Self-Efficacy and the Perceived Value of Graduate Attributes,http://psyarxiv.com/m3c69/,none,OLS + ,t-test + Wilcoxon,https://osf.io/yzp75/,completed,Included,NA
u00434,5,unpublished,Humans monitor learning progress in curiosity-driven exploration,http://psyarxiv.com/7dbr6/,none,OLS + ,Regression + mixed ANOVA,https://osf.io/k2yur/,completed,Included,NA
u00435,3,unpublished,Is there a memory bias for high calorie food images?,http://psyarxiv.com/c6a73/,preregistered,OLS (RM),Repeated measures ANOVA,https://osf.io/tgzm4/?view_only=5f8feefc7bfa4f16ba679b32746c8600,completed,Included,NA
u00458,10,unpublished,Perceptual vs. automated judgments of music copyright infringement,http://psyarxiv.com/tq7v5/,none,OLS + ,t-test + regression + ROC,https://github.com/comp-music-lab/music-copyright,completed,Included,NA
u00540,10,unpublished,Continuities and discontinuities in the cognitive mechanisms associated with clinical and non-clinical auditory verbal hallucinations,http://psyarxiv.com/pgaz2/,none,OLS (RM),Repeated measures ANOVA,https://osf.io/er5yx/,completed,Included,NA
u00575,4,unpublished,The Effect of Variety on Perceived Quantity: Failures to Replicate Redden and Hoch (2009),http://psyarxiv.com/v643q/,none,OLS (RM),Repeated measures ANOVA,https://osf.io/9s4w7/files/,completed,Included,NA
u00613,12,unpublished,The Psychology of Morbid Curiosity,http://psyarxiv.com/xug34/,none,OLS + ,FA + regression,https://osf.io/gv52a/,completed,Included,NA
u00620,5,unpublished,Statistical vs. Identifiable Victims in Donation Appeals,http://psyarxiv.com/jf4wk/,preregistered,OLS + ,t-tests + chi-square,https://osf.io/pvadg/,completed,Included,NA
u00641,2,unpublished,Evaluating the Efficacy of Multi-Sensory Stimulations on Simulator Sickness and Sense of Presence during HMD-mediated VR Experience,http://psyarxiv.com/uv9sd/,none,OLS,ANOVA,10.5281/zenodo.4287334,completed,Included,NA
u00669,4,unpublished,Thinking about thinking: People Underestimate Intrinsically Motivating Experiences of Waiting,http://psyarxiv.com/r6mde/,none,OLS (RM),Mixed ANOVA + RM t-test + LMM,https://osf.io/a8bwm/,completed,Included,NA
u00679,4,unpublished,The superiority of up/down over left/right in metaphorical association with emotion,http://psyarxiv.com/e8mvw/,preregistered,OLS (RM),Repeated measures t-test,https://osf.io/m4eqa/,completed,Included,NA
u00730,3,unpublished,The Unexpected Social Consequences of Diverting Attention to our Phones,http://psyarxiv.com/7mjax/,preregistered,OLS + ,Linear regression + chi-square,https://osf.io/kf38m/,completed,Included,NA
u00788,4,unpublished,Working memory content is distorted by its use in perceptual comparisons,http://psyarxiv.com/96axn/,none,OLS + ,t-tests + mixture density model,https://osf.io/5v7sg/,completed,Included,NA
u00823,5,unpublished,Why has the COVID-19 pandemic increased support for Universal Basic Income?,http://psyarxiv.com/csr3u/,preregistered,OLS,Regression,https://osf.io/vkchq/ ,completed,Included,NA
u00975,8,unpublished,Dissociating conscious and unconscious influences on visual detection effects,http://psyarxiv.com/3ynxe/,none,OLS (RM),Mixed ANOVA,https://osf.io/sn8cr/,completed,Included,NA
u01028,4,unpublished,On the realness of people who do not exist: the social processing of artificial faces,http://psyarxiv.com/dnk9x/,preregistered,OLS + ,ANOVAs ,https://osf.io/2f4n9,completed,Included,NA
u01114,3,unpublished,Effects of Affctive Ambiguity on Emotion Regulation through Affect Labeling,http://psyarxiv.com/45rdu/,none,OLS (RM),Repeated measures ANOVA,https://osf.io/r2nv6/,completed,Included,NA
u01144,6,unpublished,"Developmental disparities between stimulus-response and stimulus-stimulus conflicts processing during childhood, adolescence, and early adulthood",http://psyarxiv.com/5hdxv/,none,OLS,ANOVA,https://osf.io/n869w/,completed,Included,NA
u01186,14,unpublished,The pictures who shall not be named: Empirical support for benefits of preview in the Visual World Paradigm,http://psyarxiv.com/rjzsy/,none,OLS,ANOVA,https://osf.io/e9rn7?view_only=a04696f4475c4613a29d40582f7d493f,completed,Included,NA
u01190,10,unpublished,Fear of contamination and public opinion on nuclear energy,http://psyarxiv.com/wdvuq/,none,OLS,ANOVA,https://osf.io/rhwe7,completed,Included,NA
u01250,8,unpublished,Using space to remember: Short-term spatial structure spontaneously improves working memory,http://psyarxiv.com/8bwyh/,preregistered,OLS (RM),Repeated measures ANOVA + t-test,https://osf.io/dmgw8,completed,Included,NA
u01344,3,unpublished,The Impact of COVID-19 Probability and Cost Estimates on Worry and Health Behavior Compliance in Young Adults,http://psyarxiv.com/cn8dy/,none,OLS,Regression,https://osf.io/cgzsd/ ,completed,Included,NA
u01353,2,unpublished,The Multiple Matching Perspective on Value versus Identity: Investigating How Political Ideology and Party Identity Contribute to Citizens' Support for Political Candidates,http://psyarxiv.com/t7jh9/,none,OLS,regression,https://osf.io/empkz/,completed,Included,NA
u01372,6,unpublished,Replicating and stress-testing behavioural profiles following feedback:  Assessing the interpretation of neutral outcomes,http://psyarxiv.com/cqeg7/,none,OLS (RM),Repeated measures ANOVA,https://osf.io/a5nh4,completed,Included,NA
u01401,5,unpublished,Can You Believe it? An Investigation into the Impact of Retraction Source Credibility on the Continued Influence Effect,http://psyarxiv.com/qt4w8/,none,OLS (RM),Repeated measures ANOVAs + mixed effect models,https://osf.io/awsf5/,completed,Included,NA
u01454,3,unpublished,Forward optic flow is prioritised in visual awareness independently of walking direction,http://psyarxiv.com/dv35h/,none,OLS (RM),Repeated measures ANOVA,https://github.com/Pawel-Motyka/SMPVR/blob/master/SMPVR_main_analysis.Rmd ,completed,Included,NA
