Participant	Condition2	T	C	U
40	Text	0.483986562	0.143868981	0.137164054
43	Text	0.5234375	0.148105053	0.118808178
51	Text	0.465314716	0.12045656	0.088721742
53	Text	0.367159796	0.133366578	0.131565824
55	Text	0.57989805	0.11264406	0.057347074
60	Text	0.396541161	0.117160521	0.069413501
64	Text	0.416870892	0.116575693	0.113651554
65	Text	0.444952349	0.163120567	0.105524158
66	Text	0.466442018	0.112398351	0.07977331
68	Text	0.41065492	0.110566268	0.087876773
70	Text	0.447114849	0.145315807	0.122744235
71	Text	0.494985594	0.129986702	0.116425643
72	Text	0.338491296	0.112356355	0.10528786
78	Text	0.453457447	0.132036791	0.128421432
3	None	0.484319592	0.125609486	0.08586824
12	None	0.22593851	0.057814415	0.0443216
13	None	0.128327949	0.088949538	0.039963239
14	None	0.174950133	0.045212766	0.03451906
19	None	0.306811853	0.03756823	0.036189707
24	None	0.316295434	0.083444149	0.061391844
25	None	0.442575471	0.071794586	0.059527125
27	None	0.349137435	0.135566417	0.121794135
28	None	0.386109264	0.103806516	0.083291777
34	None	0.46647828	0.096077128	0.056876108
36	None	0.441766401	0.117436835	0.097462323
37	None	0.409435949	0.131510417	0.098944481
39	None	0.432494152	0.144563885	0.102860087
46	None	0.271304445	0.087222903	0.076236493
49	None	0.484153949	0.089979949	0.046911552
50	None	0.441851398	0.077336527	0.070165423
54	None	0.431797928	0.142530912	0.133800267
59	None	0.408161569	0.129294105	0.097711658
63	None	0.148537945	0.02699397	0.019726362
73	None	0.440570346	0.122451821	0.110852735
74	None	0.342170878	0.065630541	0.059355607
75	None	0.394503546	0.089317376	0.076185727
76	None	0.474490364	0.178873789	0.142600535
79	None	0.518007535	0.136552527	0.087475066
101	Self-paced	0.432541002	0.109430408	0.078305075
102	Self-paced	0.500056587	0.200373472	0.118096424
103	Self-paced	0.515369541	0.156830907	0.111030235
104	Self-paced	0.455812278	0.128435284	0.074481937
105	Self-paced	0.427342096	0.122284728	0.080399911
106	Self-paced	0.550016709	0.166759496	0.10265122
107	Self-paced	0.557508076	0.157819984	0.108151387
108	Self-paced	0.374930378	0.111089451	0.084493706
109	Self-paced	0.504654255	0.143229167	0.082377549
110	Self-paced	0.357446809	0.131550952	0.120240761
111	Self-paced	0.497395833	0.131759752	0.06747285
112	Self-paced	0.447473404	0.118018617	0.067181959
113	Self-paced	0.445316897	0.132443994	0.094520432
114	Self-paced	0.404587766	0.086325355	0.040419991
115	Self-paced	0.504830362	0.142150661	0.087722829
116	Self-paced	0.457917775	0.160377881	0.079801086
117	Self-paced	0.55695922	0.172678413	0.091395168
118	Self-paced	0.519198803	0.184258644	0.117104388
119	Self-paced	0.527648493	0.194896941	0.121176862
120	Self-paced	0.398100702	0.138520664	0.104865211
121	Self-paced	0.555530801	0.127548179	0.07884037
122	Self-paced	0.439051418	0.123337766	0.081657247
201	VisSameLocs	0.529916695	0.109647642	0.068980074
202	VisSameLocs	0.124584441	0.045212766	0.013062389
204	VisSameLocs	0.579454787	0.14680297	0.076158023
205	VisSameLocs	0.067458998	0.008560505	0.007701684
206	VisSameLocs	0.551861702	0.147329344	0.087045656
207	VisSameLocs	0.464677527	0.143644725	0.07315215
208	VisSameLocs	0.139606773	0.03728974	0.021137351
209	VisSameLocs	0.496343085	0.12109375	0.064563941
210	VisSameLocs	0.460732984	0.111785675	0.082822769
211	VisSameLocs	0.515735816	0.13444703	0.107989805
212	VisSameLocs	0.550587323	0.154753989	0.086893285
214	VisSameLocs	0.372977615	0.026152482	0.009100731
215	VisSameLocs	0.497063387	0.119708555	0.083361037
216	VisSameLocs	0.442237367	0.09538453	0.042248449
217	VisSameLocs	0.358053916	0.089506517	0.061755041
218	VisSameLocs	0.519171099	0.133726729	0.079801086
220	VisSameLocs	0.419686392	0.199662012	0.10497008
221	VisSameLocs	0.393310683	0.12777097	0.058803052
222	VisSameLocs	0.5447418	0.156166888	0.120650488
223	VisSameLocs	0.406984516	0.161078311	0.095521889
224	VisSameLocs	0.49836547	0.134142287	0.107948249
225	VisSameLocs	0.317957668	0.123448582	0.073179854
