Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,DistributionChannel,UserLanguage,private,government,reasons,OUS1,OUS2,OUS3,OUS4,OUS5,OUS6,OUS7,OUS8,OUS9,OUS10,EC_EC_1,EC_EC_2,EC_EC_3,EC_EC_4,EC_EC_5,EC_EC_6,EC_EC_7,EC_EC_8,gender,gender_3_TEXT,age,own_religious,education,income,ses,political,prolific_id,fair_task,task_comments,SC0,PROLIFIC_PID,SESSION_ID,condition
100,334,1,15/08/2018 11:11,R_sFNmgEKDDOm2bbX,,anonymous,EN-GB,6,,More people overall are likely to live because of that choice,2,2,2,6,3,1,2,5,5,2,6,2,5,6,2,2,7,2,2,,33,1,2,3,2,3,5b732fa1218c0f000107ae3b,1,,30,,,private
100,491,1,15/08/2018 11:14,R_sAleEcwosJY4u7T,,anonymous,EN-GB,,5,i somewhat agree because a doctor can save more lives but i do not agree fully as it is a too 'general' approach,3,3,1,3,3,2,3,2,3,2,4,3,3,5,3,3,5,2,2,,43,1,5,4,2,4,5b6b7a3d281e4600019b3786,1,very thought provoking questions!,25,,,government
100,352,1,15/08/2018 11:15,R_1NlYzhNlKUvMS5A,,anonymous,EN-GB,,3,This policy works using the idea that a person’s right to live is dependant only on how ‘valuable’ they are to society.,5,5,6,6,5,3,2,4,3,2,6,1,7,7,2,2,7,2,2,,20,1,3,3,2,1,5b632269f4db970001229050,1,I very much enjoyed completing this study ,41,,,government
100,1031,1,15/08/2018 11:18,R_bKnH44B1kpxin8R,,anonymous,EN-GB,,3,"All human life is precious, our skills are varied and no one person is more important than another purely based on their acdemic skills",5,5,3,3,3,3,3,5,4,2,5,1,5,5,5,3,7,2,2,,47,5,4,5,2,4,5b7313ed417a17000191c259,2,,36,,,government
100,546,1,15/08/2018 11:21,R_2Et8T5SB7YbE9qr,,anonymous,EN-GB,4,,its nither right or wrong,3,5,7,5,7,2,4,2,4,2,7,3,7,7,7,6,7,2,2,,44,1,3,2,1,1,5420/003,1,,41,,,private
100,201,1,15/08/2018 11:21,R_2azNRiQJpyLoMID,,anonymous,EN-GB,6,,"He has obvious value to many people, whereas the other man has not shown that to be necessarilt true",4,1,3,5,5,2,1,5,5,2,5,4,6,2,5,4,3,2,2,,53,1,5,6,1,4,5742c8e4a0a4b2000fb05aff,2,,33,,,private
100,245,1,15/08/2018 11:21,R_1HcrkWc21cloEyA,,anonymous,EN-GB,,2,Seems like eugenics to me,2,7,7,3,2,3,5,6,6,2,6,2,6,6,2,3,6,2,2,,33,1,3,1,3,5,5810bb25b2432b00013e29ab,1,,43,,,government
100,383,1,15/08/2018 11:25,R_3JsXwI3Cchn3TFI,,anonymous,EN-GB,,1,all life is equal,7,1,7,7,4,2,7,4,4,2,7,4,7,6,4,4,4,2,1,,32,1,1,2,1,4,5b73ee13b11003000166e7d2,1,,45,,,government
100,302,1,15/08/2018 11:25,R_2qwakfFfD57RtYS,,anonymous,EN-GB,5,,I wouldn't like to consciously base my decision on these factors but they would come in to play to a certain extent and I would be unable to not be slightly biased,3,3,3,3,3,2,2,2,4,2,6,2,5,5,4,3,5,2,2,,42,1,5,11,2,2,5880ebe10e568e0001ca4498,1,,27,,,private
100,215,1,15/08/2018 11:27,R_1o1sX26XBYjnOkp,,anonymous,EN-GB,4,,"Again, i would probabaly be swayed by my personal knowledge of an individual rather than occupation etc.",1,2,3,6,4,1,1,2,1,2,5,4,5,5,4,3,6,2,1,,41,1,5,5,3,2,576020968ddaf40006ce9746,1,,23,,,private
100,697,1,15/08/2018 11:27,R_1gIpXBEIFYxr5gG,,anonymous,EN-GB,6,,"Unfortunately it makes logical Sence if it was emotional both are as valuable as each other. But quoting famous line from t.v show ""needs of the many out way the few or the one""",4,5,3,2,4,1,3,5,4,2,5,3,3,5,4,5,5,2,1,,28,2,4,4,2,3,5b70469753e5470001f1d57b,1,,33,,,private
100,554,1,15/08/2018 11:27,R_2QYuEpF73hykmHU,,anonymous,EN-GB,4,,I don't think one is more worthy than the other based on their job.,3,2,1,5,3,3,2,3,3,2,6,2,5,6,3,3,6,2,2,,35,4,4,2,2,4,5b733e7e75c9a9000168ee70,1,No.,27,,,private
100,96,1,15/08/2018 11:30,R_yEIVsa7m3rWo4kV,,anonymous,EN-GB,5,,N/A,5,5,5,5,3,6,2,1,3,3,6,6,5,6,4,3,6,6,2,,20,1,3,1,3,4,5b6330c6ab76d70001bab8ce,1,no,38,,,private
100,427,1,15/08/2018 11:31,R_3JJE3QJXy2FT7vO,,anonymous,EN-GB,,5,I think everyone deserves an equal chance but can understand why it would be logical to save the doctor at the same time.,3,5,1,6,3,1,4,6,4,2,7,2,6,6,5,2,6,2,2,,21,1,2,1,1,3,5b73f3f0caefde0001f07a6c,1,,35,,,government
100,295,1,15/08/2018 11:34,R_2VlOTePmVzY8hxW,,anonymous,EN-GB,,2,It does make sense but assigning value to people in this way feels wrong,3,4,1,2,2,4,3,6,4,2,5,3,7,4,5,3,6,2,1,,19,1,3,11,6,5,596cb7a35ad3920001cae434,1,,31,,,government
100,290,1,15/08/2018 11:36,R_30dvydHnmJhBfUY,,anonymous,EN-GB,,5,ultilarian. the doctor will bring the great good,3,2,1,1,4,4,2,4,4,2,6,4,4,2,5,2,5,2,1,,27,2,3,4,2,3,5910b7adcb98ce0001da622c,2,,27,,,government
100,268,1,15/08/2018 11:36,R_3MS5uDsEEtmBN4B,,anonymous,EN-GB,5,,"I'm unsure if I would know these specifics, and it would also depend on the amount of risk to save either or. However Allen does contribute slightly more to society ",4,5,6,6,4,4,2,5,3,2,5,2,6,6,2,1,5,2,2,,27,3,4,5,3,2,5b7347deb9daa700013fb6c4,1,This was tough!,41,,,private
100,281,1,15/08/2018 11:38,R_3J4xZvyKKGDFSzh,,anonymous,EN-GB,,6,Saving the doctor will in the future save more people than the saving the other person.,6,3,6,5,3,5,5,5,2,2,5,3,3,3,5,5,3,2,1,,22,3,3,2,3,4,https://imgur.com/r/2007scape/vR1Ic8k,1,,42,,,government
100,388,1,15/08/2018 11:39,R_WiXRML7oSPKMUcp,,anonymous,EN-GB,,7,The doctor will be able to save other lives in the future whereas the other man will not. ,5,7,6,3,5,5,4,5,5,2,7,1,7,6,2,3,7,2,2,,21,1,4,2,1,3,5b733f83218c0f000107afb3,1,,47,,,government
100,252,1,15/08/2018 11:40,R_3k5a8r2at1vMjTP,,anonymous,EN-GB,4,,Both of these people are equal - it wouldn't be fair to save one over the other just because of the job that they do - they both have the same right to life. ,2,5,4,4,4,2,1,1,1,2,7,1,7,7,1,1,7,2,2,,23,5,4,4,4,4,54cf5392fdf99b225fe26d65,1,,26,,,private
100,660,1,15/08/2018 11:42,R_2PBQDg18JIUv98S,,anonymous,EN-GB,5,,As mentioned he's a doctor and the other person is unemployed. If I could save both I would of. ,4,5,5,4,3,3,3,5,5,2,4,4,5,5,5,4,6,2,2,,45,3,3,11,2,4,5772619a193c78000143818f,1,,39,,,private
100,803,1,15/08/2018 11:42,R_2SBUjSavmR1JFz8,,anonymous,EN-GB,4,,all though Allen is a doctor and bob is unemployed they both have famalies .,1,3,2,2,6,5,5,7,5,2,6,2,5,4,4,4,5,2,1,,53,1,2,2,1,5,5aa2aafe4eecca0001ddd585 ,1,very very interesting,38,,,private
100,435,1,15/08/2018 11:43,R_p6j4mMwoecmcv3H,,anonymous,EN-GB,,6,"If there is only one space, it needs to be decided somehow- therefore usefulness to society is one way to do it.",1,2,5,5,5,5,4,4,5,2,4,2,5,5,2,2,5,2,2,,44,2,5,4,1,2,58ca113bc8677b00010a84fd,1,No thank you.,38,,,government
100,356,1,15/08/2018 11:45,R_1LAtadcccn9HLip,,anonymous,EN-GB,,3,The man could bring different skills to island,1,3,2,6,6,2,3,5,1,2,7,1,7,6,3,3,6,6,2,,50,2,4,6,1,2,5990b3e47d29e700017302b6,1,,31,,,government
100,450,1,15/08/2018 11:45,R_24e0JJ7Axn1aCdn,,anonymous,EN-GB,6,,Allan has the ability to save other lives. ,5,6,6,3,6,6,2,3,5,2,7,2,6,7,3,3,6,2,2,,25,1,5,3,3,1,5b4b5c1a3905740001273d44,1,Attention question 2: selecting question ‘second from left’ does not work on phones. Options are listed in descending order. ,44,,,private
100,437,1,15/08/2018 11:46,R_0PySP7yLkl1eu9X,,anonymous,EN-GB,6,,He contributes more to help people,2,3,3,2,5,2,1,5,2,2,7,2,6,6,2,2,6,2,1,,36,1,3,3,3,2,5b530aa34a062f00015e2f7c,2,No,27,,,private
100,218,1,15/08/2018 11:51,R_3n6PWAqevDG0SHy,,anonymous,EN-GB,6,,Saving Allen would probably mean indirectly saving other people through his future work in the medical profession,2,3,5,3,3,3,4,2,4,2,6,2,7,6,2,2,6,2,2,,22,7,4,2,1,3,5a7192ec6923df0001efaf36,1,,31,,,private
100,354,1,15/08/2018 11:51,R_2VDCFyMlN2rPol8,,anonymous,EN-GB,5,,Allen has more to offer in the face that he is a surgeon in a specialist area however I find it difficult to value one persons life above the other just because of their job,4,4,5,5,4,4,3,5,4,2,5,3,5,6,5,4,5,2,2,,28,1,3,3,1,4,5a579c8776d1c60001ab0433,1,,40,,,private
100,231,1,15/08/2018 11:52,R_3lX5FG2mK0mDsKk,,anonymous,EN-GB,7,,"Although both are human being and deserve to live, Allen is useful to society. He is an expert in heart surgery which only a few people can do so he is needed in the community. Bob is unemployed and will probably never have a job therefore is not necessarily beneficial to society",5,2,2,6,3,3,4,3,5,2,6,2,6,6,2,2,6,2,2,,29,1,3,2,3,4,5b3b5972ac7a460001f90ab2,1,,35,,,private
100,189,1,15/08/2018 11:52,R_exhfoAK9T5sSW7n,,anonymous,EN-GB,,5,role in society ,4,5,5,3,4,6,4,7,3,2,3,3,4,5,5,5,4,2,1,,20,3,4,11,6,4,5b684ddbec493f00016e9b6c,2,,43,,,government
100,275,1,15/08/2018 11:52,R_24NPsdnTe5zsrvc,,anonymous,EN-GB,,3,I feel that it is too calculated and cold and sacks of eugenics by the back door. ,1,1,3,1,3,1,4,1,3,2,4,4,4,3,5,5,3,2,2,,31,1,4,1,2,2,5641193817bdbe00122a0f23,2,,20,,,government
100,648,1,15/08/2018 11:53,R_2CHwJSlrNLfL2nQ,,anonymous,EN-GB,,1,I feel that a life is a life no matter what the person does for a job,3,4,6,6,4,3,2,5,5,2,6,2,5,3,3,3,6,2,2,,36,1,2,4,1,4,595ed6fe07ed5e0001cd0b42,1,,40,,,government
100,245,1,15/08/2018 11:54,R_1N3orKgL8ViNgOR,,anonymous,EN-GB,,2,People should be classed as equal ,1,2,2,2,3,4,4,6,5,2,5,3,5,7,6,2,6,2,2,,26,2,4,4,2,4,5b60537cba6403000186d501,1,,31,,,government
100,249,1,15/08/2018 11:54,R_7NDTu0KWN3azfbj,,anonymous,EN-GB,,3,this is unethical and does not account for future potential,2,5,3,7,3,2,1,2,2,2,6,4,5,2,4,3,4,2,1,,53,1,4,5,3,5,57a99a459bd3d70001e52ab3,1,no,29,,,government
100,167,1,15/08/2018 11:54,R_O7JwnxLSlyYlXqh,,anonymous,EN-GB,5,,He can be of the most benefit to other people,4,5,4,3,3,3,4,3,4,2,5,3,5,5,3,4,4,2,2,,31,1,4,4,1,2,5ae04a4b5f327e0001fb95d6,1,,35,,,private
100,223,1,15/08/2018 11:56,R_2SpoLTv7IKcjKsW,,anonymous,EN-GB,,1,I believe everyone is equal regardless of their skills or wealth,6,5,7,4,3,1,2,1,2,2,6,2,6,5,2,2,6,2,2,,36,2,2,11,2,4,57027b6768c641000e0c894a,1,,33,,,government
100,193,1,15/08/2018 11:56,R_Zh1KUMvDi2sds3v,,anonymous,EN-GB,6,,Saving Allen would also save other lives potentially,1,3,1,5,2,2,3,4,3,2,5,2,5,5,3,2,5,2,2,,28,1,4,4,2,4,5b2e2c43975e260001e918ec,1,,26,,,private
100,226,1,15/08/2018 11:57,R_2tFNxqQzbOilR7V,,anonymous,EN-GB,6,,He has demonstrated a better value to society,2,3,5,2,3,4,3,2,5,2,6,3,5,5,3,2,6,2,1,,26,1,4,6,3,3,5b1edd1168a5ed000173be25,2,,31,,,private
100,204,1,15/08/2018 11:58,R_sOkX6eNopTaQpYl,,anonymous,EN-GB,,5,If it means the survivors have a better chance of life after I think it’s right. ,7,5,7,5,4,6,5,6,5,2,6,3,5,5,5,2,5,2,2,,30,1,3,5,1,4,5950fb5bab3b160001b91caa,1,,52,,,government
100,400,1,15/08/2018 11:59,R_w6ueoJx4xNBlycF,,anonymous,EN-GB,6,,"A great deal of time, effort and expense has gone into training a highly skilled and specialised doctor: this would all be lost.",2,2,2,3,4,3,4,3,5,2,4,4,5,5,5,4,5,2,2,,24,4,5,11,2,5,5b3133829c04f0000114b1f2,2,,30,,,private
100,357,1,15/08/2018 11:59,R_Uc3hD3tSjd8SpoZ,,anonymous,EN-GB,,5,"He/she would be more beneficial to economy then an older person. However, this is not a correct on morel ground. No one should decide who gets save",5,4,3,6,4,2,3,4,4,2,5,3,6,5,4,3,5,2,2,,32,2,3,3,3,4,5b5762b54e5e7e0001912e3c,1,,37,,,government
100,193,1,15/08/2018 11:59,R_1roZMDx2Fi4OVGs,,anonymous,EN-GB,7,,Something close to my heart,7,7,5,7,4,3,7,3,5,2,7,7,7,7,1,1,7,2,2,,35,4,3,3,1,1,56476779d01e6b0016728210,1,,50,,,private
100,604,1,15/08/2018 11:59,R_10utQXGdnZZaYvN,,anonymous,EN-GB,5,,"Assuming I have no other information and the chance of successfully rescuing either one is equal then this is the obvious choice. It's hard to agree more strongly though as I don't believe that it is morally right to judge whether one person deserves to live more than another, however it is preferable to letting both die. ",2,3,1,3,3,3,1,2,3,2,5,5,5,3,5,5,3,2,2,,25,1,5,3,1,2, 5b7402fefd718d00013d1a97,1,,23,,,private
100,436,1,15/08/2018 12:01,R_3ho02BqSuHZzAUC,,anonymous,EN-GB,,2,"this system although beneficial for the greater good, it does not treat all human life as equal",1,1,7,3,2,2,3,2,1,2,6,3,5,5,6,2,3,2,1,,30,2,4,3,2,2,57cdea5e648ff400016668f8,1,,24,,,government
100,460,1,15/08/2018 12:04,R_A5L6a5dlj9wiNoZ,,anonymous,EN-GB,6,,It would be better for the masses.,3,4,3,5,3,4,4,4,6,2,5,4,5,4,5,4,5,2,2,,43,1,3,4,2,3,554a4c37fdf99b744e2ae69f,1,,38,,,private
100,263,1,15/08/2018 12:04,R_338QFYSdgEM4Xln,,anonymous,EN-GB,5,,"He could go on to save other people, and you have to take that into account",3,3,6,7,3,1,3,1,3,2,6,2,6,5,3,3,5,2,2,,34,1,3,5,1,3,5b642ffa9eb930000191bf59,1,,32,,,private
100,234,1,15/08/2018 12:05,R_3O1bHJ6wo5fiLbh,,anonymous,EN-GB,5,,"Although Bob is as important as a person, Alan can save other people",3,4,5,6,5,2,5,5,3,2,6,2,6,6,3,2,6,2,2,,45,2,3,6,1,4,59cab69b59b3790001151279,1,,40,,,private
100,481,1,15/08/2018 12:07,R_31iLYZrwGqZwH7Y,,anonymous,EN-GB,,6,"someone will have to be there to treat the other people that is rescued , also can train new people to be a doctor from his knowledge",4,5,3,5,4,4,4,4,4,2,5,1,6,6,2,2,5,2,2,,31,1,2,1,1,4,5b7315657e61e3000174f782,1,,39,,,government
100,239,1,15/08/2018 12:07,R_x0hP2BE2VodJpuh,,anonymous,EN-GB,7,,Because he is a doctor and may save other people,1,1,1,3,3,7,5,1,5,2,3,5,3,3,5,5,3,2,2,,57,1,4,3,1,3,589f4cdd890ea500014c4d85,1,,29,,,private
100,153,1,15/08/2018 12:07,R_1DwhzJWuZ8K3oLy,,anonymous,EN-GB,,6,doctor has more to give to society in general,4,3,5,3,3,5,1,3,4,2,4,4,4,3,5,4,4,2,2,,46,1,5,10,3,4,542c323bfdf99b324ea3808d,1,,33,,,government
100,163,1,15/08/2018 12:08,R_3RrzVTG6jY9i65B,,anonymous,EN-GB,5,,Allen is more useful,5,6,5,5,7,5,5,6,4,2,7,4,7,7,4,4,7,4,1,,40,1,2,6,1,4,59da67c8416c900001ea5b50,1,,50,,,private
100,368,1,15/08/2018 12:09,R_3ik92fLeS98HnlA,,anonymous,EN-GB,,3,I feel everyone should have the chance to survive which is more important but I am relucant to disagree as the doctor could help more people ,3,6,6,2,5,2,2,5,5,2,7,1,6,7,1,2,6,2,2,,18,2,2,1,3,3,5b4fabcd1f0e4a0001324eb8,1,,38,,,government
100,690,1,15/08/2018 12:10,R_1IXAei5bvx09D5O,,anonymous,EN-GB,,5,Extremely hard to answer this but the doctor appears to be highly skilled and of great importance to the world with very little other people worldwide being as skilled as him.,6,3,3,5,5,4,4,4,4,2,6,2,5,7,2,2,6,2,2,,33,1,4,1,1,4,591c54c95823600001137bd2,1,,40,,,government
100,228,1,15/08/2018 12:10,R_1hKlYHzNaosBRU1,,anonymous,EN-GB,,4,everyone is equal,4,6,4,5,5,4,2,4,2,2,5,4,6,6,3,2,6,2,2,,50,2,3,1,1,4,571b8ee55d40840013c4e138,1,no,38,,,government
100,302,1,15/08/2018 12:12,R_72pP0HZdZcZ82TT,,anonymous,EN-GB,,6,"Saving someone who could help others will lead to more being saved. On balance, more people would be helped",5,6,3,3,6,5,5,4,5,2,4,2,4,3,3,2,5,2,2,,26,1,5,4,3,2,5b0eb3e9d282ff00015bbd18,1,,44,,,government
100,393,1,15/08/2018 12:13,R_2sXSn9chWHNVVtP,,anonymous,EN-GB,7,,I chose Allen because of his ability to save the lives of others in his capacity as a doctor.,4,6,6,6,7,2,2,6,2,2,6,1,6,6,1,1,6,2,2,,59,7,4,1,1,5,5a58e3ea76d1c60001ab1955,1,,43,,,private
100,223,1,15/08/2018 12:15,R_3FJ5xtgP7hVIEeR,,anonymous,EN-GB,5,,He could save people lives ,4,7,6,7,3,1,7,1,1,4,7,1,5,6,2,3,6,2,2,,25,1,2,3,1,1,5b36523e7bc6be00010c7678,1,,41,,,private
100,313,1,15/08/2018 12:15,R_2rSnuIcMqVfU6xS,,anonymous,EN-GB,6,,Allen could help more people and has more influence on the wellbeing of others and has high intelligence so may be able to help me,3,5,3,3,3,5,2,5,5,2,6,1,6,5,2,1,7,2,2,,22,6,4,3,3,3,5b5f5355ce6a520001b1931d,2,,36,,,private
100,187,1,15/08/2018 12:16,R_1Gvt4XXsINzUc7l,,anonymous,EN-GB,,5,The doctor has more worth to society as a whole than the unemployed person.,3,3,5,3,5,2,1,2,5,2,5,2,5,6,4,2,6,2,1,,42,1,4,7,2,2,5ab7ea455f30dd000131b9f9,1,,31,,,government
100,173,1,15/08/2018 12:16,R_3fksgEY4UT5usaB,,anonymous,EN-GB,,5,The doctor is useful,3,5,4,3,4,5,3,2,5,2,3,5,3,2,5,5,3,2,2,,36,1,1,1,1,4,58f3c4b044fde60001c03e53,1,,36,,,government
100,293,1,15/08/2018 12:17,R_1flzb8BPuOZoVou,,anonymous,EN-GB,,5,It makes sense to save the doctor. However I feel everyone's life should be valued equally. ,2,3,5,5,3,1,2,4,2,2,5,3,5,6,5,3,6,2,2,,26,1,4,2,1,2,5a68c6e431b87a0001c753d6,1,,29,,,government
100,350,1,15/08/2018 12:18,R_2CCB1o7Semi9afD,,anonymous,EN-GB,5,,He can be more of a benefit to human race,2,1,5,5,2,1,1,3,1,2,7,5,2,5,5,6,1,2,1,,24,1,3,4,2,4,5a0dfc4e7542890001aa728d,1,,23,,,private
100,221,1,15/08/2018 12:18,R_3Jl2w9liLFEu3KW,,anonymous,EN-GB,5,,He could help save more lives,4,4,6,2,7,1,1,1,4,2,6,2,6,6,2,2,6,2,2,,37,1,4,2,1,4,58c26f473977190001f54116,2,,32,,,private
100,242,1,15/08/2018 12:18,R_2UWKd64BX97VSiX,,anonymous,EN-GB,,3,My belief is that all should work,5,5,3,4,2,5,4,5,5,2,7,1,6,5,4,6,5,2,2,,32,1,2,6,1,4,5ab7b5bce10996000169f3e1,1,,40,,,government
100,451,1,15/08/2018 12:18,R_3HZeDyF9LFgD2uI,,anonymous,EN-GB,,6,"Logically saving someone who can save lives later on would be benifical over the unemployed (and not likely to be employed) person.  However, logic and moral choices can present a terrible life-algebra.",4,3,2,3,2,5,5,5,5,2,5,5,4,3,5,4,6,2,1,,46,1,4,6,2,4,5a54dd1176d1c60001aace61,1,,36,,,government
100,386,1,15/08/2018 12:19,R_sv8VRajOQlXgXg5,,anonymous,EN-GB,,5,difficult choice but his skill is important,6,5,6,5,5,5,5,1,5,2,5,3,5,5,5,3,5,2,1,,31,1,3,5,1,3,5b4b679dff74970001256d36,2,quite tough questions that need quite a bit of thought,45,,,government
100,246,1,15/08/2018 12:19,R_2pLxzTk04M40MpF,,anonymous,EN-GB,5,,Allen can contribute more to the society,6,2,3,5,1,4,4,5,3,2,5,4,5,5,5,5,5,2,2,,29,3,5,6,1,4,5b1f8f8e88ee7400012b51f5,1,none,35,,,private
100,456,1,15/08/2018 12:20,R_direC8nM3ldSwaR,,anonymous,EN-GB,6,,"If i had to choose one, a qualified doctor would be a better choice as he may be able to assist with any medical difficulties experienced while travelling back to safety.",4,2,5,4,4,4,3,4,5,2,6,3,6,7,3,4,5,2,2,,28,1,3,3,3,2,5ac4d9d5e734400001da3115,1,,37,,,private
100,187,1,15/08/2018 12:21,R_2uwAgdeU9S5w9jZ,,anonymous,EN-GB,7,,He can save many more lifes in the future,5,5,5,6,1,5,1,5,5,2,5,1,3,7,5,5,7,2,1,,30,1,2,3,1,3,5973751522e11b0001f3edf3,1,,40,,,private
100,845,1,15/08/2018 12:21,R_DUc91F19J3nKBH3,,anonymous,EN-GB,,1,because everyone has a right to live,7,7,3,7,7,7,1,5,5,2,6,2,6,5,3,3,6,2,1,,56,5,2,5,1,6,5b72de0245dd090001a3d7b4,1,different than other website surveys in a good interesting way,51,,,government
100,499,1,15/08/2018 12:21,R_RWvam5OTDUWSBYl,,anonymous,EN-GB,5,,"I would prefer to think all lives are equal, but I don't think I could resist making some kind of value judgement if put into that scenario",3,2,5,2,4,5,3,3,5,2,6,3,3,5,5,5,6,2,1,,33,1,4,8,3,3,5b5dd9f6e009b500017767d1,1,"2nd paying attention question said 2nd from left, options were vertical, so just took 2nd.",34,,,private
100,250,1,15/08/2018 12:21,R_3e9z0s0f91WxUlW,,anonymous,EN-GB,,1,No ones life is more important than anothers,4,6,6,7,2,2,4,2,3,2,6,2,6,6,2,2,6,2,2,,29,1,3,5,1,1,5a042423517dfb00013db2f1,1,,38,,,government
100,334,1,15/08/2018 12:21,R_2znCkjInbVwfwpq,,anonymous,EN-GB,4,, couldn't make a choice were lives would be lost ,4,5,5,3,4,4,3,5,5,2,7,2,6,6,5,5,6,2,1,,60,2,2,5,1,4,5a9e9fc46219a30001f54994,1,,40,,,private
100,425,1,15/08/2018 12:22,R_1CyDMjmLc6t60Yl,,anonymous,EN-GB,,2,It doesn't seem fair to prioritise one life over another (where do you draw the line?),3,3,5,5,3,3,1,3,3,2,6,2,5,6,3,2,6,1,2,,30,1,3,4,3,1,5950ca60ab3b160001b91c66,1,It was difficult to answer the questions honestly.,31,,,government
100,342,1,15/08/2018 12:23,R_2frrHq4b6uZQqEy,,anonymous,EN-GB,,4,I personally couldnt choose to save one person over another ,4,5,4,5,5,4,4,2,2,2,6,2,6,6,3,2,6,2,2,,30,6,3,6,3,4,5a81f76f17ef350001706d93,2,,37,,,government
