condition	Participant	Min	Max	Crossover	Slope
Vis-New locs	33	2.0031E-08	0.918822995	602.6087704	0.002129229
Vis-New locs	35	1.55038E-08	0.984293087	705.2432586	0.001893671
Vis-New locs	41	4.5027E-07	0.981460559	617.6639075	0.002135171
Vis-New locs	42	6.6584E-08	0.921465881	699.465331	0.001679089
Vis-New locs	47	9.3025E-06	0.777753473	741.6343562	0.001971169
Vis-New locs	48	4.99551E-08	0.959138567	655.2204334	0.001783795
Vis-New locs	56	2.6741E-08	0.911458316	636.2416824	0.001800494
Vis-New locs	57	3.16781E-08	0.780971785	699.1851861	0.00191035
Vis-New locs	58	3.27659E-08	0.790575893	754.8637941	0.001332769
Vis-New locs	61	2.37626E-08	0.950535557	563.3402163	0.002198189
Vis-New locs	62	1.04444E-08	0.951679272	598.3865193	0.001644121
Vis-New locs	67	3.33918E-08	0.880208212	637.8138977	0.002213011
Vis-New locs	69	3.80147E-08	0.846283072	622.2706743	0.001891801
Vis-New locs	77	1.07656E-08	0.958333284	561.8276508	0.002329744
