age,Ethnicity..Simplified.,Highest.education.level.completed,Household.Income..GBP.,Political.Party.Affiliation.UK,Sex,ideo,nfcog_1,nfcog_2,nfcog_3,nfcog_4,nfcog_5,nfcog_6,seri_you_1,covid_consp_1,covid_consp_2,covid_consp_3,pb_1,pb_2,pb_3,pb_4,pb_5,pb_6,panic_b
25,White,Graduate degree (MA/MSc/MPhil/other),"£20,000 - £29,999",Liberal Democrats,Male,5,2,2,4,4,2,2,1,1,1,1,2,1,1,1,1,1,2
53,White,Graduate degree (MA/MSc/MPhil/other),"£50,000 - £59,999",Labour,Female,4,4,4,2,4,4,2,2,2,2,2,2,1,1,1,1,1,1
21,White,High school diploma/A-levels,,Scottish National Party (SNP),Male,2,2,4,1,1,4,2,1,1,1,1,1,1,1,2,1,1,2
31,White,High school diploma/A-levels,,Labour,Female,2,1,1,4,4,1,4,3,1,1,1,1,1,1,1,1,1,3
22,White,Graduate degree (MA/MSc/MPhil/other),"Less than £10,000 ",Green Party,Female,5,4,4,4,2,5,3,2,2,1,1,2,2,1,1,4,2,1
20,White,High school diploma/A-levels,"£40,000 - £49,999",,Female,1,2,2,3,4,4,4,1,1,1,1,3,3,1,3,3,1,2
47,White,Undergraduate degree (BA/BSc/other),"£50,000 - £59,999",Liberal Democrats,Female,5,4,4,1,1,4,5,2,2,1,1,2,2,1,1,1,1,1
52,Black,High school diploma/A-levels,"£40,000 - £49,999",Liberal Democrats,Female,5,2,2,4,4,3,2,2,3,1,1,1,1,1,1,1,1,1
53,White,Undergraduate degree (BA/BSc/other),"£80,000 - £89,999",Conservative,Female,8,4,4,2,2,4,4,1,1,1,1,2,2,1,2,2,2,1
47,White,Undergraduate degree (BA/BSc/other),,Not applicable / rather not say,Male,7,3,3,2,3,3,4,4,1,1,1,1,1,1,1,1,1,1
41,Black,Undergraduate degree (BA/BSc/other),,Labour,Female,6,2,4,1,2,4,3,2,4,4,2,3,2,1,3,3,1,1
35,White,Technical/community college,"£16,000 - £19,999",Labour,Female,7,4,4,2,2,4,4,1,2,2,2,3,2,1,2,2,1,2
29,White,Undergraduate degree (BA/BSc/other),"£30,000 - £39,999",Labour,Male,4,3,3,2,4,4,4,2,1,1,1,4,3,1,3,5,2,2
64,White,Graduate degree (MA/MSc/MPhil/other),,Liberal Democrats,Male,1,2,3,2,3,4,4,2,1,1,1,1,1,1,1,1,1,1
67,White,Graduate degree (MA/MSc/MPhil/other),,Conservative,Male,8,2,2,2,3,3,3,2,5,5,1,3,1,1,2,2,1,1
47,White,Technical/community college,Rather not say,Conservative,Female,9,3,3,3,3,4,4,1,1,1,1,2,1,1,1,1,1,1
54,White,Technical/community college,"£20,000 - £29,999",Other,Female,7,4,5,4,1,5,4,1,4,1,4,3,1,1,1,2,1,1
56,White,Secondary education (e.g. GED/GCSE),"£20,000 - £29,999",Liberal Democrats,Male,7,4,4,2,2,5,4,1,2,1,1,4,1,1,1,1,1,1
52,White,Secondary education (e.g. GED/GCSE),"£60,000 - £69,999",Not applicable / rather not say,Female,7,1,1,3,2,4,1,1,4,3,1,4,1,1,3,3,3,2
63,White,Doctorate degree (PhD/other),"£50,000 - £59,999",Conservative,Male,8,4,4,2,2,5,4,2,1,1,1,2,3,1,1,1,4,1
56,White,Graduate degree (MA/MSc/MPhil/other),"£10,000 - £15,999",Green Party,Female,4,2,2,4,4,2,2,1,4,2,3,3,2,1,2,2,1,1
30,White,High school diploma/A-levels,,Green Party,Female,4,3,3,1,2,3,3,2,1,1,1,2,2,1,1,1,1,1
65,White,Secondary education (e.g. GED/GCSE),Rather not say,Other,Female,6,3,4,1,2,4,2,1,1,1,1,1,1,1,1,1,1,1
48,White,Graduate degree (MA/MSc/MPhil/other),"£80,000 - £89,999",Liberal Democrats,Male,7,2,2,3,3,4,2,1,1,1,1,1,1,1,2,1,1,1
47,White,Technical/community college,"£30,000 - £39,999",Conservative,Male,6,4,4,5,1,4,2,2,1,1,1,4,1,1,4,5,1,2
54,White,Graduate degree (MA/MSc/MPhil/other),"£80,000 - £89,999",Labour,Female,5,3,4,2,2,4,4,1,1,1,1,1,1,1,1,1,1,1
49,White,Graduate degree (MA/MSc/MPhil/other),,Scottish National Party (SNP),Male,7,4,4,2,2,4,4,5,1,1,1,1,1,1,1,1,1,2
47,White,Undergraduate degree (BA/BSc/other),"£40,000 - £49,999",Labour,Male,4,4,4,1,1,5,4,1,1,1,1,3,2,1,2,2,1,2
39,White,Undergraduate degree (BA/BSc/other),,Conservative,Female,7,4,3,2,2,3,3,3,4,4,5,2,1,1,1,1,1,1
32,White,Secondary education (e.g. GED/GCSE),Rather not say,Conservative,Female,6,3,3,3,3,3,3,2,4,4,4,3,3,1,3,3,1,1
29,White,Technical/community college,"£40,000 - £49,999",Not applicable / rather not say,Female,7,1,1,5,5,1,1,3,3,2,2,1,1,1,1,1,1,1
63,White,Technical/community college,"£10,000 - £15,999",Conservative,Female,10,5,5,2,3,5,5,1,7,6,6,4,4,1,3,3,3,3
36,Asian,Undergraduate degree (BA/BSc/other),"£50,000 - £59,999",Labour,Female,7,4,4,2,2,4,4,2,3,2,2,2,2,1,1,1,1,1
42,White,Graduate degree (MA/MSc/MPhil/other),"£50,000 - £59,999",Labour,Female,1,5,5,2,4,4,2,3,4,4,4,4,2,1,4,2,2,2
54,White,Secondary education (e.g. GED/GCSE),,Labour,Female,1,1,1,4,4,1,2,1,6,6,1,3,1,1,1,1,1,2
56,White,Secondary education (e.g. GED/GCSE),"£20,000 - £29,999",Conservative,Male,7,4,3,2,3,3,4,2,1,1,1,2,2,1,1,1,1,1
27,White,High school diploma/A-levels,"£20,000 - £29,999",Other,Female,1,1,5,1,2,5,5,3,1,2,3,2,1,1,1,2,2,1
55,Black,Undergraduate degree (BA/BSc/other),"£60,000 - £69,999",Labour,Female,4,3,3,2,2,4,3,2,4,4,3,3,1,1,2,1,1,1
66,White,High school diploma/A-levels,,Green Party,Male,1,3,3,3,3,3,3,3,2,2,2,1,1,1,1,1,1,1
36,White,Undergraduate degree (BA/BSc/other),"£30,000 - £39,999",Conservative,Female,7,3,2,2,2,4,3,1,2,2,2,2,1,1,1,1,1,1
50,White,Secondary education (e.g. GED/GCSE),"Less than £10,000 ",UKIP,Female,4,2,2,4,4,2,2,1,6,2,2,1,2,1,1,1,2,2
50,White,Technical/community college,"£20,000 - £29,999",Labour,Male,5,4,2,1,2,4,3,2,2,1,1,1,1,1,1,1,1,1
39,White,Technical/community college,,Conservative,Male,8,2,4,2,4,2,4,5,1,1,1,1,1,1,1,2,1,1
60,White,Undergraduate degree (BA/BSc/other),"£30,000 - £39,999",Other,Male,11,5,5,1,1,5,5,7,1,1,1,1,1,1,1,1,1,1
61,White,Technical/community college,"£10,000 - £15,999",Green Party,Male,4,5,4,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1
32,White,Secondary education (e.g. GED/GCSE),Rather not say,UKIP,Male,7,4,4,2,2,4,4,3,6,6,2,1,1,1,1,1,1,1
38,White,Undergraduate degree (BA/BSc/other),Rather not say,Labour,Female,4,4,4,1,2,4,4,2,2,2,1,4,2,1,4,5,1,1
23,White,Undergraduate degree (BA/BSc/other),"£16,000 - £19,999",Labour,Female,4,2,4,1,3,4,3,1,2,2,2,1,1,1,1,1,1,1
30,White,High school diploma/A-levels,"£30,000 - £39,999",Green Party,Male,1,4,4,1,2,4,4,7,1,3,1,1,1,1,2,3,1,2
23,Mixed,Undergraduate degree (BA/BSc/other),"£20,000 - £29,999",Labour,Female,2,4,3,2,2,3,3,2,2,2,2,1,1,1,1,1,1,1
23,White,Undergraduate degree (BA/BSc/other),"£20,000 - £29,999",Labour,Male,1,4,4,1,2,4,4,2,1,1,1,2,1,1,1,1,1,1
46,White,Technical/community college,,Labour,Male,2,5,4,2,2,5,3,1,1,1,1,1,1,1,2,1,1,1
46,White,Technical/community college,,Labour,Male,2,5,4,2,1,5,4,1,1,1,1,2,1,1,2,1,1,1
46,White,Technical/community college,"£50,000 - £59,999",Labour,Male,2,5,4,2,2,5,3,1,1,1,1,1,1,1,2,1,1,1
46,White,Technical/community college,"£50,000 - £59,999",Labour,Male,2,5,4,2,1,5,4,1,1,1,1,2,1,1,2,1,1,1
59,White,Secondary education (e.g. GED/GCSE),"£70,000 - £79,999",Labour,Male,2,4,5,2,5,5,5,1,4,5,1,5,3,1,5,5,4,1
40,White,Undergraduate degree (BA/BSc/other),"£30,000 - £39,999",Labour,Female,2,4,4,2,2,4,4,2,1,1,1,1,1,1,1,1,1,1
54,White,High school diploma/A-levels,"Less than £10,000 ",Labour,Female,4,3,2,3,4,3,2,2,3,3,2,2,1,1,1,1,2,2
59,White,Undergraduate degree (BA/BSc/other),"£20,000 - £29,999",Labour,Male,4,2,2,2,2,4,2,2,1,1,1,2,1,1,1,1,1,1
36,White,Undergraduate degree (BA/BSc/other),"Less than £10,000 ",Labour,Male,6,4,4,1,2,4,4,2,2,1,1,1,1,1,1,1,1,1
48,White,Technical/community college,"£40,000 - £49,999",Green Party,Male,4,4,2,2,2,4,4,1,2,2,2,2,1,1,1,1,1,1
