IDs,age,ageDifference,gender,genderDifference,issue,opinionFirst_1,opinionFirst_2,opinionFirst_3,opinionFirst_4,opinionFirst_5,opinionSecond_1,opinionSecond_2,opinionSecond_3,opinionSecond_4,opinionSecond_5,fullLiking_1,fullLiking_2,fullLiking_3,fullLiking_4,fullLiking_5,liking,similarity
4641,25,-6,1,1,1,-1,-1,1,-1,1,1,1,0,-1,0,5,5,5,5,4,5,1
4594,23,21,1,1,1,0,1,-1,-1,0,1,1,1,1,0,5,4,4,5,3,4,1
4708,22,-3,1,0,1,1,1,-1,-1,0,1,1,-1,-1,-1,5,5,5,5,2,5,4
4747,75,NaN,1,NaN,1,0,0,-1,1,1,1,1,-1,1,1,5,5,5,5,5,5,3
6630,21,NaN,1,NaN,0,1,-1,-1,1,0,-1,1,1,-1,1,4,4,5,5,2,4.5,0
4678,28,-7,1,0,1,-1,-1,0,-1,1,-1,-1,-1,-1,1,5,5,5,5,5,5,4
6629,25,16,1,1,0,1,-1,-1,1,-1,0,1,1,0,-1,5,3,4,4,4,3.5,1
6627,30,NaN,1,NaN,0,1,-1,-1,-1,-1,-1,-1,1,1,-1,5,5,5,5,5,5,2
4679,42,-13,1,0,1,-1,0,1,1,0,0,0,-1,-1,0,4,4,4,5,3,4,0
4711,20,9,0,1,1,-1,-1,-1,-1,1,-1,-1,-1,1,1,4,5,4,4,4,4.5,4
4715,24,1,0,1,1,1,-1,-1,1,0,0,1,1,0,-1,5,4,4,5,3,4,0
6643,44,NaN,0,NaN,0,0,1,0,1,0,-1,1,1,0,-1,5,4,4,4,4,4,1
6653,24,8,1,0,0,-1,1,-1,1,1,-1,1,1,-1,-1,5,4,4,5,1,4,2
4742,25,NaN,1,NaN,1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,5,5,5,5,3,5,3
6607,26,25,0,0,0,-1,1,1,1,1,1,-1,-1,1,1,5,3,4,5,1,3.5,2
4615,40,-19,1,0,1,1,1,1,-1,-1,0,1,-1,1,1,5,4,4,4,4,4,1
6637,43,-25,1,1,0,1,-1,1,-1,-1,1,1,-1,1,-1,5,4,4,4,4,4,2
4616,45,-24,1,1,1,1,0,-1,1,0,-1,0,1,-1,1,4,3,3,4,2,3,0
4740,22,5,1,1,1,1,1,-1,-1,0,1,0,1,-1,0,5,4,5,5,3,4.5,2
4695,24,NaN,1,NaN,1,-1,1,1,-1,0,-1,-1,-1,-1,0,5,5,5,5,1,5,2
4703,38,-10,1,1,1,-1,1,1,1,1,-1,-1,-1,-1,1,4,4,4,4,3,4,2
4614,35,NaN,0,NaN,1,1,1,0,-1,1,-1,0,-1,-1,0,4,3,3,5,4,3,1
6611,30,9,1,0,0,-1,-1,-1,1,-1,-1,1,-1,1,1,4,4,4,4,2,4,3
6652,52,-28,0,1,0,1,1,-1,1,1,1,1,-1,-1,1,5,5,5,5,5,5,4
6678,22,21,0,0,0,-1,1,1,1,0,-1,1,-1,1,-1,5,4,5,5,4,4.5,3
6679,41,-20,1,0,0,-1,-1,1,-1,1,-1,1,-1,1,0,4,5,5,5,3,5,1
6648,21,NaN,1,NaN,0,1,0,1,1,1,-1,-1,-1,1,1,4,4,4,4,1,4,2
6681,25,NaN,0,NaN,0,-1,-1,1,-1,-1,-1,-1,-1,-1,1,4,3,3,5,1,3,3
4584,34,-9,0,1,1,0,1,-1,-1,0,1,-1,-1,-1,1,5,4,4,5,5,4,2
6650,22,26,0,1,0,1,1,1,1,1,-1,1,1,-1,-1,3,4,4,5,1,4,2
4583,39,-12,1,0,1,-1,0,-1,1,-1,-1,-1,-1,-1,0,4,3,3,5,2,3,2
4449,18,NaN,0,NaN,1,1,1,-1,1,1,1,-1,1,0,1,4,2,2,5,3,2,2
6651,19,5,1,0,0,1,-1,1,1,-1,-1,-1,1,0,0,3,3,3,4,3,3,2
4439,27,30,0,0,1,0,1,1,1,-1,1,1,1,1,-1,5,4,4,5,1,4,4
4438,32,27,1,0,1,1,1,1,-1,0,1,1,1,-1,1,5,5,5,5,2,5,4
4422,32,-4,0,1,1,1,1,-1,-1,1,0,-1,-1,1,1,5,5,5,4,3,5,2
6678,43,-21,1,0,0,1,1,0,1,-1,-1,1,1,1,0,5,5,5,5,1,5,2
6699,29,-4,0,0,0,-1,1,1,-1,1,0,0,0,0,0,3,4,3,5,2,3.5,0
4585,46,-22,1,1,1,-1,1,1,-1,0,-1,1,1,-1,0,5,5,4,5,3,4.5,4
4460,37,NaN,0,NaN,1,-1,0,1,-1,1,1,0,1,-1,-1,3,3,3,3,2,3,2
4451,26,NaN,0,NaN,1,-1,1,-1,1,1,1,-1,1,1,-1,4,3,4,3,4,3.5,1
4465,37,-18,1,0,1,-1,-1,1,-1,1,1,1,0,-1,0,5,5,5,5,1,5,1
4402,23,30,1,0,1,1,1,1,-1,-1,-1,0,-1,-1,-1,4,1,1,5,1,1,2
6624,22,34,0,1,0,-1,-1,1,-1,-1,1,1,1,-1,1,4,3,4,5,1,3.5,2
4423,36,-2,0,1,1,-1,1,0,1,1,-1,1,-1,-1,1,4,3,4,3,1,3.5,3
6624,56,-34,0,1,0,1,1,1,-1,1,-1,-1,1,-1,-1,4,3,3,4,4,3,2
4540,48,-18,0,0,1,-1,-1,-1,-1,1,1,-1,1,-1,0,5,5,5,5,4,5,2
6625,30,NaN,0,NaN,0,-1,1,-1,-1,-1,0,-1,1,1,1,5,5,5,5,5,5,0
4401,30,-7,0,0,1,1,0,0,-1,-1,-1,1,-1,1,1,5,5,5,5,5,5,0
4501,41,8,1,0,1,1,1,1,0,0,1,1,1,1,1,4,4,5,4,4,4.5,3
4502,47,-3,1,1,1,-1,1,1,-1,0,1,1,1,1,1,5,4,4,5,3,4,2
4418,24,-2,1,0,1,1,1,0,-1,-1,1,1,1,0,0,5,4,4,5,4,4,2
4417,27,2,0,0,1,1,1,1,-1,-1,-1,1,0,1,0,4,3,3,4,4,3,1
4535,24,12,0,1,1,1,1,0,-1,-1,-1,-1,-1,-1,0,4,4,4,5,1,4,1
4537,23,NaN,0,NaN,1,1,1,-1,-1,0,-1,-1,-1,-1,1,4,4,4,5,4,4,2
6702,52,-28,0,0,0,1,1,1,-1,1,1,1,-1,0,-1,5,5,5,5,5,5,2
4415,30,NaN,0,NaN,1,0,1,-1,-1,-1,1,1,-1,-1,1,5,4,4,5,4,4,3
6701,42,1,0,0,0,1,1,1,-1,1,-1,-1,-1,-1,-1,3,2,2,3,1,2,1
4419,27,-2,1,0,1,1,1,1,-1,-1,1,1,-1,1,0,4,3,3,5,3,3,2
6931,24,NaN,0,NaN,0,-1,-1,-1,-1,1,1,-1,1,1,-1,4,4,4,4,4,4,1
4440,34,-8,1,1,1,-1,1,0,0,1,0,1,-1,-1,0,5,5,5,5,4,5,1
4416,32,18,0,0,1,1,1,1,-1,-1,-1,1,1,-1,1,5,4,5,4,2,4.5,3
6702,24,28,1,0,0,1,1,-1,0,-1,1,1,1,-1,1,5,4,4,4,1,4,2
6705,27,NaN,0,NaN,0,1,1,-1,-1,1,-1,1,-1,-1,-1,5,4,5,5,5,4.5,3
4454,37,-8,1,0,1,-1,1,-1,0,0,1,-1,-1,0,0,5,5,5,5,2,5,1
6687,34,-12,0,1,0,-1,1,1,-1,1,1,1,-1,-1,-1,5,4,3,4,5,3.5,2
4453,43,-20,0,1,1,-1,1,-1,-1,1,1,-1,1,-1,0,4,3,3,5,4,3,1
6694,42,4,0,0,0,-1,1,-1,-1,-1,-1,1,1,0,0,5,5,5,5,3,5,2
4556,24,NaN,1,NaN,1,-1,1,-1,-1,0,-1,-1,-1,1,-1,4,4,4,4,3,4,2
6667,29,NaN,1,NaN,0,1,1,1,-1,0,-1,-1,1,-1,-1,5,3,3,5,3,3,2
4473,37,-19,1,0,1,1,0,1,-1,0,1,1,-1,-1,0,5,3,5,5,3,4,2
4474,32,15,0,0,1,1,1,-1,-1,1,1,1,0,1,1,3,3,3,3,1,3,3
4543,46,-23,0,0,1,1,1,1,-1,0,-1,-1,1,-1,0,5,5,5,5,4,5,2
6668,24,NaN,1,NaN,0,0,-1,1,0,0,-1,0,-1,-1,-1,4,4,3,4,4,3.5,0
6663,23,15,0,1,0,-1,1,1,-1,-1,1,1,-1,-1,-1,4,4,4,5,1,4,3
6697,21,27,1,0,0,1,1,-1,1,-1,-1,1,1,-1,-1,5,5,4,5,3,4.5,2
4531,37,NaN,0,NaN,1,1,-1,1,1,-1,1,-1,1,1,-1,5,4,4,5,4,4,5
4530,37,4,1,1,1,0,-1,1,-1,0,-1,0,1,-1,1,5,4,4,5,1,4,2
4542,20,NaN,1,NaN,1,1,1,0,-1,0,-1,1,-1,1,1,3,4,5,4,1,4.5,1
4503,58,-15,0,0,1,-1,-1,-1,1,1,-1,-1,1,1,1,4,3,4,5,4,3.5,4
7025,24,13,1,1,0,-1,-1,-1,-1,-1,0,0,0,0,0,5,5,4,5,4,4.5,0
4508,34,NaN,1,NaN,1,-1,1,0,1,1,-1,1,1,-1,1,5,5,4,5,3,4.5,3
6772,42,-13,1,1,0,-1,-1,-1,-1,-1,1,1,1,-1,1,5,5,5,5,5,5,1
7012,38,NaN,1,NaN,0,1,-1,-1,1,1,-1,-1,-1,-1,1,3,1,1,3,3,1,3
6696,24,5,0,1,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,5,4,4,5,3,4,2
6664,23,NaN,1,NaN,0,-1,-1,-1,1,-1,-1,1,1,0,0,4,3,4,5,3,3.5,1
7018,48,-17,1,0,0,-1,1,-1,-1,-1,1,1,1,1,0,3,2,2,5,1,2,1
6771,46,-17,1,0,0,1,1,1,1,1,-1,1,1,-1,0,4,2,3,3,2,2.5,2
4565,30,19,1,1,1,1,1,1,-1,0,1,1,1,-1,-1,5,5,5,5,5,5,4
7017,26,-3,1,1,0,1,-1,-1,1,0,1,-1,1,1,-1,3,2,2,3,1,2,3
6673,21,NaN,0,NaN,0,1,0,-1,1,-1,1,-1,-1,-1,0,5,4,5,3,4,4.5,2
4558,47,NaN,0,NaN,1,1,-1,1,-1,1,1,1,1,1,0,4,4,4,5,3,4,2
4545,21,NaN,1,NaN,1,1,1,1,-1,0,1,-1,1,-1,-1,5,5,3,5,3,4,3
6770,40,-12,0,1,0,1,-1,1,1,1,-1,-1,-1,-1,-1,2,1,2,3,1,1.5,1
7026,24,10,1,1,0,-1,-1,-1,-1,-1,0,1,1,1,-1,4,3,3,5,3,3,1
4506,38,-5,1,0,1,1,1,-1,1,1,1,1,1,-1,-1,5,4,4,5,5,4,2
7022,26,NaN,0,NaN,0,-1,-1,1,-1,-1,-1,1,-1,1,1,5,4,3,5,4,3.5,1
4536,38,NaN,0,NaN,1,0,1,-1,-1,0,1,1,-1,-1,-1,4,4,4,5,2,4,3
7011,54,NaN,0,NaN,0,1,1,1,-1,1,1,1,1,-1,1,3,3,4,4,3,3.5,5
6769,37,-9,1,1,0,-1,-1,-1,1,1,-1,-1,-1,0,0,5,4,4,5,4,4,3
7021,24,10,1,1,0,-1,-1,1,-1,-1,1,1,1,-1,-1,4,2,3,5,2,2.5,3
7007,29,-8,1,0,0,-1,1,1,-1,1,-1,1,1,1,-1,5,4,5,5,4,4.5,3
4753,34,16,0,1,1,1,1,-1,1,0,-1,-1,-1,1,1,5,5,5,5,3,5,2
7002,25,-1,1,0,0,-1,1,-1,1,1,-1,-1,1,-1,-1,5,4,4,5,3,4,1
4752,30,-2,0,1,1,1,1,1,-1,-1,1,0,1,-1,-1,4,4,4,4,3,4,4
6689,41,-4,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4,4,4,3,4,5
6688,39,-17,1,0,0,0,0,1,-1,-1,-1,1,1,-1,-1,5,5,5,5,2,5,3
7021,34,-10,1,1,0,1,1,1,-1,-1,-1,-1,1,-1,-1,4,3,3,5,4,3,3
6696,29,-5,0,1,0,-1,-1,-1,-1,-1,0,0,1,-1,-1,5,4,4,5,3,4,2
7015,28,NaN,0,NaN,0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,5,3,3,3,3,3,4
6684,25,0,1,0,0,0,0,1,0,0,1,1,1,-1,0,4,4,4,4,2,4,1
6698,24,7,1,1,0,-1,-1,-1,-1,-1,0,0,0,0,0,5,5,5,5,5,5,0
7023,60,-32,1,1,0,-1,-1,1,1,-1,-1,1,0,0,-1,5,4,4,5,5,4,2
4452,23,2,0,0,1,-1,0,-1,1,0,-1,0,1,1,1,4,4,4,3,3,4,2
6663,38,-15,0,1,0,1,1,-1,-1,-1,-1,1,1,-1,-1,4,4,4,5,1,4,3
6613,33,NaN,0,NaN,0,-1,-1,1,-1,-1,1,-1,1,0,0,5,5,5,5,4,5,2
4479,31,1,0,0,1,-1,0,-1,1,1,-1,0,1,1,1,3,4,2,5,3,3,3
4443,55,-16,0,0,1,-1,-1,-1,-1,1,1,-1,1,-1,1,5,5,5,5,5,5,3
6694,46,-4,1,0,0,0,1,1,0,0,-1,1,-1,-1,-1,3,3,3,5,2,3,1
4571,74,-27,1,1,1,-1,0,1,1,1,0,1,1,-1,0,5,5,5,5,5,5,1
6697,48,-27,0,0,0,-1,1,1,-1,-1,1,1,-1,1,-1,4,4,3,5,2,3.5,2
6605,51,NaN,1,NaN,0,1,1,1,1,1,-1,1,1,-1,1,4,4,3,4,2,3.5,3
4431,28,-3,1,0,1,1,1,1,-1,0,-1,0,-1,0,0,4,3,3,5,3,3,0
4427,20,10,0,0,1,1,1,1,-1,0,-1,1,-1,-1,1,5,4,4,5,4,4,2
6693,40,-15,0,0,0,1,1,1,0,1,1,-1,-1,1,-1,4,5,5,5,2,5,1
4413,32,NaN,1,NaN,1,1,-1,-1,-1,0,1,0,1,1,0,5,3,4,5,3,3.5,1
4433,29,1,1,1,1,1,-1,1,-1,0,1,1,-1,-1,-1,5,4,5,5,4,4.5,2
6691,40,-14,0,0,0,1,1,1,-1,1,-1,-1,0,1,1,5,5,5,5,4,5,1
4455,26,15,0,0,1,-1,1,-1,-1,-1,-1,0,0,1,1,5,4,4,4,3,4,1
6887,52,-4,0,1,0,1,0,1,1,-1,1,-1,1,-1,-1,3,3,3,3,3,3,3
4455,41,-15,1,0,1,-1,0,0,1,1,-1,1,-1,-1,-1,4,4,3,5,3,3.5,1
6887,48,4,0,1,0,1,-1,1,-1,-1,1,0,1,1,-1,4,3,1,5,2,2,3
6890,21,27,1,0,0,-1,0,0,1,1,-1,-1,1,1,-1,3,2,2,3,1,2,2
4496,56,-33,1,0,1,1,-1,1,1,1,-1,0,-1,-1,1,3,3,2,3,2,2.5,1
6658,19,3,0,0,0,1,1,1,-1,1,-1,-1,-1,-1,-1,5,4,4,5,5,4,1
4428,24,38,1,0,1,1,-1,1,0,0,-1,-1,-1,-1,1,4,3,3,4,1,3,1
6770,28,12,0,1,0,-1,-1,-1,-1,-1,1,-1,1,1,1,3,3,3,3,3,3,1
4454,29,8,0,0,1,1,-1,-1,0,0,-1,1,-1,1,1,4,4,4,5,2,4,1
6804,28,NaN,1,NaN,0,1,1,-1,-1,-1,1,1,-1,-1,-1,4,5,5,5,5,5,5
6688,22,17,0,0,0,-1,1,1,-1,-1,0,0,1,-1,-1,5,4,4,5,4,4,3
4417,29,-2,1,0,1,-1,1,0,1,0,1,1,1,-1,-1,4,3,4,5,2,3.5,1
4513,41,-15,1,0,1,-1,1,1,-1,1,-1,-1,-1,-1,1,5,5,5,5,4,5,3
4426,55,-25,0,0,1,-1,-1,-1,1,1,1,1,1,-1,1,5,5,5,5,5,5,1
4427,30,-10,1,0,1,-1,1,-1,-1,1,1,1,1,-1,0,5,4,4,5,2,4,2
4447,22,9,0,1,1,1,0,-1,-1,1,1,1,1,-1,-1,4,3,3,5,2,3,2
4470,48,-25,1,0,1,0,0,1,-1,0,-1,0,-1,1,-1,4,3,3,5,2,3,0
4445,22,9,0,1,1,1,0,-1,-1,1,1,1,1,-1,-1,5,5,5,5,1,5,2
6818,27,NaN,0,NaN,0,-1,1,1,1,-1,1,0,-1,1,-1,5,5,4,3,5,4.5,2
4467,33,-8,1,0,1,-1,1,-1,1,0,1,0,1,-1,0,5,4,3,5,4,3.5,0
6626,36,-9,1,1,0,-1,-1,-1,-1,-1,1,1,1,-1,-1,5,4,5,5,4,4.5,2
4444,33,-5,0,0,1,0,-1,-1,1,1,1,1,-1,-1,1,5,5,5,5,4,5,2
4430,23,16,1,0,1,1,1,1,-1,0,0,1,1,-1,0,5,5,4,5,3,4.5,3
6771,29,17,0,0,0,-1,1,1,-1,0,1,1,1,1,1,5,4,4,5,4,4,2
4425,70,-40,1,0,1,1,1,1,-1,-1,-1,0,0,-1,0,5,3,4,5,3,3.5,1
6635,30,-1,1,0,0,1,1,0,0,1,-1,1,1,-1,-1,4,3,4,4,3,3.5,1
6772,29,13,1,1,0,1,1,1,-1,1,-1,-1,-1,-1,-1,5,5,5,5,5,5,1
6635,29,1,0,0,0,-1,1,1,-1,-1,1,1,0,0,1,5,5,5,5,4,5,1
4424,67,-35,1,1,1,1,1,1,-1,-1,-1,1,0,-1,0,4,3,3,5,4,3,2
4465,19,18,0,0,1,1,1,0,-1,0,-1,-1,1,-1,1,3,2,2,4,2,2,1
4566,44,-13,1,0,1,-1,1,1,-1,0,1,-1,-1,-1,1,3,2,3,5,2,2.5,1
6653,32,-8,0,0,0,-1,1,1,-1,-1,-1,1,-1,1,1,5,3,4,5,2,3.5,2
4450,40,NaN,1,NaN,1,-1,1,1,1,0,1,0,1,0,0,5,5,5,5,5,5,1
6943,29,NaN,0,NaN,0,-1,1,0,1,0,1,1,1,-1,-1,5,4,4,5,4,4,1
6845,24,NaN,1,NaN,0,0,1,-1,1,0,1,1,1,0,1,5,5,5,5,5,5,1
4426,30,25,1,0,1,1,1,1,-1,1,-1,-1,-1,1,1,4,4,4,5,1,4,1
6652,24,28,0,1,0,1,1,-1,-1,1,1,1,-1,1,1,4,3,4,4,1,3.5,4
4412,41,NaN,1,NaN,1,-1,-1,1,0,0,1,1,0,-1,1,5,4,4,5,4,4,0
4466,37,-7,1,1,1,0,1,1,-1,0,1,0,1,-1,0,3,3,3,4,2,3,2
6687,22,12,0,1,0,1,1,-1,-1,-1,-1,1,1,-1,1,3,2,2,5,1,2,2
6860,23,NaN,1,NaN,0,1,-1,1,0,0,-1,1,-1,1,-1,5,5,5,5,3,5,0
4581,26,NaN,1,NaN,1,1,1,0,-1,0,1,-1,1,0,1,5,5,4,5,4,4.5,1
6986,29,-1,0,1,0,0,-1,1,1,-1,1,-1,1,-1,-1,5,4,5,5,4,4.5,3
4480,30,NaN,0,NaN,1,-1,1,-1,-1,1,1,1,1,-1,0,4,4,4,5,1,4,2
6629,41,-16,1,1,0,0,1,1,0,-1,1,-1,-1,1,-1,3,3,3,4,3,3,1
4516,36,-3,0,1,1,1,1,0,1,1,-1,1,-1,-1,1,5,5,4,5,1,4.5,2
6730,38,-11,1,0,0,1,1,1,-1,-1,0,0,0,0,0,5,5,5,5,4,5,0
4458,27,NaN,0,NaN,1,1,1,1,-1,-1,-1,1,1,-1,1,5,4,4,4,2,4,3
4469,36,-8,0,0,1,-1,0,-1,-1,1,-1,0,-1,0,1,5,4,5,5,5,4.5,3
6730,27,11,0,0,0,0,0,0,0,0,1,1,1,-1,-1,4,3,3,4,3,3,0
6999,47,NaN,1,NaN,0,1,1,-1,-1,0,1,1,-1,1,-1,5,4,4,5,4,4,3
6632,28,2,1,1,0,0,-1,-1,1,0,-1,1,-1,-1,-1,5,5,4,5,3,4.5,1
4507,40,NaN,1,NaN,1,1,1,1,-1,-1,1,1,-1,-1,1,5,3,5,5,2,4,3
6902,21,6,2,0,0,1,1,1,0,0,1,1,-1,1,-1,3,3,3,3,5,3,2
4457,21,NaN,1,NaN,1,1,1,1,-1,0,-1,-1,-1,1,1,4,3,2,4,1,2.5,0
4482,21,-2,1,0,1,1,1,1,-1,1,1,1,-1,-1,-1,4,3,2,4,3,2.5,3
6992,25,2,0,1,0,-1,-1,1,-1,0,0,-1,1,-1,0,4,3,3,5,1,3,3
4552,18,29,0,0,1,1,-1,1,-1,1,-1,1,-1,-1,1,4,4,5,5,3,4.5,2
6900,35,-4,0,1,0,-1,-1,-1,-1,-1,-1,1,1,1,1,5,5,4,5,4,4.5,1
4466,30,7,1,1,1,1,0,1,-1,0,0,1,1,-1,0,3,3,3,4,3,3,2
6900,31,4,0,1,0,-1,1,1,1,1,-1,-1,-1,-1,-1,5,4,5,4,5,4.5,1
4481,28,14,1,1,1,1,1,1,-1,-1,-1,1,1,-1,1,5,5,5,5,4,5,3
6626,27,9,1,1,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,5,4,4,5,4,4,2
6985,30,-5,0,0,0,-1,-1,1,0,-1,-1,-1,-1,-1,-1,4,3,5,5,1,4,3
4553,18,18,1,0,1,1,0,-1,1,-1,-1,0,-1,1,1,4,4,4,5,1,4,2
7002,24,1,0,0,0,-1,1,-1,1,0,-1,1,1,1,0,5,5,5,5,3,5,3
6693,25,15,1,0,0,1,-1,-1,1,-1,1,1,1,0,1,5,5,5,5,4,5,1
7003,21,NaN,1,NaN,0,1,0,1,0,0,1,0,1,-1,1,4,4,4,4,3,4,2
6695,27,NaN,0,NaN,0,-1,-1,-1,-1,-1,-1,1,-1,1,0,5,3,3,5,4,3,2
7001,21,5,1,1,0,-1,-1,0,-1,1,-1,1,1,-1,1,5,5,5,5,2,5,3
4404,20,3,1,1,1,-1,-1,0,1,1,1,1,1,1,-1,4,3,3,4,2,3,1
6786,22,0,0,0,0,0,-1,1,-1,-1,-1,0,-1,1,1,5,4,5,5,5,4.5,0
4479,32,-1,1,0,1,-1,0,1,1,1,-1,0,-1,1,1,3,3,3,3,3,3,3
6603,52,1,1,0,0,-1,1,1,-1,1,1,-1,1,-1,1,5,5,4,3,3,4.5,3
4464,31,0,1,1,1,-1,1,1,-1,0,1,1,1,-1,0,5,5,4,5,4,4.5,3
7000,25,21,0,1,0,1,1,-1,-1,-1,0,1,-1,1,-1,5,5,5,5,3,5,3
6852,18,NaN,0,NaN,0,-1,1,-1,1,-1,1,0,1,1,-1,4,4,4,4,3,4,2
6691,26,14,1,0,0,-1,-1,0,1,1,1,1,1,-1,1,5,3,4,5,2,3.5,1
7026,34,-10,1,1,0,0,1,1,1,-1,-1,-1,-1,-1,-1,5,5,5,5,5,5,1
4422,28,4,0,1,1,0,-1,-1,1,1,1,1,-1,-1,1,4,5,4,5,4,4.5,2
7000,46,-21,0,1,0,0,1,-1,1,-1,1,1,-1,-1,-1,4,3,3,5,3,3,3
4478,25,NaN,0,NaN,1,-1,1,1,1,0,1,-1,1,-1,0,3,3,4,5,4,3.5,1
7027,26,0,0,1,0,0,0,1,1,0,1,-1,0,1,1,3,2,3,4,1,2.5,1
6602,27,3,1,1,0,0,-1,1,-1,-1,1,-1,1,1,-1,4,4,4,4,4,4,3
4566,31,13,0,0,1,1,-1,-1,-1,1,-1,1,1,-1,0,4,3,4,5,1,3.5,1
6828,34,0,1,0,0,-1,-1,1,-1,-1,-1,-1,1,-1,1,5,5,4,5,5,4.5,4
6956,21,5,1,0,0,1,-1,-1,1,-1,-1,1,1,-1,-1,5,4,4,5,5,4,1
6956,26,-5,0,0,0,-1,1,1,-1,-1,1,-1,-1,1,-1,5,4,4,5,5,4,1
4582,26,35,1,0,1,1,1,1,-1,1,-1,-1,1,1,1,4,3,4,5,1,3.5,2
6632,30,-2,1,1,0,-1,1,-1,-1,-1,0,-1,-1,1,0,4,3,3,4,3,3,1
4476,21,NaN,0,NaN,1,-1,1,0,-1,1,1,-1,-1,1,0,4,3,4,4,3,3.5,0
6651,24,-5,0,0,0,-1,-1,1,0,0,1,-1,1,1,-1,5,4,4,5,4,4,2
6980,20,9,0,1,0,0,-1,1,0,0,0,1,1,1,-1,5,4,4,5,4,4,1
6902,27,-6,1,0,0,1,1,-1,1,-1,1,1,1,0,0,5,4,4,4,4,4,2
4475,22,3,0,1,1,-1,0,-1,-1,1,-1,-1,1,-1,1,5,4,5,4,3,4.5,3
4565,49,-19,1,1,1,1,1,1,-1,-1,1,1,1,-1,0,5,5,5,5,5,5,4
6981,31,NaN,1,NaN,0,1,-1,1,-1,1,1,1,1,1,1,5,5,5,5,2,5,3
4584,25,9,0,1,1,1,-1,-1,-1,1,0,1,-1,-1,0,5,5,5,5,5,5,2
4564,51,-22,0,1,1,1,1,1,-1,-1,-1,0,-1,-1,1,5,4,4,4,5,4,1
4515,36,-5,1,1,1,1,-1,0,-1,-1,-1,0,-1,-1,1,4,3,3,5,1,3,1
6824,32,-6,1,0,0,-1,-1,-1,-1,-1,-1,1,1,-1,-1,5,5,5,5,4,5,3
6836,29,1,0,1,0,1,1,-1,-1,1,1,0,1,0,1,5,4,3,4,3,3.5,2
4407,53,-24,0,0,1,-1,0,-1,1,1,-1,1,-1,-1,0,5,4,4,4,3,4,2
6985,25,5,1,0,0,-1,-1,-1,-1,-1,-1,-1,1,0,-1,3,3,3,4,1,3,3
6980,29,-9,0,1,0,0,1,1,1,-1,0,-1,1,0,0,4,3,4,5,3,3.5,1
4512,59,NaN,1,NaN,1,1,1,1,1,-1,-1,1,-1,-1,0,4,4,3,4,3,3.5,1
6984,30,NaN,0,NaN,0,0,0,1,0,1,-1,0,-1,1,-1,4,3,3,5,3,3,0
6923,20,9,1,1,0,-1,-1,-1,-1,0,0,-1,-1,1,0,4,3,3,4,4,3,2
