Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,agreement,attn_check,negative_cons,age,gender,educationScore,femalesAs1MaleAs0,income,incomeScore,householdIncomeEstimate,participant_id,assignment_id,computer_country,condition,proposal
100,136,1,07/08/2019 11:20,R_3CNmp6gzyvL6fdP,,,,,anonymous,EN-GB,3,4,6,38,female,5,,"$85,000 to $114,999",5,100000,289283b8,7c874108,United States,oneoff,proposal
100,189,1,07/08/2019 11:32,R_3Diuv5hiLovBLqT,,,,,anonymous,EN-GB,7,4,5,39,male,5,,"$85,000 to $114,999",5,100000,307854c1,7caed65a,United States,policy-base,policy
100,99,1,07/08/2019 11:38,R_2P1q8iCsl7EfinG,,,,,anonymous,EN-GB,6,4,5,61,male,3,,"$60,000 to $84,999",4,72500,4b251f4b,b48f1ee3,United States,oneoff,proposal
100,106,1,07/08/2019 11:38,R_2qjTKpCAaRVqnec,,,,,anonymous,EN-GB,5,4,6,44,male,4,,"$10,000 to $24,999",1,17500,abce4aef,d4378293,United States,policy-repeal,policy
100,82,1,07/08/2019 11:38,R_vNC5pU4f0d4OVkl,,,,,anonymous,EN-GB,3,3,4,33,male,2,,"$25,000 to $39,999",2,32500,637acbb7,73ec0069,United States,oneoff,proposal
100,42,1,07/08/2019 11:38,R_3nd4fpADArSVv7I,,,,,anonymous,EN-GB,6,4,3,30,female,5,,"$150,000 to $199,999",7,175000,2730e6e9,7ebebc2d,United States,oneoff,proposal
100,99,1,07/08/2019 11:38,R_2qad4PI6cU0MKWw,,,,,anonymous,EN-GB,7,4,5,28,female,5,,"$25,000 to $39,999",2,32500,bb3a83ac,31184ca8,United States,policy-base,policy
100,116,1,07/08/2019 11:38,R_1HoEN36zitDa7Ow,,,,,anonymous,EN-GB,2,4,7,25,male,2,,"$25,000 to $39,999",2,32500,0133f092,b7c9092f,United States,policy-repeal,policy
100,127,1,07/08/2019 11:38,R_1fcMFvDu3nF4viI,,,,,anonymous,EN-GB,5,4,5,32,male,5,,"$25,000 to $39,999",2,32500,0373f185,bc431e1f,United States,policy-base,policy
100,32,1,07/08/2019 11:38,R_2rPH1qJPu2L28GS,,,,,anonymous,EN-GB,3,4,7,27,male,5,,"$25,000 to $39,999",2,32500,3b43cd3c,61bc4276,United States,policy-base,policy
100,135,1,07/08/2019 11:39,R_RgavSclHJovCtXz,,,,,anonymous,EN-GB,3,4,6,53,female,6,,"$10,000 to $24,999",1,17500,cf7d92c8,de786405,United States,policy-base,policy
100,60,1,07/08/2019 11:39,R_3hi4aZvTrV9t3OG,,,,,anonymous,EN-GB,2,4,6,46,female,6,,"$60,000 to $84,999",4,72500,4a963b1f,75ebee04,United States,policy-base,policy
100,92,1,07/08/2019 11:39,R_1NqWR31QjBhm6rO,,,,,anonymous,EN-GB,5,4,7,29,female,5,,"$25,000 to $39,999",2,32500,52a41bd7,9c65f451,United States,policy-repeal,policy
100,124,1,07/08/2019 11:39,R_2c0ez6OEKySjPPt,,,,,anonymous,EN-GB,7,4,1,34,male,4,,"$60,000 to $84,999",4,72500,75817f72,63685a4c,United States,policy-base,policy
100,126,1,07/08/2019 11:39,R_5yVqabrMkNtxRRf,,,,,anonymous,EN-GB,5,4,3,69,male,6,,"$40,000 to $59,999",3,50000,3919c2a6,1.98E+289,United States,policy-repeal,policy
100,103,1,07/08/2019 11:39,R_ujJUsKYBX3z3tVD,,,,,anonymous,EN-GB,1,4,7,46,female,6,,"$85,000 to $114,999",5,100000,a9bb23ac,146a60f1,United States,policy-repeal,policy
100,99,1,07/08/2019 11:39,R_W1KpRFbbUX0sW0V,,,,,anonymous,EN-GB,5,4,6,38,female,2,,"$25,000 to $39,999",2,32500,0f89c0b8,f62faf5f,United States,policy-base,policy
100,74,1,07/08/2019 11:39,R_3p3UzEKmj0yVJXB,,,,,anonymous,EN-GB,1,4,7,39,male,2,,"$40,000 to $59,999",3,50000,a8ae39fd,7.46E+81,United States,policy-repeal,policy
100,120,1,07/08/2019 11:40,R_Wcd7BfCdmhgOCuR,,,,,anonymous,EN-GB,6,4,5,26,female,2,,"$40,000 to $59,999",3,50000,f890cadf,1f62498a,United States,policy-repeal,policy
100,115,1,07/08/2019 11:40,R_2rZQ7BXNO9glFwH,,,,,anonymous,EN-GB,6,4,7,47,female,6,,"$115,000 to $149,999",6,132500,c6e6870d,1543d621,United States,oneoff,proposal
100,77,1,07/08/2019 11:40,R_2ZHNJoV2tYjuALM,,,,,anonymous,EN-GB,2,4,6,45,female,4,,"$10,000 to $24,999",1,17500,bcb3b17b,c71d4f70,United States,policy-repeal,policy
100,111,1,07/08/2019 11:40,R_1cStwYNhMDZXPGm,,,,,anonymous,EN-GB,5,4,4,50,male,3,,"$25,000 to $39,999",2,32500,438ae402,6442abaf,United States,policy-base,policy
100,182,1,07/08/2019 11:40,R_1M09IjTblLrCVpq,,,,,anonymous,EN-GB,5,4,6,54,male,2,,"$85,000 to $114,999",5,100000,a9106a16,820a70cf,United States,oneoff,proposal
100,179,1,07/08/2019 11:40,R_10wlLJVIkVEY491,,,,,anonymous,EN-GB,3,4,7,44,female,3,,"$60,000 to $84,999",4,72500,d505ba48,8a88f7b7,United States,policy-base,policy
100,137,1,07/08/2019 11:40,R_3fJfsze9zM3lUKJ,,,,,anonymous,EN-GB,5,4,5,38,male,2,,"$25,000 to $39,999",2,32500,08495d9f,c1a2d432,United States,policy-repeal,policy
100,215,1,07/08/2019 11:40,R_1n3nOLtCLN2CsZX,,,,,anonymous,EN-GB,5,4,2,35,female,5,,"$60,000 to $84,999",4,72500,00f313b3,62ff688f,United States,policy-repeal,policy
100,43,1,07/08/2019 11:40,R_2zAMMTTXYwBNPdh,,,,,anonymous,EN-GB,3,4,6,32,male,5,,"$85,000 to $114,999",5,100000,00e860a2,f2957866,United States,policy-repeal,policy
100,116,1,07/08/2019 11:40,R_2CEdEUGI24lNrBO,,,,,anonymous,EN-GB,2,4,6,25,male,2,,"$10,000 to $24,999",1,17500,ec43aef4,c1467bfd,United States,oneoff,proposal
100,120,1,07/08/2019 11:41,R_x9Oqa6HU7nrbbsR,,,,,anonymous,EN-GB,1,4,7,41,female,2,,"$40,000 to $59,999",3,50000,8425810e,ff415313,United States,policy-repeal,policy
100,155,1,07/08/2019 11:41,R_3HhqlRycvxmAaNI,,,,,anonymous,EN-GB,2,4,2,32,male,6,,"$85,000 to $114,999",5,100000,3662ffe1,0cf7557f,United States,policy-repeal,policy
100,131,1,07/08/2019 11:41,R_87AZTZoCFGcOZtT,,,,,anonymous,EN-GB,4,4,6,26,male,4,,"$40,000 to $59,999",3,50000,c84a4519,d4e1da00,United States,policy-base,policy
100,77,1,07/08/2019 11:41,R_1mwtcTfYkhm5dEK,,,,,anonymous,EN-GB,7,4,2,38,male,5,,"$115,000 to $149,999",6,132500,0c711f23,39540f87,United States,oneoff,proposal
100,164,1,07/08/2019 11:42,R_571drfRCd4bzlnz,,,,,anonymous,EN-GB,6,4,6,34,male,5,,"Less than $9,999",0,5000,0b180415,93925c4a,United States,policy-base,policy
100,146,1,07/08/2019 11:42,R_2WYgKTLcTgrLqNC,,,,,anonymous,EN-GB,7,4,3,43,male,6,,"Less than $9,999",0,5000,22f4a06b,9dfcafa8,United States,policy-base,policy
100,331,1,07/08/2019 11:42,R_2YmM0w4peKfN9BL,,,,,anonymous,EN-GB,2,4,6,57,male,4,,"$10,000 to $24,999",1,17500,a851b22d,0c18c77e,United States,policy-repeal,policy
100,226,1,07/08/2019 11:42,R_1JCI1fgBGMCqbOx,,,,,anonymous,EN-GB,7,4,5,28,female,2,,"$25,000 to $39,999",2,32500,bd278011,ba35b5ab,United States,policy-base,policy
100,350,1,07/08/2019 11:42,R_b2DnKq6hNfuwm5j,,,,,anonymous,EN-GB,5,4,5,30,male,4,,"$25,000 to $39,999",2,32500,c1d74c28,c0cacd9f,United States,oneoff,proposal
100,35,1,07/08/2019 11:42,R_xc7jTsyvf4HHXGN,,,,,anonymous,EN-GB,5,4,4,30,male,5,,"$40,000 to $59,999",3,50000,cd2a0da8,c1557fe2,United States,policy-repeal,policy
100,242,1,07/08/2019 11:42,R_3sBRaktERl73TwP,,,,,anonymous,EN-GB,3,4,5,30,female,4,,"Less than $9,999",0,5000,2f6b6ebe,10794244,United States,policy-base,policy
100,153,1,07/08/2019 11:42,R_1hSkU6oP1YFKdqh,,,,,anonymous,EN-GB,5,4,3,21,female,2,,"$10,000 to $24,999",1,17500,db2e10a2,98e2dc1d,United States,oneoff,proposal
100,63,1,07/08/2019 11:43,R_3oUgqSz4YaPi3v3,,,,,anonymous,EN-GB,2,4,5,40,male,6,,"$60,000 to $84,999",4,72500,e528d1a8,68351116,United States,policy-repeal,policy
100,98,1,07/08/2019 11:43,R_30d6UE0N1BQiX97,,,,,anonymous,EN-GB,5,4,5,36,male,5,,"$40,000 to $59,999",3,50000,def514fc,ca9ce5ca,United States,oneoff,proposal
100,153,1,07/08/2019 11:43,R_U9Lr0AqjFxsZGhz,,,,,anonymous,EN-GB,3,4,5,67,female,4,,"$60,000 to $84,999",4,72500,6b84c1a2,55a5e557,United States,policy-repeal,policy
100,163,1,07/08/2019 11:43,R_21omZSTVh50xe7N,,,,,anonymous,EN-GB,3,4,5,49,male,3,,"$10,000 to $24,999",1,17500,dbaa93c3,788330ab,United States,policy-repeal,policy
100,237,1,07/08/2019 11:43,R_8oyjcykf0Yz4Cbf,,,,,anonymous,EN-GB,5,4,6,54,female,4,,"$150,000 to $199,999",7,175000,f2ecaeec,b5d0ec74,United States,oneoff,proposal
100,103,1,07/08/2019 11:43,R_3nGdAkUJVmJdOYo,,,,,anonymous,EN-GB,1,4,5,29,female,4,,"$40,000 to $59,999",3,50000,9500a6d9,4737533,United States,oneoff,proposal
100,152,1,07/08/2019 11:44,R_NWSkbuuj67oYOAx,,,,,anonymous,EN-GB,4,4,5,63,female,4,,"$60,000 to $84,999",4,72500,9c0ffe77,5ea50328,United States,policy-base,policy
100,98,1,07/08/2019 11:44,R_elfoX6AgGc6lZjr,,,,,anonymous,EN-GB,7,4,1,37,female,5,,"$85,000 to $114,999",5,100000,ba197ce1,b46b034e,United States,policy-base,policy
100,88,1,07/08/2019 11:44,R_eLsY6wVIiGCh2tX,,,,,anonymous,EN-GB,5,4,4,47,female,5,,"$200,000 or more",8,225000,9b568582,213f32bb,United States,policy-base,policy
100,116,1,07/08/2019 11:44,R_2XiVtoeC63HFIcj,,,,,anonymous,EN-GB,6,4,5,39,male,6,,"$85,000 to $114,999",5,100000,f1676888,3b7d8ffe,United States,oneoff,proposal
100,125,1,07/08/2019 11:44,R_1JWw5C2AmbOxXF8,,,,,anonymous,EN-GB,2,4,6,59,male,5,,"$25,000 to $39,999",2,32500,8fd456d6,dcd744cb,United States,policy-repeal,policy
100,210,1,07/08/2019 11:45,R_3Eo0XhOmavKlVyy,,,,,anonymous,EN-GB,3,4,6,69,male,3,,"$25,000 to $39,999",2,32500,cbaee8e8,3a7bf426,United States,oneoff,proposal
100,44,1,07/08/2019 11:45,R_voV6Vl5kxHh3q0x,,,,,anonymous,EN-GB,6,3,5,37,male,4,,"$40,000 to $59,999",3,50000,9dce2fc4,5ee64246,United States,policy-repeal,policy
100,33,1,07/08/2019 11:45,R_3EbYFiWgCgWVRwl,,,,,anonymous,EN-GB,5,4,5,28,female,5,,"$60,000 to $84,999",4,72500,63fed7e5,6b585a34,United States,oneoff,proposal
100,148,1,07/08/2019 11:45,R_ZmaKZDXTjluDS13,,,,,anonymous,EN-GB,2,4,7,44,female,2,,"Less than $9,999",0,5000,bda3c93f,6b3cc378,United States,policy-base,policy
100,202,1,07/08/2019 11:45,R_3eeKq9acOHIvE5y,,,,,anonymous,EN-GB,2,4,6,60,male,8,,"$85,000 to $114,999",5,100000,0d6f311a,f334d3b6,United States,policy-base,policy
100,117,1,07/08/2019 11:45,R_2t2OHsuUJaIpVqz,,,,,anonymous,EN-GB,6,4,2,33,male,2,,"$25,000 to $39,999",2,32500,75f9187e,4a6e6067,United States,policy-repeal,policy
100,115,1,07/08/2019 11:45,R_9Y1wEaIry5N0rmN,,,,,anonymous,EN-GB,5,4,4,47,female,5,,"$85,000 to $114,999",5,100000,f9843ca5,f6b80cd8,United States,policy-base,policy
100,122,1,07/08/2019 11:46,R_28ZoEFOW2BkHUGk,,,,,anonymous,EN-GB,6,4,3,44,female,5,,"$60,000 to $84,999",4,72500,826a249e,2e4140cb,United States,policy-repeal,policy
100,127,1,07/08/2019 11:46,R_1IDVDiVltUjXVbp,,,,,anonymous,EN-GB,7,4,2,30,male,2,,"$40,000 to $59,999",3,50000,c81e42ac,13c3010a,United States,oneoff,proposal
100,93,1,07/08/2019 11:46,R_SJDdUsbHWB5OMLv,,,,,anonymous,EN-GB,3,4,7,57,female,4,,"$10,000 to $24,999",1,17500,1ff8c3a8,74e177cb,United States,policy-base,policy
100,125,1,07/08/2019 11:46,R_00agRxbOD3fTs9H,,,,,anonymous,EN-GB,5,4,4,56,male,8,,"$60,000 to $84,999",4,72500,1da5a43d,ea3a0dff,United States,policy-repeal,policy
100,92,1,07/08/2019 11:46,R_3no4iaduKDftCE1,,,,,anonymous,EN-GB,3,4,6,49,female,5,,"$200,000 or more",8,225000,59dccd9c,0c6bd752,United States,policy-repeal,policy
100,194,1,07/08/2019 11:47,R_4Vnyp2m8UhncFnX,,,,,anonymous,EN-GB,6,4,3,49,male,2,,"$40,000 to $59,999",3,50000,cfabb51d,614a6ca1,United States,policy-base,policy
100,248,1,07/08/2019 11:47,R_3jcTBFeyMNTyOWe,,,,,anonymous,EN-GB,5,4,5,36,male,8,,"$60,000 to $84,999",4,72500,3223bf19,6e739095,United States,oneoff,proposal
100,192,1,07/08/2019 11:47,R_3ozIDbLdcQsfMeO,,,,,anonymous,EN-GB,6,4,3,34,male,5,,"$85,000 to $114,999",5,100000,1b69ec8c,c2b95a74,United States,oneoff,proposal
100,42,1,07/08/2019 11:47,R_6oqgdVqZaAbp1ZL,,,,,anonymous,EN-GB,7,2,7,25,male,5,,"$60,000 to $84,999",4,72500,0cd59905,11ceee97,United States,policy-repeal,policy
100,105,1,07/08/2019 11:48,R_3QWswGFItkFMddx,,,,,anonymous,EN-GB,6,4,6,47,female,6,,"$60,000 to $84,999",4,72500,dd196761,a2c939e1,United States,oneoff,proposal
100,53,1,07/08/2019 11:49,R_pz0PY3TAYmi7jVv,,,,,anonymous,EN-GB,3,4,5,41,female,5,,"$85,000 to $114,999",5,100000,94d4b4e7,99543b6b,United States,policy-repeal,policy
100,134,1,07/08/2019 11:49,R_2QPLMAp5dO77m9u,,,,,anonymous,EN-GB,5,4,5,51,male,5,,"$10,000 to $24,999",1,17500,5.38E+10,53fb89a2,United States,oneoff,proposal
100,94,1,07/08/2019 11:49,R_1jAFqLLgjqfhkoH,,,,,anonymous,EN-GB,5,4,5,28,female,3,,"$25,000 to $39,999",2,32500,ee1aebea,4bf1ac4a,United States,oneoff,proposal
100,162,1,07/08/2019 11:50,R_3rOQ1mUzndXyNMz,,,,,anonymous,EN-GB,5,4,7,50,female,5,,"$60,000 to $84,999",4,72500,a2a98873,c5167b7f,United States,policy-base,policy
100,482,1,07/08/2019 11:50,R_3PN5ONjcYB3zqt2,,,,,anonymous,EN-GB,7,4,2,36,male,6,,"$85,000 to $114,999",5,100000,a2fecadf,b535608e,United States,oneoff,proposal
100,65,1,07/08/2019 11:51,R_3p9XZanOUmeYoDg,,,,,anonymous,EN-GB,5,4,5,38,female,5,,"$60,000 to $84,999",4,72500,1d94e4b0,3e98ed19,United States,policy-repeal,policy
100,249,1,07/08/2019 11:51,R_1FePFnsVweUJqe2,,,,,anonymous,EN-GB,7,4,5,41,male,3,,"$40,000 to $59,999",3,50000,9a1855b6,c1ddd103,United States,policy-base,policy
100,93,1,07/08/2019 11:52,R_Wj3IjVsUrhVCbxT,,,,,anonymous,EN-GB,1,4,7,30,female,5,,"$60,000 to $84,999",4,72500,fc08069d,875e0c91,United States,policy-repeal,policy
100,73,1,07/08/2019 11:53,R_2w18XSasfa2uJgE,,,,,anonymous,EN-GB,3,4,5,43,female,5,,"$85,000 to $114,999",5,100000,5834ff95,e898c1c2,United States,policy-base,policy
100,93,1,07/08/2019 11:53,R_WumcoJdwAgkqOlj,,,,,anonymous,EN-GB,6,4,6,47,male,5,,"$115,000 to $149,999",6,132500,7c80e781,e8c62467,United States,policy-base,policy
100,69,1,07/08/2019 11:53,R_3nSq4EKLVnhWmF6,,,,,anonymous,EN-GB,6,4,6,25,male,5,,"$85,000 to $114,999",5,100000,80b62424,d04091df,United States,oneoff,proposal
100,77,1,07/08/2019 11:53,R_1CyFjyYnt9qwM0i,,,,,anonymous,EN-GB,6,4,2,29,male,3,,"$60,000 to $84,999",4,72500,669bd5e6,d58763b2,United States,policy-repeal,policy
100,147,1,07/08/2019 11:53,R_8InSFzn2ZeKjth7,,,,,anonymous,EN-GB,3,4,5,56,female,5,,"Less than $9,999",0,5000,cfc9956c,e7cf305b,United States,oneoff,proposal
100,57,1,07/08/2019 11:53,R_1ML1ULzTXnb72Ce,,,,,anonymous,EN-GB,5,4,3,24,male,2,,"$40,000 to $59,999",3,50000,55e7b61d,a46e4051,United States,policy-base,policy
100,155,1,07/08/2019 11:55,R_yqNvHCtuxciRQhX,,,,,anonymous,EN-GB,5,4,5,31,male,3,,"Less than $9,999",0,5000,2a3223f3,45478925,United States,oneoff,proposal
100,154,1,07/08/2019 11:56,R_3EYGyLyv2jXhdZC,,,,,anonymous,EN-GB,5,4,5,47,male,5,,"$60,000 to $84,999",4,72500,0a50df26,5e476937,United States,policy-base,policy
100,163,1,07/08/2019 11:57,R_1kTiXSNk3uTDdSd,,,,,anonymous,EN-GB,5,4,5,54,female,2,,"$60,000 to $84,999",4,72500,37e2497b,1897ca0a,United States,oneoff,proposal
100,163,1,07/08/2019 11:58,R_2z6MqJ60v8D9Wfj,,,,,anonymous,EN-GB,6,4,6,30,male,5,,"$60,000 to $84,999",4,72500,e1f3e661,1f650d37,United States,policy-base,policy
100,189,1,07/08/2019 11:58,R_1FeNZC81JcCUF0X,,,,,anonymous,EN-GB,1,4,7,54,female,6,,"$40,000 to $59,999",3,50000,9099f654,bf808bdf,United States,policy-repeal,policy
100,125,1,07/08/2019 12:01,R_pMpBdjGYAHNMpEt,,,,,anonymous,EN-GB,6,4,2,61,male,4,,"$10,000 to $24,999",1,17500,562c9dfd,86499190,United States,policy-repeal,policy
100,100,1,07/08/2019 12:01,R_31u9sJiiU0ybnud,,,,,anonymous,EN-GB,5,4,5,34,female,6,,"$85,000 to $114,999",5,100000,332b641f,88ac1b0e,United States,oneoff,proposal
100,324,1,07/08/2019 12:02,R_3I4BefnscnP4iW1,,,,,anonymous,EN-GB,3,4,6,41,female,5,,"$40,000 to $59,999",3,50000,433a5901,cabc5f74,United States,policy-base,policy
100,85,1,07/08/2019 12:02,R_2fm3QK1BkY7bvdC,,,,,anonymous,EN-GB,5,4,7,34,male,6,,"$60,000 to $84,999",4,72500,8b5b2561,160ab75b,United States,oneoff,proposal
100,77,1,07/08/2019 12:02,R_2QyCvN0hT8I7dh0,,,,,anonymous,EN-GB,7,4,4,30,female,3,,"$10,000 to $24,999",1,17500,bdcf805d,a8e7f638,United States,oneoff,proposal
100,143,1,07/08/2019 12:03,R_2ffItwnnxwoBE7Q,,,,,anonymous,EN-GB,6,4,5,48,female,6,,"$60,000 to $84,999",4,72500,216a6312,6a903c3c,United States,policy-repeal,policy
100,247,1,07/08/2019 12:05,R_3EuIVUtYPkvkjBD,,,,,anonymous,EN-GB,5,4,4,34,male,3,,"$10,000 to $24,999",1,17500,dbab0288,c1de103c,United States,policy-base,policy
100,125,1,07/08/2019 12:07,R_bww2U8DTaUOAxwt,,,,,anonymous,EN-GB,4,4,5,23,male,2,,"$60,000 to $84,999",4,72500,96b01db4,06810faf,United States,policy-repeal,policy
100,93,1,07/08/2019 12:07,R_1gpzxhGoDrtqDjo,,,,,anonymous,EN-GB,5,4,7,54,female,6,,"$85,000 to $114,999",5,100000,ec2a6c7c,ff32f2d0,United States,policy-base,policy
100,177,1,07/08/2019 12:15,R_2c5fsPbgranbcOS,,,,,anonymous,EN-GB,1,4,6,37,female,5,,"Less than $9,999",0,5000,a213e57c,e12b8853,United States,policy-repeal,policy
100,99,1,07/08/2019 12:18,R_2AMAzDExkhqhYiZ,,,,,anonymous,EN-GB,4,4,6,32,male,6,,"$60,000 to $84,999",4,72500,b13f933e,cc26cede,United States,oneoff,proposal
100,30,1,07/08/2019 12:32,R_2P7j7REDwOJyPVS,,,,,anonymous,EN-GB,6,4,3,32,male,4,,"$10,000 to $24,999",1,17500,1e6ed2b3,68383f57,United States,oneoff,proposal
100,69,1,07/08/2019 12:33,R_2uWIgBmmfW5JGgO,,,,,anonymous,EN-GB,7,4,3,27,male,4,,"$85,000 to $114,999",5,100000,64570cd5,006cfe64,United States,oneoff,proposal
100,72,1,07/08/2019 12:33,R_z6bYATMPYTJ18EF,,,,,anonymous,EN-GB,5,4,5,50,female,5,,"$115,000 to $149,999",6,132500,300551ea,161e02a1,United States,policy-base,policy
100,75,1,07/08/2019 12:33,R_2QQXNzNlIFfttq2,,,,,anonymous,EN-GB,6,4,4,27,male,2,,"$10,000 to $24,999",1,17500,d0f90dd0,9c8b9ab1,United States,oneoff,proposal
100,81,1,07/08/2019 12:33,R_27IIVnAxsSeBKAG,,,,,anonymous,EN-GB,7,4,5,30,male,7,,"$60,000 to $84,999",4,72500,e2d7a617,a463b813,United States,policy-repeal,policy
100,60,1,07/08/2019 12:33,R_1MLkzpS8NeN02UQ,,,,,anonymous,EN-GB,5,4,4,31,female,5,,"$60,000 to $84,999",4,72500,fe5e097f,67f8f286,United States,policy-base,policy
100,87,1,07/08/2019 12:33,R_3dFcFnWdthICZDW,,,,,anonymous,EN-GB,2,4,7,27,male,2,,"$10,000 to $24,999",1,17500,ff9892d3,0f8f2969,United States,policy-repeal,policy
100,47,1,07/08/2019 12:33,R_1QKgM0V25SMRLKV,,,,,anonymous,EN-GB,7,4,6,33,male,6,,"$60,000 to $84,999",4,72500,b747ab4f,ca4102d0,United States,policy-base,policy
100,103,1,07/08/2019 12:33,R_1dB83VgOAyLpNPA,,,,,anonymous,EN-GB,5,4,7,39,female,2,,"$40,000 to $59,999",3,50000,67f02cb7,4ad148e0,United States,policy-base,policy
100,104,1,07/08/2019 12:33,R_33g6cwG9xJH1Xj6,,,,,anonymous,EN-GB,5,4,2,51,male,6,,"$115,000 to $149,999",6,132500,222f4f7c,995b991a,United States,policy-repeal,policy
100,97,1,07/08/2019 12:34,R_3fJn3gtfgLbaO9j,,,,,anonymous,EN-GB,7,4,4,29,male,5,,"$40,000 to $59,999",3,50000,cde7cfd9,ce5efc07,United States,oneoff,proposal
100,112,1,07/08/2019 12:34,R_3phYhuWdGDWh3an,,,,,anonymous,EN-GB,2,4,6,58,female,6,,"$85,000 to $114,999",5,100000,d7cbc840,70d5f3ba,United States,policy-base,policy
100,78,1,07/08/2019 12:34,R_1hN0SCSSIj3Z5xo,,,,,anonymous,EN-GB,7,4,2,25,male,5,,"$60,000 to $84,999",4,72500,1bcb3661,423b835a,United States,policy-repeal,policy
100,97,1,07/08/2019 12:34,R_9NAxyehCMRZ2Gzv,,,,,anonymous,EN-GB,5,4,7,62,male,2,,"$150,000 to $199,999",7,175000,763ff10d,1f1c5f24,United States,oneoff,proposal
100,75,1,07/08/2019 12:34,R_31Lsm9ueLa9jTdA,,,,,anonymous,EN-GB,5,4,4,35,female,2,,"$60,000 to $84,999",4,72500,512996a1,c58e3c32,United States,policy-base,policy
100,47,1,07/08/2019 12:34,R_2X6vyqzgWVtXmhP,,,,,anonymous,EN-GB,1,4,7,29,male,4,,"$40,000 to $59,999",3,50000,5315e976,3b90144e,United States,policy-base,policy
100,106,1,07/08/2019 12:34,R_1Ha1hChA9isc4gh,,,,,anonymous,EN-GB,3,4,6,37,female,3,,"$40,000 to $59,999",3,50000,c3229e0d,8824918d,United States,oneoff,proposal
100,105,1,07/08/2019 12:34,R_1KxNXoigkneIUcB,,,,,anonymous,EN-GB,4,4,7,58,male,7,,"$115,000 to $149,999",6,132500,3a5f9444,e366edb5,United States,policy-base,policy
100,103,1,07/08/2019 12:34,R_r8Uzb1ysRE5qF45,,,,,anonymous,EN-GB,2,4,6,44,male,5,,"$40,000 to $59,999",3,50000,4d009aee,47b19ea3,United States,policy-base,policy
100,102,1,07/08/2019 12:34,R_28AP70V49RLA9vk,,,,,anonymous,EN-GB,5,4,5,36,female,2,,"Less than $9,999",0,5000,730bbec9,3aa8830c,United States,oneoff,proposal
100,131,1,07/08/2019 12:34,R_3pli1HHuw7nsV2P,,,,,anonymous,EN-GB,6,4,2,53,male,6,,"$25,000 to $39,999",2,32500,da5a4f1d,0300dc8c,United States,policy-base,policy
100,150,1,07/08/2019 12:34,R_1NbngYC6ncix7eg,,,,,anonymous,EN-GB,4,4,5,53,female,7,,"$60,000 to $84,999",4,72500,e3dfb2f6,49f33c93,United States,oneoff,proposal
100,29,1,07/08/2019 12:35,R_2vhKIDQxSrItUM1,,,,,anonymous,EN-GB,7,4,4,37,male,5,,"$60,000 to $84,999",4,72500,66d2d8e2,c459f76c,United States,oneoff,proposal
