ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,V10,Q4,Consent,Consent2,prompt,Conflicts,Coexist,Compete,Attention,prompt,religious_forecast_1,religious_forecast_2,noreligious_forecast_1,noreligious_forecast_2,You_1,You_2,prompt,Hydraulics_rel_1,Hydraulics_rel_2,Hydraulics_sci_1,Hydraulics_sci_2,prompt,Generosity,Caregiving,Bravery,Reciprocity,Public_goods,Respect,Equity,attention,Age,Gender,State,Race,Race_TEXT,Religion,Religion_TEXT,Income,Q25,Q26,Ladder,Conservative,code,LocationLatitude,LocationLongitude,LocationAccuracy
R_YXNngTRydGLAa65,,Anonymous,,,68.52.51.80,0,5/9/20 10:22,5/9/20 10:23,1,1,1,1,1,5,4,3,12,1,25,75,50,65,25,75,1,2,25,-20,5,1,18,5,6,6,7,5,7,Woof,10,1,Tennessee,4,,,,1,1,1,5,5,1,35.93060303,-86.87879944,-1
R_b1wuvy8BOB32RWh,,Anonymous,,,24.217.214.104,0,5/9/20 9:58,5/9/20 10:04,1,1,1,1,1,6,5,4,10,1,25,44,60,84,58,70,1,13,43,-13,29,1,21,5,7,8,7,8,8,barking sound like bow bow,29,1,usa,1,,2,,2,1,1,7,7,1,38.54910278,-90.16010284,-1
R_2zGfdhALG9bfJa7,,Anonymous,,,65.110.124.165,0,5/9/20 9:45,5/9/20 9:49,1,1,1,1,1,5,5,5,12,1,26,61,39,68,29,67,1,4,-5,2,-13,1,20,7,8,7,6,7,8,bark,14,1,texas,1,,2,,2,1,1,6,6,1,41.84359741,-79.17259979,-1
R_b11vraiWnTMS34Z,,Anonymous,,,104.0.187.148,0,5/9/20 10:05,5/9/20 10:18,0,1,1,1,1,5,3,5,11,1,30,68,75,77,100,66,1,50,-50,-2,46,1,20,8,6,8,7,6,7,TACO,23,2,Tennessee ,1,,2,,1,1,1,7,6,,,,-1
R_WDv7icTeW2Pt6wh,,Anonymous,,,47.187.223.176,0,5/9/20 9:38,5/9/20 9:42,1,1,1,1,1,5,6,5,10,1,31,40,36,35,36,30,1,-39,-33,-17,-32,1,19,8,7,7,7,7,6,"A bark is a sound most commonly produced by dogs. Other animals that make this noise include wolves, coyotes, seals and quolls. Woof is the most common representation in the English language for this sound, especially for large dogs.",11,1,Pennsylvania,3,,2,,1,1,1,8,6,1,33.0809021,-96.72409821,-1
R_vxD8SEAjKfLSk7f,,Anonymous,,,47.41.79.5,0,5/9/20 9:39,5/9/20 9:50,1,1,1,1,1,3,3,6,12,1,32,49,42,51,39,61,1,-3,23,21,1,1,16,7,4,9,8,7,4,Bark,13,1,MN,1,,3,,4,1,1,7,6,1,44.00900269,-92.3934021,-1
R_27stABDTEl74meh,,Anonymous,,,108.58.23.124,0,5/9/20 10:00,5/9/20 10:04,1,1,1,1,1,6,5,6,11,1,35,52,36,50,50,42,1,4,-13,-8,-20,1,19,7,8,8,7,9,8,wolves,28,1,New York,1,,2,,2,1,1,9,7,1,40.8105011,-73.04160309,-1
R_3iQjxiWd9bvO8iA,,Anonymous,,,192.200.158.197,0,5/9/20 10:01,5/9/20 10:19,1,1,1,1,1,4,6,5,12,1,35,87,85,95,82,71,1,27,22,34,29,1,20,8,4,7,8,4,5,bark,14,1,Georgia,1,,2,,2,1,1,6,1,1,33.44129944,-112.042099,-1
R_2Yzc0teTD5GCPfs,,Anonymous,,,5.181.41.92,0,5/9/20 9:39,5/9/20 9:45,1,1,1,1,1,4,5,4,10,1,36,62,50,40,42,53,1,-19,17,-19,19,1,18,6,6,6,6,6,6,A bark is a sound most commonly produced by dogs,34,2,Colorado,1,,2,,3,1,1,7,9,1,47.60920715,-122.3314056,-1
R_3fUkAdKTlgt7Oyl,,Anonymous,,,73.198.13.141,0,5/9/20 9:39,5/9/20 10:06,1,1,1,1,1,6,4,5,12,1,40,60,2,98,20,80,1,5,0,-5,5,1,19,6,8,8,9,7,5,bark,11,1,NJ,1,,2,,3,1,1,6,3,1,39.37730408,-74.61229706,-1
R_2dyxyUAuxVeO93P,,Anonymous,,,96.58.8.22,0,5/9/20 9:49,5/9/20 9:56,1,1,1,1,1,7,6,1,12,1,40,60,0,100,0,100,1,-50,0,0,0,1,20,5,1,9,6,8,9,bark,12,1,Florida,1,,8,,1,1,1,6,1,1,28.01089478,-82.49479675,-1
R_3D2rOU7vzG0aZSs,,Anonymous,,,173.172.210.96,0,5/9/20 9:47,5/9/20 9:51,0,1,1,1,1,5,6,5,12,1,40,64,41,63,56,46,1,-13,1,-6,11,1,19,8,7,7,7,7,7,,,,,,,,,,,,,,,,,-1
R_3sjllmti9b4QqIr,,Anonymous,,,72.197.26.245,0,5/9/20 10:29,5/9/20 10:45,1,1,1,1,1,6,7,1,12,1,40,60,0,100,0,100,1,0,0,0,50,1,21,8,6,9,9,7,9,bark,24,1,Ca,1,,0,,2,1,1,6,4,1,33.1914978,-117.3841019,-1
R_1jpn8pg3KjBopM3,,Anonymous,,,45.56.174.200,0,5/9/20 9:41,5/9/20 9:45,1,1,1,1,1,3,5,7,12,1,41,69,69,60,63,65,1,19,41,8,34,1,19,7,6,7,7,5,5,bark,18,1,Oregon,1,,3,,4,1,1,9,6,1,37.75100708,-97.8219986,-1
R_28UiHBcDXUpYicv,,Anonymous,,,73.75.65.148,0,5/9/20 10:01,5/9/20 10:14,1,1,1,1,1,7,6,6,12,1,42,58,39,57,54,61,1,50,50,50,50,1,20,8,9,9,8,8,9,bow bow,23,1,mexican,1,,2,,3,1,1,9,8,1,42.10980225,-86.42590332,-1
R_2dAv9owPUnTPePk,,Anonymous,,,73.135.126.214,0,5/9/20 9:41,5/9/20 9:42,1,1,1,1,1,4,4,1,12,1,46,87,52,52,54,59,1,0,4,40,50,1,15,1,1,1,1,1,1,woof,16,2,MD,2,,2,,4,1,1,11,5,1,38.35229492,-75.53859711,-1
R_2aE96FqbLgNu1QG,,Anonymous,,,70.177.107.225,0,5/9/20 9:39,5/9/20 9:49,1,1,1,1,1,5,4,6,12,1,46,63,62,50,55,45,1,8,-5,17,5,1,20,5,7,8,6,7,9,VOV VOV,37,1,OKLAHOMA,1,,11,CHRISTIAN,2,1,1,6,6,1,36.04319763,-95.80719757,-1
R_3Lira8NCwuhFPQl,,Anonymous,,,207.188.177.119,0,5/9/20 10:24,5/9/20 10:29,1,1,1,1,1,6,7,5,12,1,46,74,78,91,71,89,1,46,37,41,32,1,20,7,9,8,9,8,8,bark,27,1,new jersey,4,,2,,2,1,1,10,9,1,47.60920715,-122.3314056,-1
R_3JLvNhI6XteUac8,,Anonymous,,,98.243.100.5,0,5/9/20 9:56,5/9/20 10:02,1,1,1,1,1,6,5,6,12,1,47,95,54,88,45,100,1,-15,50,-8,28,1,20,7,7,9,9,9,8,exposing,7,1,Michigan,1,,5,,3,1,1,9,9,1,42.54029846,-83.3789978,-1
R_1q1xan55D8Dnhab,,Anonymous,,,97.105.132.177,0,5/9/20 9:39,5/9/20 9:51,1,1,1,1,1,5,6,3,10,1,48,65,30,49,52,28,1,-17,3,-22,0,1,18,6,7,6,7,8,8,bow bow,24,2,Pennsylvania,3,,2,,3,1,1,8,6,1,28.70309448,-100.4785004,-1
R_3favhjBo8q0JueZ,,Anonymous,,,65.249.164.49,0,5/9/20 9:53,5/9/20 10:15,1,1,1,1,1,5,7,6,12,1,48,85,88,90,85,72,1,30,37,2,38,1,21,7,8,8,8,9,8,loll loll,26,1,california,2,,2,,2,1,1,9,8,1,40.73080444,-73.99749756,-1
R_21vU6ZNQrCa7eZb,,Anonymous,,,172.58.102.233,0,5/9/20 9:42,5/9/20 9:47,1,1,1,1,1,4,1,4,12,1,50,50,5,95,5,95,1,30,0,0,30,1,18,8,9,9,9,9,6,woof,15,1,Texas,1,,8,,1,1,1,2,2,1,29.85040283,-95.44129944,-1
R_1eLvdymwgSFqBXf,,Anonymous,,,47.201.129.153,0,5/9/20 9:40,5/9/20 9:48,1,1,1,1,1,5,4,3,12,1,50,50,0,80,40,70,1,50,0,40,40,1,20,1,6,9,5,6,1,Woof,23,2,Pennsylvania,1,,3,,2,1,1,8,1,1,28.31019592,-81.66760254,-1
R_potGpUie7LjaWQN,,Anonymous,,,174.54.209.25,0,5/9/20 10:24,5/9/20 10:26,1,1,1,1,1,4,4,4,12,1,50,50,50,53,44,69,1,-15,31,-35,24,1,18,6,6,6,6,6,6,bark,18,1,Pennsylvania,1,,2,,1,1,1,4,5,1,40.00900269,-76.36309814,-1
R_2tziAvzu7tRWCvq,,Anonymous,,,37.120.147.167,0,5/9/20 9:44,5/9/20 10:24,1,1,1,1,1,5,5,6,10,1,50,74,35,67,45,72,1,24,19,1,16,1,20,7,7,7,7,6,7,Bark ,12,1,Nevada,1,,2,,2,1,1,7,7,1,36.16850281,-115.1164017,-1
R_28CmNNgBNyDS7lo,,Anonymous,,,174.72.62.102,0,5/9/20 10:16,5/9/20 10:25,1,1,1,1,1,6,5,5,10,1,50,59,42,55,63,69,1,21,30,33,23,1,19,7,7,8,8,8,7,"Dog made this noise, bark, whine, whimper, howl, huff, growl, yelp and yip",9,2,Arizona,1,,2,,2,1,1,6,7,1,33.3348999,-111.8170013,-1
R_2s4seFzS9YzuSNC,,Anonymous,,,173.28.202.67,0,5/9/20 9:39,5/9/20 9:44,1,1,1,1,1,6,7,7,12,1,50,60,0,90,,92,1,0,0,0,11,1,21,1,1,8,4,7,6,bark,23,1,Iowa,1,,0,,2,1,1,1,1,1,41.63439941,-91.50540161,-1
R_3MMYX2mjoRE1p0N,,Anonymous,,,99.42.41.84,0,5/9/20 10:00,5/9/20 10:07,1,1,1,1,1,7,7,7,12,1,50,50,0,50,0,100,1,10,0,0,10,1,18,5,1,9,9,6,9,bark,18,1,Texas,6,"White, Asian",8,,2,1,1,5,5,1,30.07359314,-95.62030029,-1
R_3kJRcasCODBC0nv,,Anonymous,,,172.58.35.201,0,5/9/20 10:26,5/9/20 10:29,1,1,1,1,1,7,7,1,12,1,50,30,0,30,0,100,1,-50,0,0,0,1,21,1,1,1,1,1,9,Bark,19,1,Idaho,1,,0,,3,1,1,3,5,1,38.47990417,-121.4450989,-1
R_2cAVo7BRdjwRHpV,,Anonymous,,,98.229.66.159,0,5/9/20 9:49,5/9/20 9:54,1,1,1,1,1,5,5,5,12,1,51,51,16,90,5,95,1,35,-44,-45,49,1,18,1,1,9,9,5,9,woof,41,1,MA,1,,5,,4,1,1,6,6,1,42.37680054,-71.06109619,-1
R_3I64MwA9g06jXTZ,,Anonymous,,,172.242.80.173,0,5/9/20 9:39,5/9/20 9:44,1,1,1,1,1,5,6,7,12,1,51,61,10,80,0,100,1,20,40,-40,50,1,19,6,8,9,7,8,7,woof,4,1,Virginia,1,,0,,2,1,1,5,3,1,34.05439758,-118.2440033,-1
R_1MKYPErMhhyEJ6U,,Anonymous,,,185.232.22.218,0,5/9/20 11:25,5/9/20 11:31,1,1,1,1,1,7,6,7,12,1,51,75,49,71,28,60,1,-25,4,-4,9,1,21,9,8,9,8,8,8,wow,21,2,tx,1,,2,,2,1,1,8,8,1,40.71569824,-74,-1
R_xrBwf9t53nYl5ol,,Anonymous,,,185.245.87.132,0,5/9/20 11:24,5/9/20 11:29,0,1,1,1,1,7,5,6,12,1,52,58,57,62,61,60,1,-3,9,43,23,1,21,9,5,5,1,1,9,Bark,28,1,Georgia,1,,2,,3,1,1,8,9,,,,-1
R_2Qms84BA1Nu1wHI,,Anonymous,,,97.94.173.218,0,5/9/20 9:50,5/9/20 10:04,0,1,1,1,1,4,4,1,12,1,53,43,26,65,2,38,1,5,1,-20,9,1,18,6,7,7,7,7,6,bark,30,2,ca,1,,1,,1,1,1,2,2,,,,-1
R_1LdrVcGIa36Jjob,,Anonymous,,,35.132.183.244,0,5/9/20 10:20,5/9/20 10:23,1,1,1,1,1,6,5,6,11,1,54,87,60,52,35,40,1,6,-25,0,-14,1,19,8,6,7,7,7,8,barking,11,1,colarodo,1,,2,,2,1,1,8,7,1,43.78309631,-123.050705,-1
R_1pSB5h0pyaBWcLa,,Anonymous,,,70.174.183.215,0,5/9/20 10:23,5/9/20 10:25,0,1,1,1,1,6,5,5,11,1,54,45,31,36,60,44,1,8,13,7,21,1,19,8,7,6,8,7,7,lol lol,5,1,virginia,1,,4,,2,1,1,5,7,,,,-1
R_2781VqONANs7icM,,Anonymous,,,47.219.221.173,0,5/9/20 10:15,5/9/20 10:19,1,1,1,1,1,5,6,6,10,1,54,61,80,36,46,71,1,15,34,50,38,1,20,7,8,7,8,7,8,NA,25,1,PA,1,,2,,2,1,1,9,7,1,31.34660339,-94.83039856,-1
R_3QVhKrZ3ZXIeDnf,,Anonymous,,,24.211.150.181,0,5/9/20 9:31,5/9/20 9:32,0,1,1,1,1,4,4,4,10,1,55,70,61,64,62,63,1,1,33,2,19,1,,,,,,,,,,,,,,,,,,,,,,,,-1
R_OCh1rK1ocUBw5gJ,,Anonymous,,,47.151.5.84,0,5/9/20 9:39,5/9/20 9:47,1,1,1,1,1,2,6,3,11,1,56,89,32,91,40,88,1,-20,38,-39,28,1,19,7,4,8,8,5,8,barking,13,1,CA,5,,1,,2,1,1,3,6,1,33.75180054,-117.9931946,-1
R_1Fm6trtL3vPTKCV,,Anonymous,,,47.205.19.216,0,5/9/20 9:52,5/9/20 9:58,1,1,1,1,1,7,7,3,12,1,56,88,81,89,75,88,1,7,24,38,16,1,20,8,6,7,7,7,7,wow,8,2,florida,1,,2,,3,1,1,8,8,1,28.02059937,-82.45739746,-1
R_30egEopzBgjBxfw,,Anonymous,,,45.56.174.204,0,5/9/20 10:26,5/9/20 10:31,1,1,1,1,1,5,3,3,12,1,57,72,24,100,26,62,1,34,12,-11,27,1,19,5,7,7,7,7,7,Bark,13,1,Louisiana,2,,2,,1,1,1,4,4,1,37.75100708,-97.8219986,-1
R_3kyM1KVoUYctcKE,,Anonymous,,,173.3.9.144,0,5/9/20 9:45,5/9/20 9:49,1,1,1,1,1,5,3,6,12,1,58,92,3,95,61,82,1,49,-43,-40,21,1,15,7,4,5,5,8,8, Bark,15,1,New York,1,,2,,1,1,1,2,8,1,41.14619446,-73.99659729,-1
R_PTdLEe5zMU3ch7H,,Anonymous,,,69.130.152.176,0,5/9/20 10:28,5/9/20 10:40,1,1,1,1,1,3,1,3,12,1,59,38,0,100,66,32,1,11,0,0,6,1,20,9,7,9,9,6,7,bark,23,2,Tennessee,1,,2,,5,1,1,7,6,1,36.1867981,-86.50669861,-1
R_BDQndR0YjeriksV,,Anonymous,,,65.249.167.163,0,5/9/20 9:59,5/9/20 10:03,1,1,1,1,1,4,5,4,10,1,59,52,62,76,68,48,1,25,15,5,26,1,19,6,8,7,7,6,8,Woww Woww,24,1,Nevada,1,,2,,2,1,1,6,5,1,40.73080444,-73.99749756,-1
R_1gOe7x8uGORxnCD,,Anonymous,,,107.184.35.93,0,5/9/20 9:46,5/9/20 10:05,1,1,1,1,1,3,5,6,12,1,59,88,55,79,55,77,1,7,33,11,31,1,19,7,6,7,7,7,7,bark,17,2,CA,2,,3,,1,1,1,7,1,1,34.07400513,-118.2611008,-1
R_1eXJpyFN7Hkw7a3,,Anonymous,,,98.162.236.146,0,5/9/20 9:40,5/9/20 9:43,1,1,1,1,1,5,6,5,11,1,59,42,53,43,52,38,1,-13,24,-12,10,1,20,8,8,8,8,8,8,yelp and yip,15,2,Oklahoma,3,,2,,1,1,1,6,7,1,35.49710083,-97.73300171,-1
R_1N3n3mLjb10Ai87,,Anonymous,,,98.149.74.82,0,5/9/20 9:39,5/9/20 9:44,1,1,1,1,1,2,6,5,12,1,59,52,0,100,100,89,1,27,16,-29,12,1,18,1,5,9,8,5,9,roof,29,2,ca,4,,3,,5,1,1,3,6,1,33.8000946,-117.9949036,-1
R_25zSgldYjrRaz2G,,Anonymous,,,99.188.213.133,0,5/9/20 9:41,5/9/20 9:48,1,1,1,1,1,5,1,3,12,1,60,30,25,80,100,100,1,-5,15,10,15,1,18,7,5,9,8,8,7,bark,10,1,California,5,,3,,3,1,1,6,5,1,33.76199341,-117.9324951,-1
R_3NDoqPn9EaAOgxX,,Anonymous,,,74.98.212.190,0,5/9/20 9:48,5/9/20 9:57,1,1,1,1,1,7,7,6,12,1,60,40,0,75,0,100,1,0,0,0,10,1,19,9,9,9,7,9,7,bark,19,2,Pennsylvania,1,,0,,3,1,1,5,1,1,40.43249512,-79.86299896,-1
R_24l3uYcQUsam4X2,,Anonymous,,,72.74.48.69,0,5/9/20 10:30,5/9/20 10:35,1,1,1,1,1,6,6,3,12,1,61,42,0,100,0,100,1,0,0,0,0,1,19,5,7,8,7,5,5,woof,31,2,MA,1,,8,,3,1,1,7,6,1,42.72869873,-71.18340302,-1
R_240BX352EYjdGJv,,Anonymous,,,66.113.55.198,0,5/9/20 10:00,5/9/20 10:15,1,1,1,1,1,5,4,5,12,1,62,15,2,58,18,61,1,10,-10,1,13,1,19,5,1,9,8,6,8,bark,48,2,MT,1,,11,Spiritually minded but not religious,1,1,1,6,2,1,47.83799744,-112.2021027,-1
R_x5A3dsPJ6rHogj7,,Anonymous,,,165.231.210.20,0,5/9/20 9:50,5/9/20 9:54,1,1,1,1,1,6,6,4,11,1,62,66,86,84,56,84,1,17,37,18,30,1,20,8,8,7,8,7,7,barking,35,1,florida,1,,2,,1,1,1,6,8,1,32.77670288,-96.80500031,-1
R_1eDJ6rWgAxncJ1j,,Anonymous,,,98.197.194.210,0,5/9/20 10:11,5/9/20 10:16,1,1,1,1,1,5,1,2,12,1,64,47,19,88,37,81,1,1,1,1,21,1,20,4,4,6,7,9,5,bark,15,2,texas,1,,3,,1,1,1,5,2,1,29.87379456,-95.52330017,-1
R_3DtPoi3Zv7AL6Lp,,Anonymous,,,47.186.238.30,0,5/9/20 9:39,5/9/20 9:43,1,1,1,1,1,6,5,5,10,1,64,56,35,56,68,51,1,11,36,20,14,1,19,7,8,8,8,7,7,bow,11,1,tx,1,,2,,1,1,1,2,7,1,33.10699463,-97.15979767,-1
R_26kF0aor8Tc9ZQM,,Anonymous,,,67.191.145.76,0,5/9/20 9:55,5/9/20 10:21,1,1,1,1,1,6,6,6,12,1,64,30,17,80,50,67,1,39,4,0,38,1,19,8,8,8,8,4,8,bark,18,1,Georgia ,1,,2,,3,1,1,6,4,1,34.23190308,-84.16269684,-1
R_3ERod67PPGed85D,,Anonymous,,,75.191.242.86,0,5/9/20 11:11,5/9/20 11:16,1,1,1,1,1,7,1,7,12,1,65,27,0,72,0,63,1,10,0,0,0,1,21,1,9,9,9,5,9,bark/woof/ruff,20,1,North Carolina,1,,8,,1,1,1,2,5,1,36.03219604,-79.8588028,-1
R_2uNvEN16XSyPPks,,Anonymous,,,98.146.161.184,0,5/9/20 10:24,5/9/20 10:29,1,1,1,1,1,5,2,3,12,1,65,60,10,85,5,90,1,0,0,0,0,1,20,8,4,9,4,8,5,bark,19,2,Idaho,1,,10,,2,1,1,8,3,1,47.72479248,-116.7890015,-1
R_3PyI7kvUSkmAmxS,,Anonymous,,,98.17.17.208,0,5/9/20 9:54,5/9/20 9:56,1,1,1,1,1,5,4,4,12,1,65,39,61,45,76,48,1,-9,35,-10,11,1,19,7,8,7,8,6,6,WOOF,8,1,Georgia,2,,2,,3,1,1,7,6,1,32.25419617,-84.4897995,-1
R_21sJNagevG1U4lE,,Anonymous,,,104.56.129.92,0,5/9/20 10:25,5/9/20 10:30,1,1,1,1,1,3,1,6,12,1,66,19,6,94,45,87,1,6,14,-4,24,1,20,7,8,7,8,5,8,bark,2,2,Kentucky,1,,3,,3,1,1,8,1,1,38.4125061,-85.57920074,-1
R_3HC82Wr8ovogXNY,,Anonymous,,,73.151.185.174,0,5/9/20 11:00,5/9/20 11:04,1,1,1,1,1,6,4,6,12,1,66,90,90,67,71,86,1,34,30,23,41,1,19,7,8,7,9,8,7,nothinung,13,1,illisone,2,,2,,2,1,1,7,7,1,36.82719421,-119.6804962,-1
R_2AWquUbaUKEa05t,,Anonymous,,,107.148.226.131,0,5/9/20 11:21,5/9/20 11:30,1,1,1,1,1,7,1,5,12,1,67,82,10,100,37,96,1,-9,44,9,48,1,18,7,7,8,7,7,7,barking,7,1,Tezas,1,,2,,2,1,1,10,2,1,32.74040222,-117.135498,-1
R_3JIfDed9qV89jg4,,Anonymous,,,73.104.68.31,0,5/9/20 10:09,5/9/20 10:12,1,1,1,1,1,5,4,4,12,1,67,57,51,81,48,76,1,15,11,-12,24,1,16,5,6,7,6,4,6,bark,21,2,Florida,1,,2,,3,1,1,3,4,1,30.62150574,-81.59140015,-1
R_2tgpus566o85gzW,,Anonymous,,,196.247.50.60,0,5/9/20 9:48,5/9/20 9:59,1,1,1,1,1,4,5,6,10,1,67,77,59,74,57,52,1,9,19,26,10,1,19,8,7,6,7,7,7,bark,14,1,GEORGIA ,2,,2,,4,1,1,7,2,1,33.7552948,-84.38860321,-1
R_OO4cCq25HHU8icx,,Anonymous,,,98.17.17.208,0,5/9/20 10:08,5/9/20 10:13,1,1,1,1,1,5,4,6,12,1,68,48,73,42,33,80,1,25,8,-19,33,1,20,7,8,8,8,6,8,WOOF,8,1,"Savannah, Georgia",1,,3,,3,1,1,6,6,1,32.25419617,-84.4897995,-1
R_2tmKlHQaMs13Y9t,,Anonymous,,,50.103.116.5,0,5/9/20 9:43,5/9/20 9:50,1,1,1,1,1,6,7,5,12,1,68,41,60,40,73,37,1,17,-16,-11,11,1,19,7,7,8,6,6,7,Bow Bow,22,1,Virginia,3,,2,,2,1,1,8,7,1,40.46389771,-87.66619873,-1
R_AmVvuExloZmSKhb,,Anonymous,,,24.194.11.21,0,5/9/20 10:29,5/9/20 10:36,1,1,1,1,1,5,4,5,12,1,69,36,25,69,48,49,1,0,0,0,0,1,20,1,7,8,4,7,6,Woof,7,1,Massachusetts,1,,8,,1,1,1,2,5,1,42.29899597,-73.23169708,-1
R_qOxs9cHRDhEzj6F,,Anonymous,,,142.196.125.249,0,5/9/20 9:45,5/9/20 9:48,1,1,1,1,1,5,5,5,12,1,69,22,3,97,,100,1,11,0,-50,50,1,19,5,4,7,6,7,9,woof,12,2,Florida,1,,8,,2,1,1,3,5,1,28.79350281,-81.28679657,-1
R_3fpbJAMb6mv9Mar,,Anonymous,,,97.81.254.47,0,5/9/20 9:47,5/9/20 9:58,1,1,1,1,1,6,5,5,11,1,69,43,50,71,42,66,1,19,11,23,10,1,18,8,7,8,7,7,7,wolves,13,2,AL,3,,2,,2,1,1,7,7,1,32.37359619,-86.1832962,-1
R_2UimpbBZvokVeyb,,Anonymous,,,47.203.210.169,0,5/9/20 9:40,5/9/20 9:44,1,1,1,1,1,6,6,6,11,1,69,90,61,76,75,83,1,34,38,27,32,1,20,8,9,8,8,8,9,"A bark is a sound most commonly produced by dogs. Other animals that make this noise include wolves, coyotes, seals and quolls. Woof is the most common representation in the English language for this sound, especially for large dogs.",34,1,new jersy,1,,2,,2,1,1,10,8,1,28.29870605,-82.69020081,-1
R_1Gv70qwvuMthEmc,,Anonymous,,,76.19.17.54,0,5/9/20 11:17,5/9/20 11:21,1,1,1,1,1,1,1,1,12,1,70,40,10,20,100,100,1,0,0,0,0,1,19,1,7,9,1,7,9,bark,19,3,NH,1,,11,Pagan,2,1,1,2,1,1,42.88589478,-71.2990036,-1
R_2QR59jXVR0AxVzz,,Anonymous,,,73.240.204.110,0,5/9/20 9:38,5/9/20 9:45,1,1,1,1,1,4,2,3,12,1,70,40,20,80,30,60,1,30,0,0,10,1,19,6,5,7,5,6,8,woof,12,2,Oregon,1,,3,,4,1,1,8,5,1,45.31019592,-122.9669952,-1
R_1ruebDR5gWhPGmw,,Anonymous,,,98.199.33.227,0,5/9/20 9:50,5/9/20 9:54,1,1,1,1,1,5,5,6,12,1,70,30,0,100,50,50,1,10,0,0,20,1,20,9,9,9,8,9,9,bark,6,1,Texas,4,,2,,3,1,1,7,2,1,29.82929993,-95.2888031,-1
