Study Num,Title,Authors,Num_Auth,Citations_1stAuth,Citations_SenAuth,Citations_Paper_T1,Citations_Paper_T2,Prestige_1stAuth,Prestige_SenAuth,NumStudies,Discipline,Surprising,Important,Orig_N,P90_N,Rep_Dir,Rep_Binary,Rep_Pval
15,The Stroop effect: Why proportion congruent has nothing to do with congruency and everything to do with contingency.,"JR Schmidt, D Besner",2,409,11136,92,239,2.98,2.98,2,Cognitive,3,3.33,95,300,1,1,0.0001
26,Contextual effects on reading aloud: Evidence for pathway control.,"M Reynolds, D Besner",2,462,11136,16,25,1.87,2.98,5,Cognitive,2.75,3.25,16,8,1,1,0.17
10,Across-notation automatic numerical processing.,"D Ganor-Stern, J Tzelgov",2,486,3059,51,79,1.28,1.28,2,Cognitive,2.4,1.8,32,20,1,1,0.001
81,A needs-based model of reconciliation: Satisfying the differential emotional needs of victim and perpetrator as a key to promoting reconciliation.,"N Shnabel, A Nadler",2,506,4609,138,464,2.95,2.95,4,Social,2,3.33,94,142,0,0,0.235
73,Distinguishing between silent and vocal minorities: Not all deviants feel marginal.,"KR Morrison, DT Miller",2,550,10520,25,48,6.54,6.54,3,Social,1.33,2.33,37,117,1,1,0.028
161,Detecting the snake in the grass: attention to fear-relevant stimuli by adults and young children.,"V Lobue, JS DeLoache",2,563,8201,143,381,4.36,4.36,3,Cognitive,2,3.67,48,40,1,0,0.237
28,Semantic interference in a delayed naming task: Evidence for the response exclusion hypothesis.,"N Janssen, W Schirm, BZ Mahon, A Caramazza",4,567,25000,72,119,6.74,6.74,2,Cognitive,1.5,1,32,80,1,0,0.33
146,A word-order constraint on phonological activation,"N Janssen, FX Alario, A Caramazza",3,569,33703,15,27,1.9,6.74,2,Cognitive,5.33,5,15,18,1,0,0.09
37,Orienting attention in visual working memory reduces interference from memory probes.,"T Makovski, R Sussman, YV Jiang",3,578,6598,116,249,6.74,6.74,3,Cognitive,1.67,3,12,30,1,1,0.142
52,Affective incoherence: When affective concepts and embodied reactions clash.,"DB Centerbar, S Schnall, GL Clore, ED Garvin",4,671,25989,35,72,2.91,4.36,5,Social,3.12,3.25,133,86,1,0,0.322
4,Accelerated relearning after retrieval-induced forgetting: The benefit of being forgotten.,"BC Storm, EL Bjork, RA Bjork",3,763,16509,39,81,5.16,5.16,1,Cognitive,4,4.33,240,196,0,0,0.94
145,ÒIn_Group LoveÓ and ÒOut_Group HateÓ as Motives for Individual Participation in Intergroup Conflict: A New Game Paradigm,"N Halevy, G Bornstein, L Sagiv",3,783,4290,126,389,2.48,2.48,1,Social,2.75,4,240,30,1,1,0.0001
20,"Intentional forgetting is easier after two ""shots"" than one.","L Sahakyan, PF Delaney, ER Waldum",3,791,299,21,40,2.84,2.84,3,Cognitive,3.17,3.67,96,102,1,0,0.84
68,Why people are reluctant to tempt fate.,"JL Risen, T Gilovich",2,795,16229,59,139,4.71,5.56,6,Social,4,5.33,122,300,1,0,0.961
135,Implicit attitude generalization occurs immediately; explicit attitude generalization takes time,"KA Ranganath, BA Nosek",2,800,16030,65,135,4.36,4.36,1,Social,3.67,4.67,564,2203,1,0,0
94,"Self-handicapping, excuse making, and counterfactual thinking: Consequences for self-esteem and future motivation.",SM McCrea,1,828,828,51,119,2.09,2.09,5,Social,2,3,28,66,1,1,0.01175
39,Decision making and learning while taking sequential risks.,TJ Pleskac,1,848,848,40,91,3.53,3.53,1,Cognitive,3.5,4.25,68,80,1,0,0.21
14,Holistic processing of faces: Perceptual and decisional components.,"JJ Richler, I Gauthier, MJ Wenger, TJ Palmeri",4,878,12542,77,124,4.17,4.17,2,Cognitive,3.25,3.25,19,30,,,
80,The effects of an implemental mind-set on attitude strength.,"MD Henderson, Y de Liver, PM Gollwitzer",3,879,23373,27,91,4.71,5.19,5,Social,3,3,46,69,1,0,0.19
61,Poignancy: Mixed emotional experience in the face of meaningful endings.,"H Ersner-Hershfield, JA Mikels, SJ Sullivan, LL Carstensen",4,919,21330,80,280,6.54,6.54,2,Social,2,2.75,110,210,0,0,0.94
160,First Impressions and Last Resorts: How listeners adjust to speaker variability.,"T Kraljic, AG Samuel, SE Brennan",3,921,9846,117,207,4.08,2.85,1,Cognitive,2.67,2.33,268,540,,,
118,"Toward a physiology of dual-process reasoning and judgment: lemonade, willpower, and expensive rule-based analysis.","EJ Masicampo, RF Baumeister",2,983,84112,202,435,3.66,3.66,1,Social,4.5,3.75,115,225,0,0,0.539
58,Walking on eggshells: How expressing relationship insecurities perpetuates them.,"EP Lemay, MS Clark",2,986,12819,40,86,6.56,6.56,5,Social,2.33,2.67,186,370,1,0,0.54
59,How the head liberates the heart: Projection of communal responsiveness guides relationship promotion.,"EP Lemay, MS Clark",2,986,12819,66,159,6.56,6.56,5,Social,2,3,153,90,1,1,0.0001
11,Attractor dynamics and semantic neighborhood density: Processing is slowed by near neighbors and speeded by distant neighbors.,"D Mirman, JS Magnuson",2,1002,3289,56,124,3.16,3.16,2,Cognitive,2.7,3.2,22,15,1,1,0.008
7,Modeling distributions of immediate memory effects: No strategies needed?,"CP Beaman, I Neath, AM Surprenant",3,1024,1024,12,29,2.22,2.22,2,Cognitive,1.33,1.67,100,13,1,0,0.314
48,Terror management and adults' attachment to their parents: The safe haven remains.,"CR Cox, J Arndt, T Pyszczynski, J Greenberg, A Abdollahi, S Solomon",6,1071,22870,74,188,2.62,2.62,6,Social,3.5,4.5,100,39,0,0,0.47
167,"Head up, foot down: Object words orient attention to the objects' typical location.","Z Estes, M Verges, LW Barsalou",3,1188,26096,91,198,2.67,3.65,3,Cognitive,5.2,4,18,8,1,0,0.24
87,The space between us: Stereotype threat and distance in interracial contexts.,"PA Goff, CM Steele, PG Davies",3,1196,26670,165,439,4.08,6.54,4,Social,4,4,55,58,1,0,0.928
121,The sunny side of fairness: Preference for fairness activates reward circuitry (and disregarding unfairness activates self-control circuitry),"G Tabibnia, AB Satpute, MD Lieberman",3,1246,14419,274,652,5.16,5.16,2,Social,3.5,4.5,12,7,1,1,prep > .99
89,Sex differences in mate preferences revisited: Do people know what they initially desire in a romantic partner?,"PW Eastwick, EJ Finkel",2,1248,4655,202,511,4.42,4.42,1,Social,3.67,3.67,163,380,1,1,0.87
41,Power and affordances: When the situation has more power overpowerful than powerless individuals,A Guinote,1,1284,1284,96,196,2.61,2.61,6,Social,4,3,72,178,,,
36,An attention-based associative account of adjacent and nonadjacent dependency learning.,"S Pacton, P Perruchet",2,1341,5255,72,120,2.25,1.65,5,Cognitive,3,3.5,24,8,1,1,0.00048
104,"Effects of fluency on psychological distance and mental construal (or why New York is a large city, but New York is a civilized jungle).","AL Alter, DM Oppenheimer",2,1369,2818,109,277,6.51,6.51,3,Social,2,3,236,622,1,0,0.53
5,The intermixed-blocked effect in human perceptual learning is not the consequence of trial spacing.,"C Mitchell, S Nash, G Hall",3,1387,2242,36,71,2.52,2.86,2,Cognitive,3,3.5,32,35,1,0,0.335
140,Keeping one's distance: The influence of spatial distance cues on affect and evaluation.,"LE Williams, JA Bargh",2,1465,45986,219,507,6.56,6.56,4,Social,4.6,3.6,84,108,1,0,0.787
32,Accounting for occurrences: A new view of the use of contingency information in causal judgment.,PA White,1,1472,1472,11,18,3.07,3.07,5,Cognitive,3.5,2.33,37,4,1,1,0.002
84,Selective exposure and information quantity: How different information quantities moderate decision makers' preference for consistent and inconsistent information.,"P Fischer, S Schulz-Hardt, D Frey",3,1539,10023,65,153,2.54,2.53,4,Social,3,4,52,73,1,1,0.008
82,The face of success: inferences from chief executive officers' appearance predict company profits.,"NO Rule, N Ambady",2,1545,12216,141,368,3.74,3.74,1,Social,3.75,4,50,113,1,0,0.086
79,Neurocognitive underpinnings of face perception: Further evidence of distinct person and group perception processes.,"MA Z‡rate, CJ Stoever, MK MacLin, CJ Arms-Chavez",4,1549,1549,11,26,2.3,2.3,1,Social,4,2.71,63,35,,,
57,I want to be creative: exploring the role of hedonic contingency theory in the positive mood-cognitive flexibility link,"ER Hirt, EE Devers, SM McCrea",3,1600,1600,105,256,3.53,3.53,3,Social,2,3,55,118,,,
139,Auditory change detection: simple sounds are not memorized better than complex sounds,"L Demany, W Trost, M Serman, C Semal",4,1611,1611,27,52,1.98,1.98,5,Cognitive,4,3.5,4,3,1,1,0
151,With a clean conscience: Cleanliness reduces the severity of moral judgments.,"S Schnall, J Benton, S Harvey",3,1700,1700,246,586,2.03,2.03,2,Social,5,4,43,58,1,0,0.97
3,Working memory costs of task switching.,"B Liefooghe, P Barrouillet, A Vandierendonck, V Camos",4,1737,3191,55,120,2.57,2.57,4,Cognitive,2.5,3,25,26,0,0,0.229
29,Multidimensional visual statistical learning.,"NB Turk-Browne, PJ Isola, BJ Scholl, TA Treat",4,1740,6204,61,137,6.56,6.56,5,Cognitive,2.25,3.25,8,13,1,1,0.002
46,"The developmental psychometrics of big five self-reports: Acquiescence, factor structure, coherence, and differentiation from ages 10 to 20.","CJ Soto, OP John, SD Gosling, J Potter",4,1792,36658,132,437,5.61,5.61,1,Social,2.75,2.75,230047,108,1,1,2.2 x 10-16
33,Multiple roles for time in short-term memory: Evidence from serial recall of order and timing.,S Farrell,1,1830,1830,27,44,2.69,2.69,3,Cognitive,1.5,4.33,40,32,1,1,0.044
8,Stereotypes and retrieval-provoked illusory source recollections.,"CS Dodson, J Darragh, A Williams",3,1967,1967,14,33,4.36,4.36,3,Cognitive,3,3.75,39,28,0,0,0.54
148,The Best Men Are (Not Always) Already Taken: Female Preference for Single Versus Attached Males Depends on Conception Risk,"P Bressan, D Stranieri",2,1999,1999,20,47,1.97,1.97,2,Social,3.5,3.6,208,80,,0,
127,A motion aftereffect from still photographs depicting motion,"J Winawer, AC Huk, L Boroditsky",3,2029,5834,47,119,6.54,6.54,3,Cognitive,3.5,3,29,15,1,1,0.00471
128,It takes two: The interpersonal nature of empathic accuracy,"J Zaki, N Bolger, K Ochsner",3,2041,17796,147,364,5.47,5.47,1,Social,1.8,2.6,33,X,,,
113,Prescribed optimism: Is it right to be wrong about the future?,"DA Armor, C Massey, AM Sackett",3,2061,250,32,86,3.02,6.56,1,Social,2.2,3,125,15,1,1,1.00E-12
142,Hedonic and instrumental motives in anger regulation.,"M Tamir, C Mitchell, JJ Gross",3,2114,45085,138,421,3.98,6.54,1,Social,1.5,2.5,82,X,1,1,< .0001
22,How does bilingualism improve executive control? A comparison of active and reactive inhibition mechanisms.,"LS Colzato, MT Bajo, W van den Wildenberg, D Paolieri, S Nieuwenhuis, W La Heij, B Hommel",7,2307,14579,176,374,2.6,2.6,3,Cognitive,3.5,4.5,18,24,1,0,0.72
43,The rejection of moral rebels: Resenting those who do the right thing.,"B Monin, PJ Sawyer, MJ Marquez",3,2351,2351,88,270,6.54,6.54,4,Social,3.75,3.75,67,45,1,0,0.1469
63,1/f noise and effort on implicit measures of bias.,J Correll,1,2379,2379,42,75,4.71,4.71,2,Social,3.5,4.25,71,168,1,0,0.374
97,Social identity contingencies: How diversity cues signal threat or safety for African Americans in mainstream institutions.,"V Purdie-Vaughns, CM Steele, PG Davies, R Ditlmann, JR Crosby",5,2400,26670,240,721,6.56,6.54,3,Social,2.6,3.4,90,65,0,0,0.154
27,On the additive effects of stimulus quality and word frequency in lexical decision: Evidence for opposing interactive influences revealed by RT distributional analyses.,"MJ Yap, DA Balota, CS Tse, D Besner",4,2514,16500,50,98,3.61,3.61,4,Cognitive,2.5,2.33,32,68,1,1,0.001
116,Measuring the crowd within: Probabilistic representations within individuals.,"E Vul, H Pashler",2,2785,17561,122,310,6.42,4.08,1,Cognitive,2.67,4.33,173,50,1,1,0.001
117,"Temporal selection is suppressed, delayed, and diffused during the attentional blink.","E Vul, M Nieuwenstein, N Kanwisher",3,2785,30967,53,90,6.42,6.42,1,Cognitive,4,2.5,12,4,1,1,1.00E-12
44,Why do implicit and explicit attitude tests diverge? The role of structural fit.,"BK Payne, MA Burkley, MB Stokes",3,3452,3452,165,403,4.25,4.25,4,Social,3,4,70,109,1,1,0.045
122,The representation of simple ensemble visual features outside the focus of attention,"GA Alvarez, A Oliva",2,3554,11460,134,322,6.42,6.42,3,Cognitive,3.17,3.5,8,14,1,1,0.0001
65,Not so innocent: Does seeing one's own capacity for wrongdoing predict forgiveness?,"JJ Exline, RF Baumeister, AL Zell, AJ Kraft, CV Witvliet",5,3624,84112,81,195,2.68,3.66,7,Social,3.6,4,45,48,1,0,0.89
158,Conflict-triggered goal shielding: Response conflicts attenuate background monitoring for prospective memory cues.,"T Goschke, G Dreisbach",2,4017,4017,45,115,2.09,2.09,1,Social,3.5,3.25,40,89,1,1,0.000035
13,Bidirectional associations in multiplication memory: Conditions of negative and positive transfer.,"JI Campbell, ND Robert",2,4075,4075,11,17,1.95,1.95,3,Cognitive,2.5,3,36,10,1,1,0.0001
133,Adaptive memory: The comparative value of survival processing.,"JS Nairne, JN Pandeirada, SR Thompson",3,4482,4482,191,381,4.43,4.43,2,Cognitive,2.25,3.25,24,13,1,1,0.007
129,The threat of appearing prejudiced and race-based attentional biases.,"JA Richeson, S Trawalter",2,4539,4539,75,148,4.42,4.42,1,Social,4,3.33,28,64,1,0,0.89
69,The nonverbal expression of pride: Evidence for cross-cultural recognition.,"JL Tracy, RW Robins",2,4719,16532,131,306,3.67,3.83,4,Social,2.6,3.4,211,114,1,1,0.05
147,Enhancing the Pace of Recovery: Self-Distanced Analysis of Negative Experiences Reduces Blood Pressure Reactivity,"O Ayduk, E Kross",2,4743,4743,86,212,5.61,5.61,1,Social,4,5,37,120,,,
56,A social functional approach to emotions in bargaining: when communicating anger pays and when it backfires.,"E van Dijk, GA van Kleef, W Steinel, I van Beest",4,4910,4910,97,195,2.6,2.6,3,Social,3,3.67,103,65,0,0,0.796
134,"Is happiness having what you want, wanting what you have, or both?","JT Larsen, AR McKibban",2,5016,5016,22,69,2.88,2.88,2,Social,2.67,4,119,234,1,1,0.001
49,Increasing and decreasing motor and cognitive output: A model of general action and inaction goals.,"D Albarrac’n, IM Handley, K Noguchi, KC McCulloch, H Li, J Leeper, RD Brown, A Earl, WP Hart",9,5096,5096,46,110,3.85,3.85,7,Social,3.57,3.28,36,70,,0,
93,Balancing connectedness and self-protection goals in close relationships: A levels-of-processing perspective on risk regulation.,"SL Murray, JL Derrick, S Leder, JG Holmes",4,5349,11286,117,278,2.84,2.98,8,Social,1.4,2.6,91,96,0,0,0.265
53,Individual differences in the regulation of intergroup bias: The role of conflict monitoring and neural signals for control.,"DM Amodio, PG Devine, E Harmon-Jones",3,5439,12887,136,265,5.19,3.45,2,Social,4.67,3,48,18,1,0,0.513
24,Priming addition facts with semantic relations.,"M Bassok, SF Pedigo, AT Oskarsson",3,5489,5489,50,83,4.04,4.04,2,Cognitive,4,2.67,154,72,1,1,0.045
143,"Creating social connection through inferential reproduction: Loneliness and perceived agency in gadgets, gods, and greyhounds.","N Epley, S Akalis, A Waytz, JT Cacioppo",4,5920,86172,185,569,4.71,4.71,3,Social,3.4,2.8,57,66,1,0,0.68
19,How to say no: Single-and dual-process theories of short-term recognition tested on negative probes.,K Oberauer,1,5974,5974,11,35,2.69,2.69,3,Cognitive,2.67,3,32,26,1,0,0.071
114,Age-related changes in the episodic simulation of future events,"DR Addis, AT Wong, DL Schacter",3,6138,64583,248,598,6.74,6.74,1,Social,2.8,3.6,32,26,1,1,0.0001
111,Precision of the anchor influences the amount of adjustment.,"C Janiszewski, D Uy",2,6591,6591,53,156,3.4,3.4,5,Cognitive,2,4,59,87,1,1,0.014
64,The effect of global versus local processing styles on assimilation versus contrast in social judgment.,"J F_rster, N Liberman, S Kuschel",3,7354,12768,113,241,3.43,2.95,5,Social,3,3,82,27,1,0,0.426
164,Affective Flexibility: evaluative processing goals shape amygdala activity.,"WA Cunningham, JJ Van Bavel, IR Johnsen",3,7492,7492,160,311,4.18,4.18,1,Social,3,4,12,15,,,
1,Tracing attention and the activation flow in spoken word planning using eye movements.,A Roelofs,1,8005,8005,46,83,2.52,2.52,3,Cognitive,3.75,2.5,24,23,1,0,0.435
120,Errors Are Aversive: Defensive Motivation and the Error-Related Negativity,"G Hajcak, D Foti",2,8843,8843,172,365,2.85,2.85,1,Social,2.42,3.28,31,56,1,0,0.11
17,The ultimate sampling dilemma in experience-based decision making.,K Fiedler,1,8862,8862,28,72,2.69,2.69,2,Cognitive,2.75,2.5,39,37,1,1,0.00003
153,Extremal edge: a powerful cue to depth perception and figure-ground organization,"SE Palmer, T Ghose",2,10291,10291,38,61,5.61,5.61,2,Cognitive,2.67,3,8,7,1,0,0.76
154,What Do Cross_National Comparisons of Personality Traits Tell Us? The Case of Conscientiousness,"SJ Heine, EE Buchtel, A Norenzayan",3,12531,12531,105,237,3.67,3.67,1,Social,4,4.67,70,,1,1,
55,Left frontal cortical activation and spreading of alternatives: Tests of the action-based model of dissonance.,"E Harmon-Jones, C Harmon-Jones, M Fearn, JD Sigelman, P Johnson",5,12887,12887,103,197,3.45,3.45,2,Social,3.5,3.75,57,108,1,0,0.74
47,Hedonic tone and activation level in the mood-creativity link: Toward a dual pathway to creativity model.,"CK De Dreu, M Baas, BA Nijstad",3,17538,17538,278,896,3.43,3.43,4,Social,2.86,3.43,546,1300,,,
136,The value of believing in free will: Encouraging a belief in determinism increases cheating.,"KD Vohs, JW Schooler",2,19845,19845,341,861,3.64,3.64,2,Social,3.75,3.75,30,58,1,0,0.44
105,"Night and day, you are the one: on circadian mismatches and the transference effect in social perception.","AW Kruglanski, A Pierro",2,23195,23195,37,64,3.41,3.41,1,Social,3.75,3.25,42,35,,,
71,On the relative independence of thinking biases and cognitive ability.,"KE Stanovich, RF West",2,44032,44032,291,828,3.82,3.82,8,Social,2.71,3,375,176,1,0,0.332
