notegrade,purposenote_planned,nonnative_english,online,trust_pretreatment_miss,purpose_pretreatment_miss,engteacherpurpose_pretreatment_miss,belongunc_pretreatment,engteacherpurpose_pretreatment_dumm,teacher,female,seventh
2,0,1,1,1,5,6,1,0,one,0,1
1,0,1,0,1.75,3.5,4.333333333,2.5,0,three,1,0
2,1,1,0,1,5,6,6,0,three,1,0
0,1,1,0,2,4.5,5.666666667,3.5,0,two,1,0
1,0,1,0,1.75,3.5,5.666666667,5,0,five,0,1
3,0,0,0,2,3.5,4.333333333,4,0,four,1,0
2,1,0,1,2,2.5,4,3,0,three,0,0
2,0,1,1,4,4.5,5.666666667,5.5,0,three,0,0
0,1,1,0,3.5,4,6,3.5,0,two,0,0
2,0,1,1,2,4.5,6,2,0,two,1,0
1,1,1,1,2,3,5.666666667,3,0,two,0,0
3,1,1,1,4.25,5,3,3,0,three,1,0
0,0,1,0,3.5,4,5,5,0,five,0,1
3,1,0,0,3.25,3,4.666666667,1,0,four,0,0
3,0,1,1,1.25,3,5,2,0,four,1,0
0,0,1,1,4.25,5,2.666666667,6,0,four,1,0
0,1,0,1,5.75,1.5,5.666666667,6,0,two,1,0
1,1,1,1,3,4,4.666666667,3,0,one,1,1
2,1,,,0,0,0,N,1,three,0,0
1,1,0,1,2.25,5,5,3,0,three,1,0
2,1,1,0,2.75,4,3.666666667,2,0,four,0,0
0,0,,,0,0,0,N,1,two,0,0
3,1,,1,2,5,4.666666667,4,0,four,0,0
3,0,1,1,4,3.5,4.666666667,3.5,0,four,1,0
1,1,1,1,3,2.5,2.666666667,3,0,four,1,0
2,1,1,1,2.25,5,5.666666667,2,0,four,1,0
2,0,0,0,2,4,6,6,0,three,1,0
,1,1,0,2.5,4,3.666666667,2,0,,0,0
1,0,,,0,0,0,N,1,two,0,0
3,0,1,0,1,5,6,5.5,0,four,0,0
,0,,,0,0,0,N,1,,0,0
2,1,1,0,2,3,4,2,0,four,0,0
3,1,1,1,2,4.5,4.666666667,1.5,0,three,0,0
1,1,1,0,1.75,5,5.333333333,5,0,three,1,0
1,0,1,0,2.75,4,5.666666667,4,0,four,1,0
1,0,0,1,2,4.5,5,2,0,five,0,1
0,1,0,0,2,5,5.666666667,3.5,0,one,1,1
0,0,,1,2,3.5,5.333333333,2,0,five,0,1
2,0,0,1,2,4,4.333333333,2,0,three,0,0
0,1,,1,1.25,3.5,5.666666667,3,0,two,0,0
3,0,1,0,1.25,2.5,5.666666667,2,0,two,1,0
0,1,1,1,2.75,3.5,4.666666667,3,0,five,0,1
3,0,1,0,2,5,6,4,0,four,0,0
1,0,1,1,1.25,3.5,5,2,0,one,0,1
0,0,1,0,1.5,3.5,6,2,0,two,0,0
2,0,0,1,1.75,3,3,2.5,0,two,0,0
2,0,,,0,0,0,N,1,five,0,1
2,0,0,1,2.25,4.5,4.666666667,3.5,0,two,1,0
,0,,,0,0,0,N,1,,0,0
1,1,1,0,3.5,3.5,5.666666667,2,0,two,0,0
3,0,1,1,1.5,5,6,3,0,five,1,1
,,1,0,1.25,5,5.333333333,1,0,,0,0
3,1,0,1,2,2.5,5,3,0,two,0,0
2,0,1,1,3.75,2,3.333333333,1.5,0,four,0,0
2,0,0,0,2.75,3,4.666666667,3.5,0,one,0,1
2,1,0,0,1,4.5,6,4,0,two,1,0
,,0,0,2.75,2.5,4.333333333,2,0,,0,0
1,0,1,0,1,4.5,5.666666667,3.5,0,one,1,1
1,0,1,1,1.25,4.5,5.333333333,2,0,two,0,0
1,1,1,0,1.25,3.5,5.333333333,1.5,0,one,0,1
2,0,0,0,1.75,5,5,2.5,0,two,0,0
1,1,1,1,2.25,3,5,1,0,five,0,1
2,1,1,0,1.75,4,5,3,0,five,1,1
2,0,,,0,0,0,N,1,two,0,0
2,1,0,0,3,4,5.333333333,4.5,0,two,0,0
1,0,1,1,2,3,5.666666667,1,0,one,0,1
2,0,1,0,1.75,4,4.666666667,2,0,two,0,0
3,0,1,0,2.5,4,5,6,0,four,1,0
2,1,1,1,2,3.5,5,2.5,0,two,0,0
2,0,0,1,2.5,4,5.666666667,4.5,0,five,0,1
,0,1,0,1.75,4,5.333333333,2,0,,0,0
2,1,0,1,3,5,5.666666667,2,0,one,1,1
1,0,1,1,2,3,5,3.5,0,two,0,0
1,1,1,1,3,4.5,5.333333333,3.5,0,four,0,0
1,1,1,1,1.75,4.5,5.666666667,2.5,0,two,0,0
1,1,1,1,3,3,4.333333333,2.5,0,five,0,1
3,1,1,1,3,4,4,4,0,four,0,0
1,0,1,1,3,2,5.666666667,3,0,five,1,1
1,1,1,0,2.25,4.5,5.333333333,3.5,0,two,0,0
1,0,1,1,1,4.5,5.666666667,5.5,0,five,0,1
0,1,1,0,3.5,4.5,4.666666667,3.5,0,two,1,0
2,1,0,1,2,4,5,2,0,two,0,0
2,1,1,0,2.75,4.5,3.666666667,2,0,two,0,0
2,0,0,0,2.5,3,6,4.5,0,three,1,0
0,0,1,1,3.25,3,4.333333333,5,0,four,1,0
1,1,1,0,2,4.5,5.333333333,3,0,one,1,1
2,0,0,1,2,1.5,3,2,0,four,0,0
1,1,1,0,3.5,4,4.333333333,1,0,five,0,1
3,1,1,1,2.25,3.5,5,2.5,0,one,1,1
2,1,1,1,1.75,3.5,5,3,0,five,1,1
1,0,0,1,1.75,4,6,4.5,0,two,1,0
,0,1,1,4,2.5,2,1,0,one,1,1
2,0,0,0,1,4,6,2,0,one,0,1
1,1,1,1,2,3.5,5.333333333,2,0,one,1,1
1,1,1,1,3,5,4.333333333,4,0,two,1,0
1,1,0,1,1.75,4.5,6,3.5,0,two,0,0
1,0,1,0,3,4,4,5,0,one,1,1
2,0,1,1,2.5,5,5.666666667,5,0,two,1,0
1,0,1,0,2.5,3,5,1.5,0,three,1,0
2,0,1,1,2,5,5.666666667,2.5,0,two,1,0
2,0,1,1,3.25,3.5,5,5,0,one,1,1
0,1,1,0,2,3.5,5,3.5,0,one,1,1
1,1,1,0,2,3.5,5.666666667,2,0,five,0,1
3,1,1,1,2,3,5.333333333,5,0,four,0,0
0,0,0,0,1.25,2,6,1,0,two,0,0
2,0,1,1,3.75,3.5,4.666666667,5,0,two,1,0
2,0,1,1,3,4,4,5,0,one,1,1
2,0,,,0,0,0,N,1,three,0,0
2,0,1,0,3.5,2.5,5,5,0,five,1,1
3,1,0,0,1,1.5,6,1,0,four,1,0
1,1,1,1,2.5,2.5,6,4,0,two,1,0
0,0,0,1,1.5,3,6,1.5,0,four,0,0
1,0,1,0,1.75,4,5.666666667,3.5,0,two,1,0
3,0,1,1,3.666666667,4,5,4,0,five,0,1
1,1,1,0,1.75,4,5,3,0,one,0,1
0,1,0,0,2.5,3,6,4.5,0,one,0,1
2,0,0,1,2.75,4,5.666666667,4.5,0,four,1,0
3,0,1,1,2,3,5,2,0,two,0,0
2,0,,,0,0,0,N,1,two,0,0
0,1,1,0,3,3.5,5,4,0,five,1,1
1,0,1,0,2.75,4,5,4.5,0,two,1,0
1,0,1,0,2,4.5,5,2,0,one,0,1
2,0,0,0,2,4,5,2,0,two,1,0
,,1,0,2.75,4,6,3.5,0,,0,0
2,1,1,1,1.5,4.5,5.333333333,2,0,two,0,0
2,0,,,0,0,0,N,1,one,0,1
2,1,1,0,4.25,2.5,3.666666667,4.5,0,four,0,0
3,0,1,0,2.5,3.5,6,3.5,0,four,1,0
2,1,1,1,2,3.5,5,2,0,three,1,0
2,1,1,1,2,3.5,6,4,0,two,1,0
0,0,1,1,1.5,5,6,2,0,two,1,0
2,1,1,1,2.5,4,5,4,0,two,0,0
2,1,1,0,2,4.5,5,5,0,three,1,0
2,0,,1,2,4,5.333333333,4,0,one,0,1
1,0,0,0,2.5,1.5,4.666666667,1,0,three,0,0
1,0,0,1,2.75,4,4.333333333,2.5,0,three,0,0
3,0,1,1,5,1,6,3.5,0,two,1,0
,1,,,0,0,0,N,1,,0,0
3,0,0,1,2,2.5,5.666666667,3.5,0,two,0,0
1,1,1,1,1.5,1.5,6,1.5,0,five,0,1
1,1,1,1,1.25,5,5.333333333,2,0,two,1,0
,0,,,0,0,0,N,1,,0,0
,1,1,0,3,4.5,5,2.5,0,,0,0
2,0,1,1,2.75,5,6,4.5,0,three,1,0
0,0,1,1,2.333333333,4.5,5.666666667,2.5,0,four,1,0
1,0,1,1,2.5,4,6,2.5,0,two,1,0
1,0,1,1,2,4,5,2,0,two,0,0
1,1,0,1,2.5,5,5.333333333,2,0,two,0,0
1,0,1,1,3,5,5.333333333,3,0,one,0,1
,0,,,0,0,0,N,1,,0,0
1,0,1,0,2.75,4.5,5.666666667,3.5,0,two,1,0
1,1,0,0,2.75,4.5,6,5,0,five,0,1
1,1,1,0,3.25,4,5,5,0,three,1,0
,,,,0,0,0,N,1,,0,0
3,1,1,1,4.75,2,6,6,0,two,1,0
0,0,1,1,2,1.5,4,2,0,three,0,0
1,1,1,0,1.75,2.5,5,2,0,one,1,1
3,1,1,1,2.25,4,5,1,0,two,1,0
1,1,0,0,2,2,5,3.5,0,one,0,1
,,1,0,2.5,4.5,6,5.5,0,,0,0
1,1,,,0,0,0,N,1,two,0,0
,1,,,0,0,0,N,1,,0,0
0,1,0,1,2.5,4.5,4.333333333,5,0,one,1,1
0,0,1,0,3.25,2,5,3.5,0,two,0,0
3,0,0,0,3.5,3.5,4.666666667,3,0,two,0,0
2,1,1,0,2,4.5,5.666666667,1.5,0,two,1,0
1,0,1,1,2.75,4,5.333333333,3.5,0,five,1,1
2,0,1,0,2,5,6,2,0,five,1,1
2,1,,1,2,4,5,1,0,three,0,0
2,0,1,0,2,5,5,2,0,one,1,1
1,0,1,1,3.333333333,3,5,3,0,one,1,1
1,0,1,0,1.75,2,5.333333333,5,0,two,0,0
1,0,1,0,2,3.5,4.666666667,5,0,one,0,1
1,0,0,1,3,3,6,4.5,0,two,0,0
3,1,1,0,2,4,5,2,0,four,1,0
1,0,1,0,1.75,4,6,5,0,five,1,1
2,0,0,0,1,5,6,2.5,0,three,0,0
2,1,1,1,2.25,5,6,3,0,five,1,1
3,1,1,1,2,4.5,6,3.5,0,one,1,1
0,0,,1,1.5,2.5,6,2.5,0,two,1,0
1,1,1,0,2,5,6,4,0,five,1,1
,0,,,0,0,0,N,1,,0,0
,1,1,1,2.5,5,5,5.5,0,,0,0
2,1,0,0,3,3.5,6,4.5,0,two,0,0
2,1,1,0,1,4,6,3,0,two,0,0
2,0,1,0,3.25,4.5,4,3.5,0,three,0,0
1,1,1,0,3,3.5,4.666666667,3.5,0,four,1,0
2,1,0,0,1,5,6,1,0,five,0,1
2,0,0,0,1.75,2.5,4.666666667,4,0,four,1,0
2,1,1,0,2.5,4,5,3.5,0,five,1,1
1,1,1,0,2.5,5,5,1.5,0,two,1,0
3,1,0,0,3,2,4.666666667,3,0,one,0,1
2,1,1,1,1.75,5,5.333333333,5,0,two,1,0
0,1,1,0,1.75,4,4.666666667,3.5,0,two,0,0
3,0,1,0,1.75,4.5,5.666666667,4,0,two,1,0
2,0,1,1,3,3.5,4.333333333,3.5,0,three,0,0
1,1,1,1,3.25,4,4.333333333,3,0,one,0,1
0,0,1,1,2.25,4,4.666666667,3,0,two,0,0
3,0,1,0,1.75,4.5,3.666666667,2,0,four,0,0
,1,,,0,0,0,N,1,,0,0
2,1,1,1,2.25,3,4.666666667,5,0,two,1,0
,,,,0,0,0,N,1,,0,0
3,0,1,0,1.75,4.5,5,2,0,three,1,0
1,0,1,0,3,4,4.333333333,3.5,0,one,1,1
3,0,1,0,3.25,5,4,6,0,five,1,1
1,0,1,1,2.75,3.5,5,3.5,0,four,0,0
0,1,1,0,1.75,5,5,1,0,two,0,0
2,0,1,1,3,4.5,4.666666667,2,0,three,1,0
2,0,1,0,1.5,4,5.666666667,1.5,0,one,0,1
1,0,1,1,3.25,3,4,3,0,three,1,0
,,1,0,3.75,2.5,4.666666667,2.5,0,,0,0
1,0,0,0,2.25,3,5.666666667,3,0,two,0,0
,1,0,1,4.5,5,6,2,0,,1,0
2,0,1,1,2.5,5,6,4,0,five,1,1
2,0,1,0,1.75,2.5,5.666666667,2,0,two,1,0
2,0,0,0,2.5,4.5,5.666666667,2,0,five,0,1
2,1,1,0,1.75,4,5.333333333,3.5,0,three,0,0
1,0,1,0,2,4,4.666666667,5,0,two,1,0
1,0,1,1,2.75,5,6,2.5,0,one,0,1
1,0,1,0,4,5,4,6,0,two,0,0
0,0,1,0,1.75,4.5,5.333333333,3,0,two,0,0
,0,0,1,1.5,5,5.333333333,1,0,,1,0
2,0,0,1,1.75,2.5,6,1,0,three,1,0
,,1,0,4.5,4,6,6,0,,1,0
,,1,0,1.75,4,5,3.5,0,,1,0
3,1,1,1,2.75,4,5,3.5,0,one,0,1
0,1,1,1,1,4,6,2.5,0,five,1,1
2,1,,1,2.75,3,5,2,0,four,0,0
2,0,1,0,2,5,4.666666667,4,0,three,1,0
1,1,1,0,2.25,4,2.666666667,5,0,three,1,0
0,0,1,0,3,5,4.666666667,4.5,0,four,0,0
0,1,1,1,3,1.5,4.666666667,4,0,three,0,0
1,0,1,0,1,5,4,3,0,four,1,0
1,1,0,0,2,4,5.333333333,3,0,three,0,0
0,0,1,1,1,4,5.333333333,2,0,two,0,0
0,0,,,0,0,0,N,1,four,0,0
1,1,1,0,2,3.5,5,2,0,four,0,0
3,1,0,1,2.75,3.5,5.666666667,4.5,0,two,1,0
2,1,1,0,2.5,4.5,4.666666667,5.5,0,four,0,0
2,1,1,0,2,5,4.333333333,5,0,four,0,0
2,1,1,1,1.25,4.5,5.666666667,4.5,0,one,0,1
2,1,0,0,2,4.5,6,3.5,0,five,0,1
0,0,,1,1.75,4.5,5.333333333,2,0,five,0,1
3,1,1,0,2,4,5,3.5,0,four,0,0
3,0,1,0,2,3.5,5.333333333,3,0,five,0,1
3,1,0,1,1.75,5,5.666666667,1,0,four,0,0
2,1,1,0,1,2.5,6,2,0,two,1,0
3,0,0,1,2.25,4.5,5.666666667,3.5,0,four,1,0
,1,,,0,0,0,N,1,,0,0
1,0,1,1,1.5,4.5,6,2,0,five,1,1
2,0,0,0,1,4,5,1.5,0,four,1,0
1,1,1,1,1.75,4.5,4.666666667,1.5,0,two,0,0
0,0,1,0,1.75,4,4.666666667,2,0,two,1,0
,0,,,0,0,0,N,1,,0,0
2,0,0,1,2,3,5,2,0,three,1,0
1,1,1,0,3,4.5,5,3.5,0,three,1,0
,0,1,0,1.5,3.5,4.333333333,1,0,,0,0
1,1,0,1,1,4,6,4,0,two,1,0
1,1,1,0,1.75,4,5,2,0,three,0,0
1,1,0,1,1.25,3.5,5.666666667,3.5,0,one,0,1
,1,,,0,0,0,N,1,,0,0
2,1,1,1,2.5,4,3.333333333,4,0,four,1,0
0,0,1,1,2.75,4.5,4.333333333,3,0,four,1,0
1,0,1,1,2,4,5.666666667,3.5,0,five,1,1
1,0,0,1,1.5,5,6,3,0,two,1,0
2,0,1,0,2,3.5,5.666666667,5,0,three,1,0
1,0,0,0,2.75,4.5,5,2.5,0,one,0,1
2,1,1,0,1.75,3.5,5.666666667,4.5,0,two,0,0
2,1,0,0,1.75,5,3.333333333,4.5,0,three,0,0
1,0,1,0,3.25,4.5,6,6,0,one,1,1
2,1,1,1,2.75,4.5,5,1,0,two,0,0
1,0,,1,2.5,4.5,4.333333333,3,0,five,0,1
1,1,0,0,3.5,4,6,5,0,two,1,0
1,0,1,0,2,2.5,4.666666667,2,0,two,1,0
0,0,1,1,2.25,3,4.666666667,2.5,0,four,1,0
0,0,,,0,0,0,N,1,four,0,0
0,0,1,1,2,5,5.333333333,4.5,0,five,0,1
2,1,1,1,2,4.5,6,2,0,one,1,1
3,1,1,0,2.5,4,4.666666667,2,0,two,1,0
2,0,1,0,3.25,3.5,4.333333333,2,0,three,0,0
3,0,0,0,1.75,3,5,4,0,four,0,0
2,1,0,0,3,4.5,6,3,0,two,0,0
1,0,0,0,1.75,2,5.333333333,1,0,two,0,0
0,1,0,1,1.25,4.5,6,5,0,five,0,1
1,0,0,1,3,3,6,2,0,five,1,1
,1,,,0,0,0,N,1,,0,0
1,1,0,0,2.5,5,5,4,0,two,0,0
3,1,1,1,2,4.5,4,4,0,three,0,0
2,1,1,1,2.5,3.5,6,5.5,0,two,0,0
1,1,1,0,2.75,3,6,3,0,three,1,0
2,0,1,0,2.75,4.5,4.333333333,4.5,0,three,0,0
1,1,1,1,2.75,2,5.333333333,2,0,one,1,1
2,1,1,1,2.5,3.5,5,3.5,0,three,1,0
,,,,0,0,0,N,1,,0,0
,1,,,0,0,0,N,1,,0,0
0,0,1,1,2.5,3.5,3.666666667,3,0,two,0,0
2,1,0,1,1,4.5,6,1,0,five,1,1
1,0,1,1,2.25,2.5,4.666666667,3,0,three,1,0
3,0,1,1,2,4,4.333333333,2,0,three,1,0
1,0,1,1,2,5,5,2,0,one,1,1
1,0,0,0,1.25,5,6,3,0,five,1,1
2,1,1,0,1.5,4.5,4.666666667,3.5,0,three,1,0
0,1,1,1,2.5,4,4,4,0,one,1,1
2,1,1,1,1.25,2.5,5,1.5,0,three,0,0
1,0,1,0,2.75,5,5.666666667,4.5,0,one,1,1
1,0,0,0,3.25,4,4.333333333,2.5,0,two,0,0
1,1,0,1,1,4.5,5.666666667,2.5,0,five,0,1
2,1,1,1,3.25,4,4,4,0,five,1,1
2,0,0,0,2,4,5.666666667,3,0,five,0,1
3,1,0,0,6,1,1,1,0,one,0,1
1,0,1,1,1,4.5,5,3.5,0,two,0,0
1,0,0,1,3.5,1,6,5,0,one,1,1
0,1,1,0,2.5,5,6,4,0,five,0,1
3,1,1,1,2.5,3.5,4.666666667,2,0,four,0,0
3,1,1,1,3,4.5,4.333333333,2.5,0,four,1,0
2,0,1,1,3.25,2,5.666666667,3.5,0,one,0,1
,0,,,0,0,0,N,1,,0,0
,1,,,0,0,0,N,1,,0,0
1,,,,0,0,0,N,1,five,0,1
2,1,0,1,4,4.5,4.666666667,5,0,three,0,0
3,0,0,1,5.75,5,6,2,0,two,1,0
0,1,,1,1.75,3,5,4,0,five,0,1
1,0,1,0,2.25,4.5,5.333333333,2.5,0,one,0,1
0,0,1,1,2.75,2.5,3.666666667,3.5,0,four,1,0
2,1,0,0,1.25,2.5,5,2,0,three,1,0
0,0,0,0,3.25,5,4.333333333,5.5,0,two,0,0
,0,1,0,1,2.5,6,4,0,three,1,0
1,0,1,1,1.5,5,6,3.5,0,two,1,0
0,0,,0,3,3,6,4,0,two,0,0
1,1,1,1,5,1,2.333333333,6,0,three,0,0
,1,,,0,0,0,N,1,,0,0
1,,,,0,0,0,N,1,one,0,1
1,0,1,1,1.5,4.5,5.333333333,4.5,0,four,0,0
,,,,0,0,0,N,1,,0,0
