"StartDate","EndDate","Progress","Duration..in.seconds.","Finished","RecordedDate","Gender","Gender_3_TEXT","Age","State","income","Education","Hispanic","Race","Race_6_TEXT","Pets_1","Pets_2","Pets_3","Pets_4","Pets_5","Pets_6","Pets_7","Pets_8","Pets_9","Pets_10","Pets_10_TEXT","Donations_1","Donations_2","Donations_3","Donations_4","Donations_5","Donations_6","Donations_7","Donations_8","Donations_9","Donations_10","Donations_11","Donations_12","Donations_13","Donations_14","Donations_15","Donations_16","Donations_17","Impossible_1","Impossible_2","Impossible_3","Impossible_4","Impossible_5","Impossible_8","Impossible_6","Impossible_7","Impossible_11","Impossible_9","Impossible_10","Blue_dress","Don","assignment_id","participant_id","age","year_of_birth","education","educationScore","gender","femaleAs1MaleAs0","income_1","incomeScore","householdIncomeEstimate","computer_country","device","Location","Age_1","AttnCheck","FL_45_DO_Farmedidentifiableappeal.FIA.","FL_45_DO_Companionidentifiableappeal.CIA.","FL_45_DO_Farmedstatisticalappeal.FSA.","FL_45_DO_Companionstatisticalappeal.CSA.","FL_45_DO_Farmedidentifiableandstatisticalappeal.FISA.","FL_45_DO_Companionidentifiableandstatisticalappeal.CISA.","FL_45_DO_Farmednotextappeal.FNTA.","FL_45_DO_Companionnotextappeal.CNTA.","Flagged_susp","speeder","location.fail","ran.fail","type.fail","computer.fail","dress.fail","suspicious.fail","dupe","IP.fail","rejects","don","cond","CvF","stat","ident","donors","anim.don","AgeGroup","gender.coll","age.gend","regions","reg","race2","race.coll","caseid","weightvec"
"19-09-09 8:37","19-09-09 8:39",100,103,TRUE,"19-09-09 8:39","Woman",NA,32,"Florida",2,"Some college, no degree","No","Caucasian/White",NA,NA,"Cat(s)","Dog(s)",NA,NA,NA,NA,NA,NA,NA,NA,"I have not given money to any charitable cause in the past 12 months",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Purchased a new television","Went to the movies",NA,"Ate a pre-packaged frozen dinner","Read a book",NA,NA,NA,"Used a computer or a phone","Walked on a beach",NA,"Jennifer has a favorite dress","50","cbe5b7a5","1559aa0c",32,1987,"Completed only high school or the equivalent (for example: GED), no college",2,"female",1,"$25,000 to $39,999",2,32500,"United States","desktop",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,50,"CISA","Companion","stat appeal","ident victim","donor",0,2,2,2,"South",3,1,1,11,0.389643931160387
"19-09-09 8:37","19-09-09 8:40",100,174,TRUE,"19-09-09 8:40","Man",NA,41,"Minnesota",2,"Bachelor's degree","No","Caucasian/White",NA,"No pets in household",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I have not given money to any charitable cause in the past 12 months",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Read a book",NA,NA,NA,"Used a computer or a phone",NA,NA,"Jennifer has a favorite dress","10","abf34a68","49c1a064",41,1978,"Completed bachelor's degree (BA, AB, BS or other)",5,"male",0,"$25,000 to $39,999",2,32500,"United States","desktop",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,10,"CIA","Companion","no stat appeal","ident victim","donor",0,3,1,9,"Midwest",2,1,1,12,0.557991305784203
"19-09-09 8:38","19-09-09 8:40",100,112,TRUE,"19-09-09 8:40","Man",NA,30,"Georgia",1,"Bachelor's degree","No","Caucasian/White",NA,NA,"Cat(s)","Dog(s)",NA,"Bird(s): Parrots, budgees, hens, chickens, ducks, geese, etc.",NA,NA,NA,NA,NA,NA,"I have not given money to any charitable cause in the past 12 months",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ate a pre-packaged frozen dinner","Read a book",NA,"Went to a sporting event",NA,"Used a computer or a phone",NA,NA,"Jennifer has a favorite dress","25","1d6e6b5a","81bbc4a7",29,1990,"Completed bachelor's degree (BA, AB, BS or other)",5,"male",0,"$10,000 to $24,999",1,17500,"United States","desktop",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,2,1,1,25,"FIA","Farmed","no stat appeal","ident victim","donor",0,2,1,8,"South",3,1,1,13,0.608469614147117
"19-09-09 8:37","19-09-09 8:40",100,170,TRUE,"19-09-09 8:40","Man",NA,44,"Michigan",3,"Bachelor's degree","No","Caucasian/White",NA,NA,"Cat(s)","Dog(s)",NA,NA,NA,"Reptile(s) or amphibian(s): Snake, lizard, frog, toad, etc.",NA,NA,NA,NA,NA,"Animal rescues, shelters, advocacy groups, or other animal charities (pets, wildlife, marine life, farm animals, etc.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Went to the movies",NA,"Ate a pre-packaged frozen dinner","Read a book",NA,NA,NA,"Used a computer or a phone","Walked on a beach",NA,"Jennifer has a favorite dress","25","f5cb921d","22d9bcaf",43,1976,"Completed bachelor's degree (BA, AB, BS or other)",5,"male",0,"$60,000 to $84,999",4,72500,"United States","desktop",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,25,"FSA","Farmed","stat appeal","no ident victim","donor",1,3,1,9,"Midwest",2,1,1,14,0.457248838486206
"19-09-09 8:39","19-09-09 8:40",100,87,TRUE,"19-09-09 8:40","Man",NA,27,"Rhode Island",3,"Bachelor's degree","No","Caucasian/White",NA,"No pets in household",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Health charities",NA,NA,NA,NA,NA,NA,NA,"Formal education (K-12 schools, colleges, scholarship funds)",NA,NA,NA,NA,NA,"Went to the movies",NA,"Ate a pre-packaged frozen dinner","Read a book",NA,"Went to a sporting event",NA,"Used a computer or a phone","Walked on a beach",NA,"Jennifer has a favorite dress","0","bcd37993","ce98cdc6",27,1992,"Completed bachelor's degree (BA, AB, BS or other)",5,"male",0,"$40,000 to $59,999",3,50000,"United States","desktop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,0,0,0,0,0,1,0,0,0,"CNTA","Companion","no stat appeal","no ident victim","non-donor",0,2,1,8,"Northeast",1,1,1,15,0.277908186900591
"19-09-10 7:17","19-09-10 7:19",100,100,TRUE,"19-09-10 7:19","Man",NA,56,"Pennsylvania",2,"Associate degree","No","Caucasian/White",NA,NA,"Cat(s)","Dog(s)",NA,NA,NA,NA,NA,NA,NA,NA,"I have not given money to any charitable cause in the past 12 months",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Purchased a new television",NA,NA,NA,"Read a book",NA,NA,NA,"Used a computer or a phone",NA,NA,"Jennifer has a favorite dress","50","e1fad987","a64f8018",56,1963,"Completed associate degree only, no bachelor's degree (AA, AS or other)",4,"male",0,"$25,000 to $39,999",2,32500,"United States","desktop",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,50,"FSA","Farmed","stat appeal","no ident victim","donor",0,5,1,11,"Northeast",1,1,1,16,1.82202035958791
"19-09-10 7:18","19-09-10 7:20",100,166,TRUE,"19-09-10 7:20","Man",NA,31,"Ohio",1,"Associate degree","No","Caucasian/White",NA,"No pets in household",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Place of worship (church, synagogue, mosque, etc.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Went to the movies",NA,NA,"Read a book",NA,NA,NA,"Used a computer or a phone",NA,NA,"Jennifer has a favorite dress","25","0f19b38f","da5856c0",32,1987,"Completed associate degree only, no bachelor's degree (AA, AS or other)",4,"male",0,"Less than $9,999",0,5000,"United States","desktop",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,25,"FISA","Farmed","stat appeal","ident victim","donor",0,2,1,8,"Midwest",2,1,1,17,0.732271038750967
"19-09-10 7:19","19-09-10 7:21",100,139,TRUE,"19-09-10 7:21","Woman",NA,44,"Ohio",1,"Associate degree","No","Caucasian/White",NA,NA,NA,"Dog(s)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animal rescues, shelters, advocacy groups, or other animal charities (pets, wildlife, marine life, farm animals, etc.)",NA,NA,"Health charities","ChildrenŠ—Ès charities","Charities that support military troops and/or veterans",NA,NA,"Environmental or nature conservation charities (not specifically animal-related)",NA,NA,NA,"Arts or art-related charities or institutions, including museums and galleries",NA,"Election campaigns (federal, state or local)",NA,NA,"Went to the movies",NA,"Ate a pre-packaged frozen dinner","Read a book",NA,"Went to a sporting event",NA,"Used a computer or a phone",NA,NA,"Jennifer has a favorite dress","25","30783b4d","e72d0c10",44,1975,"Completed associate degree only, no bachelor's degree (AA, AS or other)",4,"female",1,"$60,000 to $84,999",4,72500,"United States","desktop",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,25,"CIA","Companion","no stat appeal","ident victim","donor",1,3,2,3,"Midwest",2,1,1,18,0.908023944277524
"19-09-10 7:18","19-09-10 7:22",100,209,TRUE,"19-09-10 7:22","Woman",NA,48,"Pennsylvania",3,"Less than high school graduate","No","Caucasian/White",NA,NA,"Cat(s)","Dog(s)",NA,NA,NA,NA,NA,NA,NA,NA,"I have not given money to any charitable cause in the past 12 months",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Went to the movies",NA,"Ate a pre-packaged frozen dinner",NA,NA,NA,NA,"Used a computer or a phone","Walked on a beach",NA,"Jennifer has a favorite dress","50","ee9316c5","73bba376",48,1971,"Completed only high school or the equivalent (for example: GED), no college",2,"female",1,"$60,000 to $84,999",4,72500,"United States","desktop",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,50,"CSA","Companion","stat appeal","no ident victim","donor",0,4,2,4,"Northeast",1,1,1,19,0.606217840340655
"19-09-10 7:43","19-09-10 7:45",100,122,TRUE,"19-09-10 7:45","Man",NA,58,"Oklahoma",2,"Bachelor's degree","No","Caucasian/White",NA,NA,"Cat(s)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ChildrenŠ—Ès charities",NA,NA,NA,NA,NA,NA,NA,"Arts or art-related charities or institutions, including museums and galleries",NA,"Election campaigns (federal, state or local)",NA,"Purchased a new television","Went to the movies",NA,NA,"Read a book",NA,NA,NA,"Used a computer or a phone",NA,NA,"Jennifer has a favorite dress","25","0687b34c","3206df38",58,1961,"Completed bachelor's degree (BA, AB, BS or other)",5,"male",0,"$25,000 to $39,999",2,32500,"United States","desktop",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,0,0,0,0,1,0,0,25,"FNTA","Farmed","no stat appeal","no ident victim","donor",0,5,1,11,"South",3,1,1,20,1.69545909876297
"19-09-10 8:02","19-09-10 8:04",100,121,TRUE,"19-09-10 8:04","Woman",NA,35,"Pennsylvania",5,"Associate degree","No","Caucasian/White",NA,"No pets in household",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I have not given money to any charitable cause in the past 12 months",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ate a pre-packaged frozen dinner","Read a book",NA,NA,NA,"Used a computer or a phone",NA,NA,"Jennifer has a favorite dress","0","872c13c5","4fe36363",34,1985,"Completed associate degree only, no bachelor's degree (AA, AS or other)",4,"female",1,"$85,000 to $114,999",5,1e+05,"United States","desktop",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,0,"CISA","Companion","stat appeal","ident victim","non-donor",0,3,2,3,"Northeast",1,1,1,21,0.38098608646316
"19-09-11 11:37","19-09-11 11:38",100,65,TRUE,"19-09-11 11:38","Man",NA,45,"Florida",3,"Some college, no degree","No","Caucasian/White",NA,NA,NA,"Dog(s)",NA,NA,NA,NA,NA,NA,NA,NA,"I have not given money to any charitable cause in the past 12 months",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Used a computer or a phone","Walked on a beach",NA,"Jennifer has a favorite dress","0","3c6309d6","fc69ad64",46,1973,"Completed bachelor's degree (BA, AB, BS or other)",5,"male",0,"$40,000 to $59,999",3,50000,"United States","desktop",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,0,"CIA","Companion","no stat appeal","ident victim","non-donor",0,4,1,10,"South",3,1,1,22,0.896773363789739
"19-09-11 11:37","19-09-11 11:38",100,70,TRUE,"19-09-11 11:38","Man",NA,44,"New Jersey",3,"Bachelor's degree","No","Caucasian/White",NA,"No pets in household",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I have not given money to any charitable cause in the past 12 months",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Purchased a new television","Went to the movies",NA,"Ate a pre-packaged frozen dinner","Read a book",NA,NA,NA,"Used a computer or a phone",NA,NA,"Jennifer has a favorite dress","0","ea5968f7","e59f8069",43,1976,"Completed bachelor's degree (BA, AB, BS or other)",5,"male",0,"$200,000 or more",8,225000,"United States","desktop",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,0,"FISA","Farmed","stat appeal","ident victim","non-donor",0,3,1,9,"Northeast",1,1,1,23,0.408305806676715
"19-09-11 11:37","19-09-11 11:39",100,75,TRUE,"19-09-11 11:39","Man",NA,37,"California",2,"High school graduate","No","Caucasian/White",NA,NA,NA,"Dog(s)",NA,NA,NA,NA,NA,NA,NA,NA,"I have not given money to any charitable cause in the past 12 months",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Purchased a new television","Went to the movies",NA,"Ate a pre-packaged frozen dinner","Read a book",NA,NA,NA,"Used a computer or a phone","Walked on a beach",NA,"Jennifer has a favorite dress","0","d6d896b5","86dbf963",36,1983,"Completed only high school or the equivalent (for example: GED), no college",2,"male",0,"$25,000 to $39,999",2,32500,"United States","desktop",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,0,"CISA","Companion","stat appeal","ident victim","non-donor",0,3,1,9,"West",4,1,1,24,0.510689332157964
"19-09-11 11:37","19-09-11 11:39",100,80,TRUE,"19-09-11 11:39","Woman",NA,38,"North Carolina",2,"Master's degree","No","Caucasian/White",NA,NA,"Cat(s)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"I have not given money to any charitable cause in the past 12 months",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Used a computer or a phone",NA,NA,"Jennifer has a favorite dress","0","e0de8cc4","ed794d86",38,1981,"Completed master's degree (MA, MS, MEng, MEd, MBA, or other)",6,"female",1,"$40,000 to $59,999",3,50000,"United States","desktop",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,0,0,0,0,1,0,0,0,"FNTA","Farmed","no stat appeal","no ident victim","non-donor",0,3,2,3,"South",3,1,1,25,0.391323290327072
"19-09-11 11:37","19-09-11 11:39",100,75,TRUE,"19-09-11 11:39","Man",NA,25,"Maryland",5,"Bachelor's degree","No","Caucasian/White",NA,"No pets in household",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I have not given money to any charitable cause in the past 12 months",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Used a computer or a phone",NA,NA,"Jennifer has a favorite dress","0","d964ed78","6d7849c0",25,1994,"Completed bachelor's degree (BA, AB, BS or other)",5,"male",0,"$200,000 or more",8,225000,"United States","desktop",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,0,"CSA","Companion","stat appeal","no ident victim","non-donor",0,2,1,8,"South",3,1,1,26,0.285902376069607
