StartDate,Progress,Duration (in seconds),ResponseId,consent,prolificid,stresstrue_1,simpletrue_1,crackstrue_1,needtrue_1,unpredictabletrue_1,worktrue_1,irrespontrue_1,valuetrue_1,povertytrue_1,cheattrue_1,togethertrue_1,wellbeingtrue_1,economytrue_1,crimetrue_1,benefittrue_1,fairtrue_1,ubinormal_1,ubipandemic_1,stressnormal_1,simplenormal_1,cracksnormal_1,neednormal_1,unpredictablenormal_1,worknormal_1,irresponnormal_1,valuenormal_1,povertynormal_1,cheatnormal_1,togethernormal_1,wellbeingnormal_1,economynormal_1,crimenormal_1,benefitnormal_1,fairnormal_1,strespandemic_1,simplepandemic_1,crackspandemic_1,needpandemic_1,unpredictpandemi_1,workpandemic_1,irresponpandemic_1,valuepandemic_1,povertypandemic_1,cheatpandemic_1,togetherpandemic_1,wellbeingpandemic_1,economypandemic_1,crimepandemic_1,benefitpandemic_1,fairpandemic_1,sec4a_1,sec4a_2,sec4b_1,sec4b_2,sec4b_3,age,gender,country,country_3_TEXT,benefits,ladder_1,ladder_2,ladder_3,ladder_4,ladder_5,ladder_6,ladder_7,ladder_8,ladder_9,ladder_10,poleconomic_1,polsocial_1,leftright_1,affected_1,PROLIFIC_PID
07/05/2020 10:33,100,758,R_2v2oZLaBChD9gJy,"I consent, begin the study",5eb1237c0abd5e1eac8c52e9,35,50,36,30,35,50,50,37,35,31,50,50,37,50,93,35,36,35,73,72,92,92,92,56,50,92,95,50,35,92,50,62,9,81,99,50,92,100,95,50,50,98,100,50,19,100,50,62,8,100,40,100,82,50,100,67,Female,UK,,No,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,82,62,91,82,5eb1237c0abd5e1eac8c52e9
07/05/2020 10:39,100,388,R_YPoswMT8rLlF4ad,"I consent, begin the study",5d526d7f94ef7e001a5c10a1,40,88,18,20,57,50,71,50,20,26,50,31,35,37,50,45,20,70,75,89,85,97,59,50,71,83,68,87,83,82,81,94,33,92,77,74,68,97,94,75,61,82,77,97,70,67,68,100,31,84,75,64,84,84,84,25,Female,UK,,No,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,10,70,50,67,5d526d7f94ef7e001a5c10a1
07/05/2020 10:38,100,508,R_2uTDScUMzXtWNJJ,"I consent, begin the study",5ea6b18a10445c027e3893f1,60,81,85,80,,20,20,60,75,60,,70,70,,100,60,80,80,90,80,75,70,70,25,60,75,60,70,,85,,,100,70,85,80,75,80,,15,25,70,75,70,,75,65,,100,,100,50,75,100,100,39,Female,UK,,Yes,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,70,30,,,5ea6b18a10445c027e3893f1
07/05/2020 10:41,100,374,R_2izwyUdpvidRgkN,"I consent, begin the study",5dd84664946f7c7ff4c68396,88,100,8,9,93,68,16,77,97,13,86,88,50,95,90,72,91,71,83,83,30,42,81,66,63,94,87,13,71,71,73,35,79,71,93,83,81,22,85,25,17,80,88,11,81,80,70,31,95,97,100,100,65,79,80,22,Female,UK,,No,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,42,87,14,0,5dd84664946f7c7ff4c68396
07/05/2020 10:41,100,358,R_2U5HMwfmendxt5S,"I consent, begin the study",5a96d61af6dfdd0001ea6c9c,35,25,8,14,81,93,83,61,80,28,68,58,24,81,73,45,0,18,28,79,39,89,71,8,68,13,68,79,32,38,84,71,34,61,54,73,63,74,64,23,78,22,66,65,44,34,74,85,34,41,26,81,86,91,85,21,Female,UK,,No,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,90,24,50,39,5a96d61af6dfdd0001ea6c9c
07/05/2020 10:42,100,302,R_3gMIO0VbZWCkQRU,"I consent, begin the study",5e0fe964e632e16f1e0d2674,35,91,27,27,65,43,25,21,54,90,23,75,71,38,82,31,38,36,67,63,62,65,60,68,61,61,61,29,29,38,57,35,75,53,87,45,66,62,68,57,33,67,66,33,68,77,36,65,77,50,87,89,82,86,81,21,Female,UK,,No,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,56,36,50,63,5e0fe964e632e16f1e0d2674
07/05/2020 10:34,100,810,R_1QLavhW86QGIBfb,"I consent, begin the study",5c053f1d44da8500016434d7,73,62,73,25,64,50,50,46,58,89,50,56,44,50,70,55,29,77,54,61,72,66,80,70,58,70,89,67,63,73,80,41,36,83,66,93,86,95,92,34,39,58,79,66,57,68,94,63,23,92,30,86,90,88,80,24,Female,UK,,No,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,67,56,33,32,5c053f1d44da8500016434d7
07/05/2020 10:40,100,517,R_3HvlyVm4xa9cI30,"I consent, begin the study",5c65f80affc8240001bf6b8a,52,84,59,19,82,73,77,65,4,25,18,47,32,27,62,32,74,28,70,32,62,75,56,39,62,51,84,61,46,78,71,65,64,45,67,73,53,44,67,38,55,47,70,43,49,74,36,58,71,47,62,75,76,66,77,21,Female,UK,,Yes,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,70,60,26,79,5c65f80affc8240001bf6b8a
07/05/2020 10:36,100,847,R_Wec17Klyq0Gai1r,"I consent, begin the study",5d4acbc3cfe6e90001ad87c9,60,75,60,30,55,55,50,65,40,70,70,60,50,40,60,45,55,50,50,85,70,90,70,40,30,50,95,35,40,30,20,50,10,70,30,75,80,70,90,30,30,40,90,30,20,40,20,40,30,80,60,70,60,60,65,31,Female,UK,,No,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,75,60,30,40,5d4acbc3cfe6e90001ad87c9
07/05/2020 10:39,100,702,R_1jqsp3dK5NCttGo,"I consent, begin the study",59cd141fd22797000119964d,30,80,0,0,71,100,72,51,20,38,0,0,0,29,,0,20,40,82,30,81,100,60,0,80,40,80,70,70,80,71,61,40,89,70,31,71,80,40,82,60,71,71,61,71,70,81,62,29,81,40,90,70,80,100,32,Female,UK,,No,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,61,70,,83,59cd141fd22797000119964d
07/05/2020 10:43,100,542,R_2f0A38bSTOeUGlr,"I consent, begin the study",5eb2b9490943fe03c5c5c8c0,51,61,30,31,20,32,30,18,10,69,40,31,54,30,92,40,30,91,83,76,100,100,82,29,90,95,100,93,78,96,82,80,63,99,100,100,100,100,86,92,97,94,100,70,100,100,100,82,39,100,54,51,94,86,97,18,Female,UK,,No,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,91,77,35,25,5eb2b9490943fe03c5c5c8c0
07/05/2020 10:46,100,372,R_2yqqbIOI13WxfOJ,"I consent, begin the study",5b9eae53373b640001d350b9,79,90,82,30,100,50,50,82,80,70,82,73,35,50,51,92,92,92,84,81,81,43,100,50,50,86,85,50,72,84,33,50,71,100,95,96,99,100,97,56,62,100,81,60,83,96,50,81,59,94,62,88,71,74,89,26,Female,UK,,No,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,50,60,,62,5b9eae53373b640001d350b9
07/05/2020 10:42,100,598,R_2rwlYdEnoAmhivh,"I consent, begin the study",5984e46fc0334000018fdbbb,55,81,61,37,55,50,50,60,40,80,55,65,60,50,80,45,51,70,80,65,90,80,70,35,28,83,90,70,60,83,70,80,45,70,84,75,91,66,78,29,32,83,82,67,64,75,67,70,55,69,40,66,75,76,77,47,Female,UK,,No,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,76,60,20,86,5984e46fc0334000018fdbbb
07/05/2020 10:29,100,1420,R_1GxKHoWP0TdGnL6,"I consent, begin the study",5eb306358bfc5a0d3a6eae4d,60,55,70,70,70,40,50,80,66,60,60,70,80,60,70,70,62,72,75,60,80,68,70,33,70,75,68,69,70,75,80,60,70,70,80,68,78,70,72,34,67,79,67,69,66,80,81,65,57,71,50,60,30,75,74,27,Female,UK,,No,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,80,72,20,65,5eb306358bfc5a0d3a6eae4d
07/05/2020 10:43,100,649,R_Tw1Hr5v0fVIBMqJ,"I consent, begin the study",5ea932781389ca000ce973d7,98,80,88,86,95,58,54,94,64,44,28,90,31,88,50,64,28,86,76,38,100,96,80,98,92,92,100,90,94,90,75,82,70,82,100,96,100,88,100,87,77,100,92,63,98,100,64,71,70,85,30,96,94,100,90,26,Female,UK,,No,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,80,90,10,84,5ea932781389ca000ce973d7
07/05/2020 10:47,100,412,R_1rMsJoYuaFbcNf0,"I consent, begin the study",56addda15ea7aa000bbdfbd1,100,100,100,38,100,0,50,100,100,100,100,100,100,100,100,100,100,100,100,50,71,26,61,0,0,100,100,38,100,100,0,0,0,68,100,100,100,100,100,0,0,100,100,100,100,100,0,0,0,100,25,10,100,100,74,41,Female,UK,,No,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,83,100,31,5,56addda15ea7aa000bbdfbd1
07/05/2020 10:49,100,376,R_3PBJzeirKex0UkL,"I consent, begin the study",5d2c81693dbc040001b57668,51,75,24,28,31,24,50,48,40,82,49,39,51,38,71,71,77,44,59,32,46,67,65,68,41,61,67,89,52,89,73,66,54,93,57,71,57,71,64,65,40,64,75,93,88,74,60,65,78,87,1,48,63,72,84,25,Female,UK,,No,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,70,100,27,78,5d2c81693dbc040001b57668
07/05/2020 10:48,100,429,R_viv2Rsx0dU0hhqF,"I consent, begin the study",5c43a4bf81cc58000186f408,57,88,81,0,80,72,83,67,67,93,82,64,50,50,4,76,77,70,63,58,91,50,68,81,25,50,90,87,75,72,68,71,44,83,87,91,74,75,90,37,21,50,65,61,57,59,78,50,56,97,13,67,64,58,79,42,Female,UK,,Yes,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,72,82,39,41,5c43a4bf81cc58000186f408
07/05/2020 10:47,100,503,R_erexuUNVAGHCxpv,"I consent, begin the study",5c509355b65d46000189ada6,25,78,8,8,50,73,82,20,8,10,65,21,28,50,7,11,17,31,84,90,85,90,82,80,84,82,90,82,47,81,73,82,84,89,96,95,95,96,84,87,92,85,96,88,84,88,85,82,92,84,49,67,79,86,92,42,Female,UK,,Yes,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,84,80,29,82,5c509355b65d46000189ada6
07/05/2020 10:52,100,218,R_2wKX5LAAMMvfX9p,"I consent, begin the study",5dd1173e19eecb1b17f7e2e0,52,48,47,51,51,51,51,53,49,50,65,49,48,47,45,50,50,50,58,51,49,71,59,54,47,54,43,59,45,53,65,53,40,58,61,43,56,76,58,42,48,60,43,50,54,39,36,42,31,58,58,47,83,64,58,23,Female,UK,,No,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,70,58,61,56,5dd1173e19eecb1b17f7e2e0
07/05/2020 10:52,100,230,R_1r0LUzEb4YHuPKI,"I consent, begin the study",5a85c98feea3d300016e6f2a,100,100,0,20,100,50,60,100,100,100,100,100,71,100,100,100,100,100,72,82,100,100,100,40,19,62,100,72,61,61,70,91,0,100,70,80,100,100,100,39,18,81,100,60,79,71,79,75,20,100,100,63,83,81,100,31,Female,UK,,No,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,89,100,30,29,5a85c98feea3d300016e6f2a
07/05/2020 10:49,100,472,R_BAsG5mtvFoe2ZEZ,"I consent, begin the study",5d41b7dccda26100172e9d83,38,100,82,19,20,81,93,73,19,21,39,21,38,18,50,21,19,22,29,97,81,20,28,88,38,81,26,83,43,25,33,24,50,22,35,82,79,34,35,87,27,32,33,86,66,30,37,36,50,34,83,63,83,79,95,42,Female,UK,,Yes,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,71,19,50,40,5d41b7dccda26100172e9d83
07/05/2020 10:48,100,517,R_Qd0ZEUKEkhYtFtf,"I consent, begin the study",571de7af13b1b70009be2f26,70,100,80,10,28,82,50,50,24,100,50,50,10,50,71,29,30,50,100,82,100,100,100,0,100,100,100,100,50,100,71,100,50,100,100,100,100,100,100,100,100,100,100,100,71,100,50,100,50,100,100,100,72,100,100,60,Female,UK,,No,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,50,50,50,30,571de7af13b1b70009be2f26
07/05/2020 10:46,100,649,R_25Mx3Sj2OJWnYUV,"I consent, begin the study",5c973d2811345e00171bafc0,91,50,75,71,83,36,68,61,72,50,75,81,88,65,58,65,64,73,79,70,88,63,76,42,63,63,93,64,65,79,23,55,55,97,88,90,75,75,90,36,50,74,82,63,83,86,20,38,55,80,70,55,73,59,67,19,Female,UK,,Yes,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,91,82,17,67,5c973d2811345e00171bafc0
07/05/2020 10:48,100,581,R_2fHZK1JLwa4rxxK,"I consent, begin the study",5a780c8ff1408d0001760084,73,91,92,24,83,71,50,50,61,85,82,92,50,41,85,50,92,92,76,85,100,92,84,50,50,93,100,50,73,74,81,72,50,81,92,100,96,97,100,51,50,88,100,50,93,90,100,50,50,91,73,86,92,99,98,46,Female,UK,,No,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,66,46,25,62,5a780c8ff1408d0001760084
07/05/2020 10:40,100,1048,R_1IsIonO9mRjoS9L,"I consent, begin the study",5ea164f576aac4000ad322bd,50,100,80,0,10,100,100,50,0,80,10,30,0,20,100,0,0,10,80,70,80,70,50,100,70,50,80,100,80,80,40,100,20,100,50,50,80,90,80,100,80,20,50,100,60,80,100,100,20,100,0,70,90,70,70,58,Female,UK,,No,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,15,60,90,70,5ea164f576aac4000ad322bd
07/05/2020 10:41,100,1015,R_2xxfiQZEgj1Pj24,"I consent, begin the study",5969ff43739fc30001e0af7e,90,40,40,70,80,20,70,70,80,10,60,70,90,60,70,40,20,30,80,100,100,100,70,30,70,100,100,100,60,90,90,80,50,90,80,70,40,40,80,30,80,80,100,100,70,80,70,40,20,80,5,80,100,100,80,53,Female,UK,,Yes,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,60,70,50,60,5969ff43739fc30001e0af7e
07/05/2020 10:51,100,435,R_Uu3Flo0YEZ7iWyd,"I consent, begin the study",5d931f41482aaf0016c5eed3,100,100,100,50,100,10,19,100,100,50,100,100,50,50,82,100,100,100,100,90,100,63,82,50,57,100,80,100,29,90,100,59,100,84,100,100,100,50,75,73,56,100,81,100,50,100,100,60,100,100,0,50,100,100,100,31,Female,UK,,No,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,50,0,60,100,5d931f41482aaf0016c5eed3
07/05/2020 10:51,100,448,R_3svUd3dK8HVYZfM,"I consent, begin the study",5e38664e7d262a07e787e66d,84,83,64,29,82,50,57,70,75,29,72,95,87,84,72,67,83,95,90,55,90,100,82,53,64,77,100,62,94,85,93,81,60,92,90,72,82,100,100,8,39,83,100,27,93,100,84,27,41,80,81,94,63,93,98,18,Female,UK,,No,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,93,84,18,27,5e38664e7d262a07e787e66d
07/05/2020 10:54,100,313,R_43dBCZmajAquCkh,"I consent, begin the study",5ab54f75fa3b4e000172c7a6,31,100,90,11,38,61,91,71,67,7,30,36,26,16,80,100,65,70,74,90,85,76,78,14,81,79,77,90,23,76,73,67,68,83,87,83,87,86,85,3,77,84,88,84,85,86,79,91,85,78,54,70,60,73,77,31,Male,UK,,Yes,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,67,79,68,66,5ab54f75fa3b4e000172c7a6
07/05/2020 10:51,100,481,R_3JITmkifT81GSHe,"I consent, begin the study",5c98db753df5fc0016e3baed,100,100,100,0,0,100,50,100,0,50,50,50,50,50,0,50,0,100,50,31,82,92,82,32,84,69,100,86,60,62,73,70,0,50,66,9,93,92,50,9,71,69,81,50,50,61,29,50,0,50,81,100,81,87,92,38,Female,UK,,Yes,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,50,29,50,82,5c98db753df5fc0016e3baed
07/05/2020 10:52,100,465,R_BVbV0uluxTtGxNL,"I consent, begin the study",542e816cfdf99b324f763432,50,100,66,0,83,83,65,50,2,100,30,8,50,23,100,15,13,67,67,56,92,100,56,14,90,100,91,37,83,85,94,53,5,100,95,38,100,92,82,78,36,96,99,59,89,94,100,70,1,89,38,77,66,79,96,54,Female,UK,,No,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,62,59,44,67,542e816cfdf99b324f763432
07/05/2020 10:50,100,564,R_2B5kTlYXuTLL1GB,"I consent, begin the study",5e84c4825c1f8408b18a9d95,76,80,79,20,76,69,70,84,22,71,65,54,40,49,68,47,53,79,63,63,83,66,79,66,77,90,71,82,71,71,62,75,63,76,92,55,94,81,100,76,83,57,100,84,100,100,84,88,81,67,26,76,72,72,89,28,Female,UK,,No,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,73,45,55,44,5e84c4825c1f8408b18a9d95
07/05/2020 10:55,100,302,R_3eq5nMWOMlHDqEu,"I consent, begin the study",57761fe4760c1f0001ca7bb8,92,100,92,19,100,76,100,100,91,100,43,100,100,91,100,19,19,100,100,81,100,100,92,21,62,93,100,100,87,100,100,87,33,100,100,61,100,100,100,100,71,100,100,100,100,100,100,100,61,100,82,92,95,92,100,40,Female,UK,,No,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,89,40,45,29,57761fe4760c1f0001ca7bb8
07/05/2020 10:54,100,371,R_1JFQkou0v9z6dEe,"I consent, begin the study",5994a22bbf8bcf0001ab6982,50,36,63,65,50,50,46,58,69,62,50,64,50,40,44,56,63,50,69,63,63,66,64,75,64,63,60,72,73,62,66,86,50,66,72,63,65,67,65,66,68,60,50,57,66,75,61,74,65,65,50,61,57,57,42,34,Female,UK,,Yes,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,62,60,61,60,5994a22bbf8bcf0001ab6982
07/05/2020 10:54,100,353,R_2ON3aibQAng7l3o,"I consent, begin the study",5a2717738766a400019008f6,50,52,50,50,44,77,50,48,45,41,29,42,43,35,50,37,39,54,49,61,87,92,59,48,50,55,70,87,57,58,81,60,50,81,52,60,79,82,62,96,54,61,67,97,60,64,71,57,50,96,20,53,46,58,58,37,Female,UK,,No,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,43,43,72,52,5a2717738766a400019008f6
07/05/2020 10:47,100,847,R_1g62flilo4xssGg,"I consent, begin the study",5e8591ec7022a0180c2021a7,62,58,68,68,21,30,74,58,40,83,38,56,61,69,33,67,60,73,75,85,86,83,71,53,66,65,68,63,69,71,62,53,35,57,72,45,71,79,86,35,64,72,78,77,67,84,62,45,46,62,60,38,61,63,63,28,Female,UK,,Yes,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,76,72,47,62,5e8591ec7022a0180c2021a7
07/05/2020 10:55,100,363,R_2xS0rQEIkPigQV6,"I consent, begin the study",5dc1e991e4f0ff154a273843,81,76,81,19,82,75,24,74,29,78,83,73,21,52,51,20,25,76,88,76,84,91,74,83,85,88,97,83,87,96,100,79,78,90,87,89,82,86,85,76,81,76,83,88,83,80,81,87,81,81,31,71,83,83,100,26,Female,UK,,No,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,30,39,53,100,5dc1e991e4f0ff154a273843
07/05/2020 10:52,100,543,R_z0WXBAnhUQxunJf,"I consent, begin the study",5a1c48f37ecfc50001be26d6,100,99,100,36,100,52,73,100,100,100,99,100,53,79,55,99,100,100,94,88,100,100,78,61,69,81,71,80,91,81,49,100,56,100,98,99,99,100,96,71,64,100,100,43,100,100,38,100,49,100,3,100,76,87,100,31,Female,UK,,Yes,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,78,43,76,64,5a1c48f37ecfc50001be26d6
07/05/2020 10:41,100,1218,R_1ml3YpepldwMro0,"I consent, begin the study",5c052d23f018070001f47e05,100,100,100,100,100,50,55,100,100,100,93,90,75,50,80,100,100,100,100,100,100,100,100,50,81,100,100,100,100,100,100,90,100,100,100,100,100,100,100,50,82,100,100,92,100,100,94,92,100,100,84,88,100,88,89,53,Female,UK,,Yes,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,100,61,22,88,5c052d23f018070001f47e05
07/05/2020 10:56,100,337,R_2s1Mc4vIbfjGiyk,"I consent, begin the study",5761b6711dbca00007c14935,100,100,74,0,37,0,31,100,100,100,100,50,50,63,100,50,57,61,82,71,93,83,81,5,50,70,82,100,82,81,80,83,82,50,100,100,100,100,100,100,50,81,100,100,84,100,100,91,90,100,50,100,100,100,100,38,Female,UK,,No,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,29,30,43,71,5761b6711dbca00007c14935
07/05/2020 10:46,100,952,R_1EiWpqFmeAytVWU,"I consent, begin the study",5da7b481d120450011806b37,70,100,100,25,100,100,50,100,100,100,100,70,100,71,100,100,70,100,100,100,100,50,100,50,50,100,100,100,100,100,100,75,50,100,100,100,100,100,100,100,50,100,100,100,100,100,100,100,50,100,0,77,100,100,100,26,Female,UK,,No,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,80,82,8,30,5da7b481d120450011806b37
07/05/2020 10:57,100,305,R_DTusyBLCc87B9x7,"I consent, begin the study",5ea1ce235451670b8c161030,13,100,19,0,24,21,77,100,83,100,79,99,15,35,100,100,100,84,70,80,75,79,74,33,74,80,78,100,39,71,76,80,37,100,71,83,66,64,84,31,99,72,77,87,24,62,72,73,25,100,0,100,72,73,100,31,Female,UK,,No,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,71,30,44,74,5ea1ce235451670b8c161030
07/05/2020 10:50,100,760,R_3ijNkrm0cVgKEkl,"I consent, begin the study",5e297896b3318912387710a2,59,91,92,56,92,52,55,90,80,92,68,82,54,56,80,63,38,75,86,84,86,83,80,53,67,70,98,80,84,88,59,82,87,100,83,54,80,89,79,64,65,90,98,61,93,94,69,72,88,87,75,85,39,84,91,41,Female,UK,,No,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,84,58,18,47,5e297896b3318912387710a2
