Duration (in seconds),RecordedDate,ResponseId,LocationLatitude,LocationLongitude,consent,prolificid,ubinormal_1,ubipandem_1,shirking_1,shirking_2,shirking_3,unfairrich_1,unfairrich_2,unfairrich_3,unfairdesert_1,unfairdesert_2,unfairdesert_3,irrespnsibility_1,irrespnsibility_2,irrespnsibility_3,value_1,value_2,value_3,efficiency_1,efficiency_2,efficiency_3,expense_1,expense_2,expense_3,stress_1,stress_2,stress_3,cheat_1,cheat_2,cheat_3,personalshirking_1,personaldesert_1,personalirrespon_1,personalvalue_1,personalstress_1,sec4_1,sec4_2,sec4_3,age,gender,country,country_3_TEXT,ladder_1,ladder_2,ladder_3,ladder_4,ladder_5,ladder_6,ladder_7,ladder_8,ladder_9,ladder_10,leftright_1,affected_1
353,07/04/2020 09:28,R_2SqaZzRMQojwT1T,52.22419739,0.131500244,"I consent, begin the study",599777e80ed7ae0001991a91,66,71,41,65,50,42,68,42,57,61,27,33,57,33,82,70,88,82,75,86,59,71,38,90,86,95,60,74,54,13,40,0,90,85,78,85,85,55,Male,UK,,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,45,85
366,07/04/2020 09:28,R_3KCThQql4sxWN8q,51.24369812,-2.274597168,"I consent, begin the study",5d658f283741ea0018c71680,40,70,60,70,60,40,40,60,60,60,40,60,30,60,50,40,60,50,30,70,60,30,70,70,50,60,60,60,50,20,70,0,50,30,70,70,70,27,Female,UK,,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,30,70
228,07/04/2020 09:32,R_1mnma1jMPbRHKZn,51.44529724,-0.32850647,"I consent, begin the study",5d77f13e14f5780017dcde85,60,70,42,42,35,25,22,24,30,29,15,30,29,5,70,68,76,81,68,87,60,59,49,83,70,86,65,65,65,19,17,20,68,62,66,40,52,63,Male,UK,,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,36,65
195,07/04/2020 09:32,R_7WDE7Uti2zLFGVP,53.32409668,-1.912902832,"I consent, begin the study",53889f8dfdf99b75158fddf4,61,87,35,54,23,61,58,42,44,59,30,45,61,46,81,55,75,71,59,91,56,65,38,81,75,94,55,61,40,0,45,0,71,65,71,84,61,24,Female,UK,,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,15,60
311,07/04/2020 09:33,R_2wvRxoTpKuomnvE,52.43910217,-1.50390625,"I consent, begin the study",5d525ffeb94ec60018dfae67,55,78,50,50,40,50,50,30,50,50,30,80,80,60,75,75,75,80,80,80,60,60,60,80,60,80,70,70,70,20,50,30,50,60,70,65,70,36,Male,UK,,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,40,30
139,07/04/2020 09:34,R_1gbfTSy5YOPeWZK,53.76060486,-0.373397827,"I consent, begin the study",5c65f714e0d351000141cd7b,23,32,99,86,73,86,88,70,96,99,97,97,99,100,72,71,38,46,76,67,78,38,22,85,93,100,93,87,66,80,15,4,31,21,77,93,25,25,Female,UK,,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,92,11
660,07/04/2020 09:35,R_1LoQ5kIbcAOaMUE,51.51429749,-0.048202515,"I consent, begin the study",5e832b4bb83c63042d58fe6e,100,100,0,0,0,0,0,0,0,100,100,40,40,40,100,100,100,100,100,100,100,100,0,51,51,51,51,51,51,0,0,0,0,76,26,0,0,46,Male,UK,,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,40,85
410,07/04/2020 09:35,R_3ELsn1I6JqPWvmw,51.49639893,-0.122406006,"I consent, begin the study",5e87b99e6d7650433cd70f1b,60,100,82,100,100,100,100,100,100,100,100,100,100,100,0,100,100,71,100,81,100,51,100,30,100,100,70,100,100,80,10,0,0,0,10,0,10,18,Male,UK,,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,50,20
335,07/04/2020 09:36,R_28ZLqBMushGIJNX,51.49639893,-0.122406006,"I consent, begin the study",5c33312ffd5bd20001298507,70,70,30,50,50,100,100,100,20,70,70,50,50,50,80,80,90,100,70,100,100,100,100,100,90,100,80,80,80,0,0,0,50,0,30,100,100,37,Female,UK,,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,50,30
179,07/04/2020 09:36,R_27TdHzR0f33Fkoh,50.83450317,-0.186004639,"I consent, begin the study",5d6a20c5ec7c560019f9101a,31,28,68,64,63,30,28,27,66,74,81,70,71,60,65,69,77,33,32,36,70,79,95,70,69,76,71,71,67,61,61,64,62,63,32,30,50,30,Male,UK,,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,37,77
282,07/04/2020 09:36,R_2WJxLErSsf3cF1Y,56.42100525,-3.476593018,"I consent, begin the study",5d221ed18679820001f33859,60,90,29,27,5,91,77,90,17,30,21,85,64,7,90,89,96,99,100,100,34,21,4,100,100,100,61,75,95,10,25,0,90,90,100,0,35,20,Male,UK,,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,40,81
247,07/04/2020 09:37,R_vPN4T6R9acpmd7H,53.57739258,-0.74079895,"I consent, begin the study",59d4ddbd078dbe0001951264,92,39,100,100,88,75,100,100,40,69,88,100,100,100,60,60,85,88,91,100,65,60,64,61,76,87,42,100,100,95,82,88,97,62,20,100,100,33,Female,UK,,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,50,29
263,07/04/2020 09:37,R_D6MnSDEd0GbTXCp,50.78869629,-1.147506714,"I consent, begin the study",5a1afc45a383a100011b6237,80,92,28,52,4,70,80,50,0,0,0,33,33,7,90,90,98,62,59,89,72,90,37,88,84,96,53,66,33,4,3,3,91,95,90,75,89,31,Male,UK,,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,14,60
563,07/04/2020 09:38,R_OD5qEqQztQSgJLX,53.07980347,-1.249206543,"I consent, begin the study",5e3b3a62fbce8a34c4252342,80,70,25,25,25,20,25,25,25,25,25,50,75,40,75,75,75,60,60,60,50,100,80,75,75,85,30,80,80,0,0,0,75,75,0,25,70,38,Male,UK,,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,60,75
347,07/04/2020 09:38,R_cBF3myyLwuAQxax,51.49639893,-0.122406006,"I consent, begin the study",59a938cf1b7a550001d6382e,36,80,69,29,77,75,78,12,50,45,50,50,14,20,76,22,81,71,22,76,18,17,60,100,29,90,83,60,81,50,21,0,50,78,27,100,77,35,Male,UK,,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,50,37
460,07/04/2020 09:39,R_2EgIBSAriJphZeJ,52.0625,-0.816604614,"I consent, begin the study",59f9b68d7086f800019418dd,80,90,40,37,25,30,80,90,61,62,48,59,59,44,65,40,30,80,81,84,55,55,61,75,65,100,50,50,50,13,18,0,86,90,0,89,88,45,Male,UK,,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,60,70
241,07/04/2020 09:39,R_3m7PcEWATYV3Xo5,51.46229553,-2.550201416,"I consent, begin the study",5dc870b7fbf4745dfcfb493e,80,92,58,66,82,81,76,55,40,57,16,84,81,56,77,76,76,74,78,75,82,77,17,89,79,96,76,70,37,25,56,7,69,65,24,8,14,45,Male,UK,,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,31,58
271,07/04/2020 09:40,R_DGon7RqIvsH0THX,51.50639343,-0.020004272,"I consent, begin the study",5e17437b7e1827040dbc1dc5,29,60,93,94,67,80,83,93,61,77,55,63,31,67,91,95,90,71,56,75,86,96,79,89,72,99,65,62,74,17,71,16,73,67,16,61,67,20,Male,UK,,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,31,19
219,07/04/2020 09:41,R_23VjI8QxRhRpcJ1,54.96839905,-1.40020752,"I consent, begin the study",5c003714cb313a0001cd5b72,25,42,41,38,38,88,89,90,87,84,90,27,26,31,19,14,13,73,56,75,91,85,88,62,63,74,78,79,79,24,82,8,75,81,93,33,82,46,Male,UK,,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,27,85
877,07/04/2020 09:41,R_8eKZpBJzLSkiQed,53.55200195,-1.487197876,"I consent, begin the study",5e7e118c18ff3204b576b323,61,62,71,100,81,100,82,100,40,100,100,100,100,100,84,61,22,38,46,100,80,100,91,50,21,100,50,100,100,0,100,0,51,0,82,60,100,29,Female,UK,,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,45,66
288,07/04/2020 09:41,R_1LSekJWQrcM1oay,54.04789734,-2.797698975,"I consent, begin the study",5c845031d6a29e00162edf7d,71,80,66,76,78,41,72,74,69,67,56,85,80,79,80,56,57,82,78,86,93,80,68,73,74,83,91,83,89,10,9,0,40,50,60,100,91,40,Male,UK,,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,50,60
493,07/04/2020 09:41,R_AopwNS30qKmvRip,51.53199768,0.088394165,"I consent, begin the study",5616b4825c62cf0005822d40,100,100,67,78,55,45,38,48,57,53,33,45,47,49,80,83,100,86,85,100,70,72,88,100,100,100,86,79,72,0,0,0,80,100,0,100,88,35,Female,UK,,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,50,29
425,07/04/2020 09:44,R_2wGFAwHC6Dzhn6M,51.76550293,-0.448196411,"I consent, begin the study",5c8fffda2d8c5900142f97ae,48,74,62,66,55,46,43,54,67,80,38,33,33,54,60,60,77,45,53,76,73,77,61,65,56,79,39,44,43,37,46,27,70,73,65,62,66,55,Male,UK,,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,79,72
369,07/04/2020 09:45,R_11Z0s9vZMg7cjxY,56.29159546,-3.234298706,"I consent, begin the study",5dd691b9a6438062221f7ecf,74,85,30,38,24,37,32,20,31,33,21,36,40,25,85,84,86,80,79,85,70,56,26,91,85,91,73,53,20,19,30,0,87,80,87,37,80,27,Male,UK,,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,37,5
348,07/04/2020 09:45,R_1NkcB0SUNK9znJm,50.917099,-0.264602661,"I consent, begin the study",5c87e674c558df0014565c72,80,95,13,67,54,21,54,37,24,61,43,44,57,44,82,79,91,95,84,96,42,60,66,96,88,97,89,89,79,20,20,0,81,56,25,79,79,43,Male,UK,,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,32,60
346,07/04/2020 09:46,R_RtburOnd3XpZirn,52.98750305,-2.180297852,"I consent, begin the study",5e6eb9f1afacdf479101607e,60,96,80,93,100,8,40,95,65,40,85,70,70,100,56,61,72,100,76,100,72,19,93,77,71,100,21,35,42,6,35,0,20,82,30,46,90,20,Female,UK,,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,70,80
477,07/04/2020 09:46,R_2S39zEi4cRoj4Qd,52.61869812,-1.37890625,"I consent, begin the study",59e7362fe75b450001a69349,40,60,80,70,60,70,70,60,80,80,80,60,60,70,80,80,80,70,70,70,90,70,80,50,40,60,50,50,50,20,50,0,70,50,80,10,30,82,Male,UK,,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,40,70
598,07/04/2020 09:47,R_1dgnxonrGOZvxvK,51.49639893,-0.122406006,"I consent, begin the study",5dcd6c123b0d9a03a746e407,29,78,81,80,11,100,67,100,90,91,22,93,73,100,0,0,0,31,31,77,100,100,100,77,76,100,36,70,89,40,81,20,10,81,71,20,21,28,Male,UK,,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,81,73
513,07/04/2020 09:47,R_72nxv4SPJCLzsd3,51.53529358,-0.665802002,"I consent, begin the study",5cc2ef1f8402ff0017e8863b,38,75,75,17,71,81,78,79,67,69,10,62,76,35,26,23,70,71,53,83,71,72,73,66,24,82,70,73,55,13,74,0,18,36,75,19,52,34,Female,UK,,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,50,61
464,07/04/2020 09:47,R_3mfbB12oZNQQryy,55.90440369,-3.200302124,"I consent, begin the study",5e3323509d32342ed12e904c,75,100,20,20,0,55,70,25,10,10,0,35,25,0,80,80,100,75,80,100,65,70,25,85,85,100,45,40,20,0,20,5,65,65,35,80,40,28,Male,UK,,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,15,85
431,07/04/2020 09:48,R_1IoONuEvH3ah4Gk,55.9335022,-3.253997803,"I consent, begin the study",5be1731ca706240001b09380,40,55,75,65,72,45,45,65,50,60,60,80,72,100,70,80,80,71,63,63,100,97,100,70,75,85,55,90,100,19,50,7,60,97,20,30,50,27,Female,UK,,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,30,85
445,07/04/2020 09:48,R_4TrZW27Dpu8iRnr,51.49639893,-0.122406006,"I consent, begin the study",5cbeae22d0ba09000193fc73,30,60,87,86,100,100,100,100,61,85,50,59,76,41,36,34,55,80,20,60,100,100,100,62,63,82,24,23,5,0,80,0,18,97,60,30,60,28,Male,UK,,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,70,71
417,07/04/2020 09:48,R_w1qlFiKPlChrwbf,51.50540161,-3.579406738,"I consent, begin the study",564a08bc6902220012c4b1a1,20,30,90,90,70,100,100,100,70,80,65,75,70,70,40,70,70,70,20,30,90,90,60,80,60,75,70,80,60,25,60,0,25,70,60,90,85,48,Male,UK,,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,20,70
349,07/04/2020 09:48,R_BEaKKl0VBuS86SB,57.16259766,-2.151794434,"I consent, begin the study",57a43a9a07724c000114f42b,28,86,68,85,14,98,97,96,96,94,7,43,96,88,88,60,94,90,61,94,89,87,4,85,29,93,61,91,98,2,88,0,25,18,81,98,78,60,Female,UK,,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,16,41
972,07/04/2020 09:49,R_2Vmb4Ikril4SHJN,51.56669617,-1.198501587,"I consent, begin the study",5cb1e2beb25d4a00167cf31d,100,100,30,50,60,50,50,75,30,50,30,40,40,30,50,50,90,100,80,100,70,50,20,90,75,100,100,100,100,0,0,0,80,100,50,75,70,45,Male,UK,,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,75,100
429,07/04/2020 09:49,R_2zI6m1WtbE0oERM,53.83299255,-1.129592896,"I consent, begin the study",5db04b5641fbb6001560d2b7,88,11,29,61,32,0,16,59,93,4,37,63,67,75,69,100,100,50,94,100,40,76,87,85,96,79,26,90,80,10,0,0,90,100,10,100,81,22,Female,UK,,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,100,100
201,07/04/2020 09:49,R_2THu0B03SoTUJTu,51.65240479,-0.27520752,"I consent, begin the study",5acf7306fb109b0001a30769,66,71,50,39,11,15,14,12,5,27,5,54,26,55,63,68,100,50,62,74,50,50,19,65,64,96,14,15,0,29,38,19,50,69,63,63,62,31,Male,UK,,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,30,0
676,07/04/2020 09:50,R_b8dWBhOpk7cfuFz,53.38310242,-1.460098267,"I consent, begin the study",5c4f92bbcc71f400012598fe,20,70,90,90,50,50,80,10,71,60,10,60,60,10,80,70,90,90,70,100,90,90,20,100,70,90,90,90,50,30,50,0,50,60,70,70,70,50,Female,UK,,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,50,40
529,07/04/2020 09:51,R_BWAIGXW4eaYxSQ9,51.49639893,-0.122406006,"I consent, begin the study",5c5aac7092783400014b24ca,50,61,80,30,65,73,15,60,64,67,67,36,50,67,50,39,77,50,21,64,89,28,68,78,63,84,50,36,69,76,11,0,51,10,6,46,41,28,Male,UK,,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,50,40
480,07/04/2020 09:52,R_1oqkfb3AFFkcR20,52.43280029,-2.031692505,"I consent, begin the study",5c7f82ccd1c9ab0001c548f8,75,80,70,51,51,60,51,70,51,51,51,51,51,51,51,51,51,51,51,70,100,51,51,51,51,51,51,51,51,65,49,49,51,75,85,5,20,49,Female,UK,,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,51,60
754,07/04/2020 09:52,R_2QWNm22hlceuDKl,55.8802948,-4.305496216,"I consent, begin the study",5e19d4ba5b1c59243b450991,60,100,50,0,100,100,0,100,9,100,100,100,100,100,100,100,100,100,100,100,50,100,0,100,100,100,70,100,100,0,0,0,100,80,100,80,80,59,Male,UK,,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,20,85
506,07/04/2020 09:52,R_2QPTv15mtgUtA6O,50.40550232,-3.698196411,"I consent, begin the study",5cbd8766baf9520016241f95,100,100,70,100,100,100,100,100,20,100,100,40,40,20,100,100,100,65,100,100,100,100,100,90,100,100,20,100,100,0,2,0,50,85,100,100,95,50,Female,UK,,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,25,90
283,07/04/2020 09:52,R_1mgfVv4TBNVdDAY,55.84829712,-4.348098755,"I consent, begin the study",5bcd8572899e5f0001fa2db7,71,94,31,35,20,63,65,37,38,24,15,65,45,18,86,96,76,81,71,92,65,65,54,93,77,95,36,25,13,4,33,3,90,80,80,68,70,27,Female,UK,,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,15,65
279,07/04/2020 09:53,R_W8qchG1dwetrHBn,51.5131073,-3.158798218,"I consent, begin the study",5df15ea015ef4007148e0c99,85,100,85,96,0,98,96,6,50,64,0,88,86,88,100,100,100,90,90,100,100,89,1,94,77,100,97,98,2,20,50,0,90,70,60,100,91,35,Female,UK,,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,50,70
286,07/04/2020 09:53,R_2wREdUeGSyyOtbM,53.17210388,-3.163101196,"I consent, begin the study",5742796174fb00070a3309,72,73,19,93,88,100,100,100,1,73,81,15,89,87,85,84,85,99,97,98,100,94,95,100,100,100,94,97,99,10,9,40,100,98,15,100,49,36,Male,UK,,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,0,65
390,07/04/2020 09:53,R_2YGmDV5grslWkRE,53.47340393,-2.314193726,"I consent, begin the study",5c3c8f013b5ac50001355ed5,71,95,50,39,26,83,74,98,38,65,82,50,80,38,16,39,14,90,70,100,88,42,62,94,75,98,50,67,49,19,75,0,39,60,50,91,95,39,Female,UK,,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,50,40
232,07/04/2020 09:54,R_2xPhVjlIWlK1kXv,51.50259399,-0.065994263,"I consent, begin the study",5976a970c7854f00017bffbd,19,75,90,62,24,20,77,84,80,86,22,86,87,86,11,25,18,71,19,88,90,87,22,25,20,88,77,24,77,14,79,0,78,15,76,100,100,24,Female,UK,,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,34,16
279,07/04/2020 09:54,R_2BsP0XmGx43Q1is,52.80580139,-0.163604736,"I consent, begin the study",59a297ca5b314a0001f8abc,50,71,11,50,63,91,13,50,65,51,55,72,72,71,75,50,54,50,50,56,82,68,77,65,69,71,50,50,50,0,27,0,75,84,82,85,81,44,Female,UK,,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,50,60
700,07/04/2020 09:54,R_vVnE8CgpMWzriiR,53.83279419,-1.725494385,"I consent, begin the study",5dee8dc525332652f941f79b,60,75,75,75,95,40,10,80,65,20,70,90,90,90,90,90,90,50,50,80,70,40,80,30,60,80,100,100,100,80,100,5,50,14,60,20,20,23,Male,UK,,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,20,0
335,07/04/2020 09:55,R_1ieaMAXVreTyvd8,51.48970032,-0.106506348,"I consent, begin the study",5e7a2610eb9f3306b23d8d17,74,100,90,7,89,88,100,4,33,88,11,94,95,4,91,89,14,94,12,83,84,11,90,98,17,94,83,34,71,91,1,0,8,9,0,100,97,43,Male,UK,,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,56,61
294,07/04/2020 09:55,R_3kzIosAQWl9DEyH,51.52409363,-2.566101074,"I consent, begin the study",5c48568e8bb610000160d20d,72,76,28,29,50,50,72,85,29,29,24,50,50,48,82,83,83,70,69,84,50,50,50,82,80,91,80,80,89,29,18,0,61,60,30,82,75,48,Male,UK,,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,25,25
252,07/04/2020 09:56,R_2VjYTro0Or8RSqY,50.99729919,-0.105300903,"I consent, begin the study",5b25740da7cee100011d884b,80,100,100,60,81,25,27,15,80,64,85,100,30,75,65,56,69,100,70,100,100,70,88,100,70,95,80,65,95,20,74,0,70,80,77,40,60,27,Male,UK,,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,50,40
386,07/04/2020 09:56,R_09tkwQMdzLh7d05,56.55000305,-3.199996948,"I consent, begin the study",5bfb295e975ee0000169a15d,30,60,91,88,34,37,75,33,70,66,58,72,33,41,91,70,62,82,73,40,96,84,28,64,72,84,71,77,34,19,30,32,24,18,70,77,66,27,Male,UK,,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,49,36
401,07/04/2020 09:57,R_efIY88D3SDQlr1f,51.28439331,-2.490600586,"I consent, begin the study",5d66f087b664860018f4d505,9,40,79,19,50,67,68,87,83,76,92,75,73,85,72,50,64,87,23,81,93,50,79,82,23,93,79,84,100,41,50,0,50,68,11,73,50,31,Female,UK,,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,50,60
402,07/04/2020 09:57,R_1mt4ngY3DLscvvL,54.8789978,-1.419006348,"I consent, begin the study",5c41bfebf7c8890001d0947b,28,25,100,0,63,0,0,0,100,11,60,100,0,17,100,13,63,100,14,62,100,21,59,100,13,78,100,14,15,0,100,0,25,19,25,100,30,33,Female,UK,,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,70,50
236,07/04/2020 09:57,R_6zYFvJXRhjH9v8Z,55.90440369,-3.200302124,"I consent, begin the study",5c891db91dcc91000191d4ab,80,91,35,53,59,71,63,63,61,70,83,81,64,69,81,76,90,90,81,92,82,77,99,90,83,94,94,87,94,11,12,0,81,88,85,100,84,48,Male,UK,,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,86,80
257,07/04/2020 09:57,R_3FJ1AwyTasEKWHQ,51.52099609,-3.203704834,"I consent, begin the study",5dcedb9d9dac7c02f8f0c1e1,93,100,31,53,42,20,80,97,26,84,99,29,57,45,77,90,95,94,91,100,60,67,68,91,96,100,64,100,86,6,16,13,60,80,71,18,18,28,Female,UK,,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,17,14
235,07/04/2020 09:58,R_3sbMLIa0NY3MAKI,51.64849854,-0.780105591,"I consent, begin the study",5937f08b534305000164360c,69,71,71,71,71,70,72,73,70,72,72,72,72,73,71,72,72,71,71,71,72,72,72,70,70,71,71,71,71,71,71,72,71,71,71,70,70,46,Female,UK,,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,72,71
359,07/04/2020 09:58,R_1FJNpv6gpkyRGGY,52.76809692,-1.202606201,"I consent, begin the study",5cf67b231a364e00170a8ca4,100,50,0,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,3,100,100,0,100,100,36,Female,UK,,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,50,100
247,07/04/2020 09:58,R_2xYw48FrOnt9Bhn,51.39259338,1.404602051,"I consent, begin the study",5c05627da4c664000188fd41,82,100,50,60,20,78,84,86,0,10,0,74,26,10,100,100,100,100,92,100,84,85,100,94,100,100,50,50,50,16,0,76,81,84,83,84,40,27,Male,UK,,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,40,60
312,07/04/2020 09:59,R_qIrwclZiSNkrgGZ,51.57470703,-1.782302856,"I consent, begin the study",5dd2e804848b0f2fe878c6e1,80,100,30,80,80,60,60,60,30,60,70,55,40,80,70,80,80,100,100,100,40,60,70,90,90,100,90,100,100,0,0,0,100,60,100,100,100,45,Female,UK,,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,40,60
