Q62,immigration_a,immigration_b,abortion_a,abortion_b,vote_a,vote_b,tax_a,tax_b,torture_a,torture_b,affirmaction_a,affirmaction_b,military_a,military_b,covidgov_a,covidgov_b,AC_a,AC_b,Q37_1,Q37_2,Q37_3,Q37_4,Q37_5,Q37_6,Q37_7,Q37_8,Q37_9,Q37_10,Q37_11,Q37_12,Q37_13,Q37_14,Q37_15,Q37_16,Q37_17,Q37_18,Q37_19,Q37_20,Q8,Q10,Q12,Q39,Q40,Q14,Q16,Q18,Q20,Q62,Q44_1,Q44_2,Q44_3,Q44_4,Q44_5,Q58,rid,age,gender,hhi,ethnicity,hispanic,education,political_party,region,zip
1,2,3,3,3,3,1,2,1,3,3,4,3,3,2,3,3,3,5,5,5,5,5,5,1,5,5,5,5,5,5,5,3,5,5,5,4,5,1,4,1,2,2,2,5,3,2,53,4,4,6,7,7,1,,5eb35882-23cc-a949-7767-a0fa34361b38,53,2,12,1,1,4,3,1,11727
1,1,2,2,3,2,2,3,5,3,1,2,2,2,3,3,4,3,5,2,2,4,4,8,9,1,8,4,9,4,9,2,9,6,4,3,1,3,4,2,5,2,1,1,6,1,2,32,3,3,7,2,5,5,This survey was great ,5eb358c8-ce11-d138-e720-965b07b3ebfc,33,2,6,2,1,6,1,3,27909
1,1,3,1,2,2,5,3,3,4,1,2,2,2,4,5,3,2,4,4,7,7,3,6,5,3,2,6,3,2,6,5,6,4,3,5,5,7,8,4,5,5,4,3,4,1,2,49,3,2,5,7,3,1,no,5eb35854-848e-4e2e-b5b1-20af6664d42e,49,2,3,2,1,2,2,3,39366
1,2,2,4,3,3,3,2,3,3,2,2,1,3,3,4,3,3,5,6,5,8,5,6,5,2,7,5,5,5,6,5,5,6,4,5,5,7,5,1,4,4,4,4,6,2,2,25,2,4,4,4,4,4,No,5eb35977-2e7b-80a3-1117-29bde4287ea8,25,2,19,4,1,6,9,4,94551
1,3,1,5,1,2,1,1,2,3,3,4,3,5,4,3,2,3,5,1,9,5,8,9,5,7,6,7,7,9,6,5,5,3,7,2,7,5,1,1,4,4,4,5,5,1,2,47,5,4,7,7,4,4,Good survey ,5eb35852-3d77-05fa-fa82-fadc748d1459,47,2,12,1,1,4,2,1,10021
1,1,3,3,3,2,3,1,3,3,3,3,3,2,3,4,3,3,5,7,8,7,7,7,7,7,7,7,7,7,7,7,7,8,7,7,8,8,7,4,6,6,6,6,6,3,2,28,2,6,6,6,7,3,no,5eb35863-9ae7-5bb6-7e83-af0ed116411a,28,2,17,4,1,6,5,4,91377
1,4,1,2,5,2,5,3,1,2,4,2,1,3,1,2,1,2,5,2,4,6,8,6,5,6,3,8,5,4,6,7,6,5,3,6,5,5,2,2,4,3,3,3,5,3,2,41,5,4,6,6,6,4,"No, thank you",5eb35850-28be-cc70-1a3b-7247ba44de4b,41,2,18,1,1,6,4,1,1835
1,3,2,5,5,2,3,1,5,5,4,2,2,3,5,2,4,2,1,2,6,4,4,7,7,2,3,5,5,2,9,7,2,3,3,1,7,1,2,4,1,4,4,4,4,3,1,20,5,1,2,3,4,5,no,5eb3579f-8032-5aa8-41ce-385fcb4b96e3,20,1,1,1,1,2,7,1,12203
1,1,3,4,3,2,3,1,1,2,3,2,3,3,3,5,3,3,5,3,5,5,1,6,6,9,6,4,9,7,4,9,6,5,9,4,7,7,5,1,6,4,4,4,5,1,2,54,5,7,7,7,7,4,No,5eb3584f-d2fc-924d-aa1a-61011f84fb4d,52,2,9,1,1,6,1,2,45505
1,1,2,2,1,3,2,2,2,4,2,3,2,2,2,2,2,3,,3,2,3,3,3,2,3,3,2,3,3,3,3,3,3,2,3,3,3,3,1,4,7,6,5,6,3,2,37,5,1,4,5,1,2,No ,5eb35929-0cbc-310b-2352-573ecdf30393,37,2,2,1,1,4,4,3,71446
1,1,1,1,4,3,1,1,3,3,2,3,1,2,2,3,1,3,2,6,7,4,6,6,5,6,6,6,5,9,5,5,6,4,7,6,7,7,3,1,3,4,3,3,4,3,2,35,5,5,6,7,7,3,,5eb3586e-600e-7cae-7039-218ca1353434,35,2,4,1,1,2,4,2,47882
1,1,4,2,4,2,1,3,1,3,1,5,1,2,1,5,4,3,5,5,5,5,5,6,5,6,5,5,7,6,5,5,5,5,7,3,6,6,3,4,7,1,1,1,5,2,2,58,5,4,7,7,7,2,It was a great survey ,5eb3589b-c37e-bfb7-229e-204a604499d6,58,2,2,1,1,6,9,3,72616
1,5,4,2,4,2,3,5,3,3,3,3,3,4,1,4,4,3,5,4,9,6,5,9,4,5,4,7,6,6,8,6,6,7,7,7,8,7,2,1,7,5,5,5,4,1,2,32,4,5,6,7,7,5,,5eb35968-ee1f-c1d7-4bfa-17f1a346c94b,31,2,13,15,2,2,1,1,19104
1,1,1,4,3,2,4,4,3,3,2,4,3,2,1,2,2,3,5,5,9,2,4,9,4,7,6,4,9,8,6,6,2,9,5,7,9,7,1,1,4,4,5,6,5,2,2,31,5,7,7,7,7,2,,5eb35900-bc03-2507-712f-f4b74153d01f,31,2,5,1,1,6,10,3,37122
1,3,1,3,2,2,3,2,3,3,2,3,2,2,2,3,2,3,5,7,4,6,5,6,3,5,7,5,4,6,6,3,6,6,7,4,4,4,5,2,3,5,5,4,4,1,2,37,2,6,6,7,7,4,No,5eb358ae-f8a9-05d9-c2d1-af8994ba638b,37,2,3,4,1,2,2,3,29020
1,1,4,1,4,2,5,1,5,4,4,3,1,3,4,4,4,2,5,6,5,4,6,6,7,5,4,4,9,5,8,3,5,5,9,7,1,1,5,1,5,2,4,2,7,2,2,51,5,4,7,6,7,4,,5eb35889-e176-b494-86d7-e15d9bc49c9f,51,2,11,1,1,7,10,2,51501
1,1,4,2,3,2,4,1,3,2,4,2,1,3,3,4,3,3,5,5,9,8,5,9,5,9,5,1,9,5,5,5,5,2,9,1,9,5,1,1,4,2,4,1,5,1,2,77,5,2,7,7,7,3,,5eb358e5-9872-e2c5-628b-bb1edc47a62d,77,2,23,1,1,5,2,4,90403
1,2,1,3,1,2,1,2,1,2,1,3,1,2,1,3,1,2,1,6,5,4,6,6,4,5,5,6,5,5,5,6,6,5,6,5,7,5,3,5,2,4,4,4,5,1,2,37,5,6,7,7,6,3,,5eb358da-eb3c-6021-707d-d1112be946ee,37,2,11,1,1,6,2,3,77651
1,1,1,5,1,2,1,1,3,3,2,3,1,4,1,5,3,3,5,6,7,6,7,6,5,7,6,3,7,6,6,7,4,4,7,5,6,2,4,4,4,3,3,4,4,2,2,43,5,4,6,5,6,4,Thought it was ok,5eb3585b-7404-5341-75e5-e56d9e553520,43,2,5,1,1,2,9,3,32773
1,1,5,3,5,2,5,1,1,4,5,3,1,3,1,2,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,1,2,33,5,7,4,7,7,1,,5eb35874-73d9-5e1e-7d40-a3f66822cb59,33,2,11,1,1,2,1,4,98258
1,3,1,1,1,2,3,1,5,4,1,3,1,1,1,4,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,2,2,2,6,2,2,36,5,1,7,7,7,1,I like it,5eb358d9-270c-74ad-15a6-e1d5099715cf,35,2,6,1,1,2,9,1,7731
1,3,2,5,5,2,3,2,3,5,4,2,2,1,3,3,3,2,5,5,6,4,7,5,5,5,5,6,5,4,7,5,5,4,5,7,6,6,5,1,6,3,5,3,5,2,2,33,5,3,7,7,7,2,none,5eb359e9-13f0-8cfd-55a0-79ce476df228,34,2,10,1,1,6,10,2,48051
1,2,1,1,1,3,3,1,2,3,1,2,1,3,3,2,1,3,5,5,5,5,5,5,5,3,3,3,5,1,5,4,5,5,5,5,5,5,3,1,2,4,4,4,6,2,2,35,5,4,4,4,4,4,,5eb359a4-3f57-9e22-3fb5-ec46966b5807,35,2,10,1,1,6,9,3,37388
1,1,4,1,5,3,3,,,3,4,4,1,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,6,2,2,31,5,4,4,4,4,4,na ,5eb35a02-1332-4b64-5dd9-c3a8a997f276,31,2,9,1,1,6,9,2,53150
1,4,2,4,2,3,2,2,3,3,2,4,2,3,3,4,2,2,5,3,3,3,4,4,5,6,5,7,5,3,3,6,5,5,7,2,3,2,5,1,4,4,6,4,5,1,2,22,5,4,6,7,7,2,,5eb3593e-bffb-8dda-3695-69fe5cddeea2,22,2,9,1,1,6,1,1,2831
1,3,1,3,1,2,1,2,1,3,1,4,1,4,1,3,1,3,5,6,5,5,5,5,5,5,5,5,5,4,5,7,5,5,5,7,5,5,3,1,4,4,4,4,6,2,2,25,4,6,6,7,7,6,It was simple to comolete,5eb358b8-a5ed-7553-1f91-db22e56f14da,25,2,9,15,2,6,10,3,78046
1,1,2,5,2,2,2,1,2,3,2,3,3,1,1,5,3,2,2,5,6,5,6,4,5,5,6,6,3,5,5,6,6,3,7,5,6,5,6,4,4,4,3,4,4,1,2,50,3,3,6,7,6,5,,5eb35969-9acc-25bd-bd96-3d19276c000f,51,2,3,2,1,2,2,3,78203
1,4,1,1,1,2,1,2,1,3,1,4,1,3,1,4,1,3,5,1,1,5,1,1,5,1,9,5,1,1,5,1,1,1,1,9,1,1,1,1,6,4,4,4,6,1,2,22,3,4,7,4,7,1,,5eb3593b-668e-7241-7090-efa4ca1a0fcc,22,2,15,2,1,6,2,3,28079
1,3,3,3,4,2,2,3,3,3,3,5,3,3,4,3,3,3,3,7,6,7,7,7,7,7,6,7,6,7,6,6,7,3,6,7,7,6,3,5,6,4,5,5,4,3,2,50,3,5,5,5,5,5,,5eb3594a-7ea1-1d6c-550a-fe9130e8ad64,50,2,1,2,1,2,2,4,89170
1,3,1,1,3,3,1,1,1,2,3,3,1,1,3,3,1,3,5,1,5,1,7,9,5,5,5,1,9,9,1,9,1,1,9,5,9,5,1,4,7,1,1,1,4,2,2,63,5,4,7,7,7,2,,5eb358db-8221-7327-0c56-9820d1f93f45,63,2,8,1,1,2,10,2,46303
1,2,2,1,2,2,2,2,2,3,3,3,2,3,3,2,2,3,5,7,5,7,6,5,3,2,7,7,4,5,2,5,3,3,1,6,2,6,5,1,4,4,6,7,6,2,2,34,5,5,6,6,6,6,,5eb35970-6b3f-74c8-614e-57059a17401d,52,2,19,2,1,6,10,4,85123
1,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,5,3,2,22,5,4,4,4,4,4,,5eb359d3-d228-3b98-7bff-1c3b101dd0db,22,2,6,1,1,6,3,2,54601
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5eb359d5-122b-4814-5501-736f49bb45f3,73,2,5,1,1,4,10,3,75165
1,1,4,4,3,2,2,2,4,3,3,2,4,3,3,4,3,2,3,1,8,1,6,6,3,7,5,4,6,6,5,6,2,2,5,3,7,5,1,5,4,4,5,5,5,1,1,71,5,7,5,5,6,4,,5eb35968-4550-489b-83e7-1381f51efe61,71,1,2,1,1,4,2,3,37869
1,2,2,2,2,3,2,2,2,3,3,3,2,3,2,2,2,3,3,,8,7,9,7,8,7,7,7,6,8,7,8,4,7,8,7,8,8,7,4,6,4,5,5,6,1,2,42,5,6,7,7,6,6,,5eb359db-ff5f-cd4a-fc4f-503afc55de2f,42,2,9,1,1,6,1,1,18510
1,5,1,4,1,4,1,4,1,2,1,5,1,4,1,4,1,4,1,1,8,3,9,7,2,7,5,3,4,2,2,8,3,7,5,3,9,2,2,1,6,6,6,6,5,1,2,34,5,4,6,6,7,3,,5eb359b3-a29d-3214-0538-e8d8b2ada15a,34,2,12,1,1,6,1,2,54401
1,1,1,5,1,2,1,2,1,3,1,2,1,1,1,3,1,3,1,4,7,5,5,8,5,8,5,7,5,6,2,7,2,2,5,2,8,5,2,4,6,4,4,4,5,2,2,55,5,4,7,7,7,2,none,5eb3593b-359f-c0a3-47e7-e535aa4e43d2,55,2,2,1,1,4,10,4,93635
1,1,4,2,4,2,2,2,4,3,3,2,1,2,4,3,3,3,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,2,4,4,4,4,5,2,39,5,6,7,7,7,4,,5eb3596a-e02f-69fd-3ded-ac7a3bdfe0fd,39,2,9,1,1,2,4,3,27583
1,2,1,3,1,3,1,3,1,3,1,3,1,3,1,1,4,5,1,1,6,4,1,9,4,7,2,1,6,9,6,8,4,5,8,3,8,4,1,1,5,4,4,3,6,3,1,59,5,5,2,5,7,4,"Epstein didn't kill himself.

Prove me wrong.",5eb3594a-1248-8270-6ea7-6084971b74c6,59,1,7,1,1,6,9,1,17111
1,2,2,5,3,2,3,3,3,3,3,5,2,3,3,3,1,3,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,4,4,4,4,6,3,2,40,5,4,4,4,7,4,health information ,5eb35a15-551a-7848-49ff-40a4258f163c,40,2,7,1,1,6,3,1,11209
1,4,2,3,2,3,3,2,2,2,1,4,3,5,2,3,1,3,5,4,4,7,5,2,2,4,8,3,2,1,6,5,4,8,5,4,3,4,3,3,3,3,3,4,4,1,2,19,5,2,6,4,3,4,No,5eb359d6-d0a2-317d-22d4-30d8e7a36276,19,2,19,4,1,6,2,4,92618
1,5,1,5,1,2,1,2,1,2,1,4,1,3,1,4,1,3,5,5,7,3,5,5,5,7,3,2,5,2,3,5,3,5,3,5,8,5,1,4,5,6,6,6,4,1,2,36,5,2,6,6,6,3,Nope,5eb35999-c812-7972-0a55-9f8b7e0a87cf,36,2,4,1,2,4,1,2,44035
1,2,4,1,2,2,4,1,2,3,1,4,3,3,4,2,4,3,2,8,8,8,8,8,7,5,8,7,8,7,8,7,7,7,7,7,8,7,6,1,5,2,2,2,5,2,2,57,5,5,5,6,6,3,No ,5eb35938-2628-4fd1-6924-832d0e2d868e,57,2,8,1,1,6,10,3,74931
1,2,5,4,4,4,3,3,2,4,2,2,4,3,2,4,3,3,5,7,5,8,3,5,6,7,5,5,1,9,4,7,8,5,6,9,2,9,5,3,4,7,6,4,5,1,2,18,"4,5",3,7,3,6,2,N.a,5eb35a0e-36f6-f4f1-734b-cc5a1694ccd2,18,2,5,1,2,4,1,3,33015
1,5,1,1,1,2,1,1,1,3,1,2,1,3,1,3,1,3,5,5,5,5,5,6,5,5,5,5,5,5,5,6,5,5,6,5,5,5,5,4,4,4,4,4,3,3,2,39,4,1,7,7,7,1,Thanks,5eb35835-7bb0-b9ea-7a02-225e0d1d02a6,39,2,2,15,2,2,4,3,33015
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5eb35a7a-fece-7044-d2c8-093a049f34f7,56,2,-3105,1,1,6,9,3,74006
1,2,1,3,1,2,1,3,1,2,1,2,1,3,1,4,1,3,5,1,9,5,9,9,3,9,1,4,9,3,5,9,1,1,9,2,9,5,1,2,2,5,4,5,5,3,2,37,5,5,4,5,6,5,,5eb358ce-13c2-6eb3-16bc-c9ff43c8f374,37,2,4,1,1,2,5,2,43605
1,4,4,5,3,2,3,1,3,2,5,5,4,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,7,7,7,5,3,2,26,3,4,4,7,7,1,,5eb3598e-ec4a-9a79-220d-bfc349410c47,26,2,18,2,1,4,2,3,29073
1,5,1,2,1,2,1,1,1,4,1,2,1,5,1,1,1,2,5,9,9,5,5,5,5,5,5,9,5,5,5,1,5,5,5,5,9,5,1,4,4,1,1,1,4,3,2,38,5,7,7,7,7,1,,5eb35885-8c7f-bc7f-f299-1cd1b57c7365,39,2,12,1,1,2,5,1,17067
1,2,2,4,2,2,1,1,1,3,2,3,1,2,1,4,1,2,1,7,7,6,7,7,8,6,6,7,8,4,6,7,7,4,7,5,6,4,7,1,6,4,4,5,5,1,2,42,5,6,5,5,5,5,Not at this time ,5eb358b2-208a-62f4-c99e-a4671dcbf42b,42,2,8,1,1,4,1,1,19149
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5eb359d8-e65c-3e65-812a-06bffdbfda43,19,2,16,15,2,2,7,4,93656
1,2,3,5,2,2,2,3,2,4,2,2,2,2,2,2,3,3,5,4,3,4,5,4,4,5,5,7,7,3,8,4,5,7,6,6,5,7,5,1,4,4,3,3,5,1,2,31,5,6,6,2,5,5,,5eb35a62-814d-6689-7033-62a8a01277b7,31,2,7,1,1,6,2,4,91911
1,2,,2,3,3,3,3,3,4,2,3,2,2,3,1,3,3,5,9,4,8,5,5,3,6,7,8,5,6,9,5,3,7,5,7,4,5,5,1,7,7,4,6,6,1,2,50,5,7,6,6,6,5,,5eb35a17-3041-1f82-424c-c2d544ad3cc2,51,2,9,1,1,4,1,3,19720
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5eb35a7b-0356-dd70-dce6-6a7e0b293d46,70,2,4,1,1,5,5,2,61434
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5eb35a41-db0a-3251-ef0c-89adb83c015e,31,2,1,15,2,2,4,3,78011
1,3,2,5,2,3,4,1,2,4,3,3,3,4,2,4,4,3,5,6,8,4,6,7,5,7,5,3,5,6,7,6,6,1,3,2,8,1,3,1,4,5,5,5,6,1,2,26,5,7,4,6,7,5,,5eb359af-e04c-67f9-a954-b01259e1d994,26,2,7,1,1,6,2,1,2467
1,5,3,2,4,3,3,1,4,3,3,4,3,5,4,2,3,3,5,5,9,5,6,8,5,6,6,4,8,6,7,5,4,4,6,1,8,6,1,4,7,3,5,1,5,4,2,28,5,6,7,7,6,3,Nope. ,5eb35991-d09c-3803-b4d5-69392144f428,28,2,8,1,1,6,8,1,12095
1,4,4,2,3,,3,2,3,3,3,4,3,1,3,2,3,4,3,4,4,3,7,4,4,5,3,5,4,2,6,4,4,4,6,4,5,4,4,4,1,5,5,5,4,3,2,30,8,6,5,5,5,4,,5eb35997-6cdb-eb2f-8ea7-8e0c4d22884c,30,2,1,3,1,2,4,4,97389
1,2,3,1,1,2,4,5,2,4,2,4,3,2,4,3,2,3,5,8,5,7,7,8,6,6,7,7,6,6,3,8,6,6,6,2,7,6,2,4,2,4,4,6,4,3,2,26,5,6,5,6,6,6,Great ,5eb3588e-43a0-067f-ef57-e66ba57df158,26,2,1,1,1,2,3,3,23462
1,1,2,4,3,3,2,2,2,3,2,3,1,2,1,2,2,3,5,6,8,7,7,7,8,8,8,6,7,6,8,7,6,8,7,7,8,6,7,2,6,3,4,5,6,2,2,27,5,4,6,5,5,2,,5eb35a7d-7b84-3222-084b-ce3bb5bf7a21,26,2,4,1,1,6,10,3,24818
1,1,5,4,4,3,2,1,5,4,4,2,3,1,3,2,1,3,5,3,3,3,7,7,9,8,7,5,7,8,3,5,5,5,4,4,4,7,6,1,6,2,1,2,7,1,1,31,3,7,5,4,3,5,Great ome,5eb358c3-5ca4-1b59-b3d8-7a598ff4e09e,29,2,19,2,1,6,1,3,77043
1,1,3,2,4,3,3,2,3,3,2,3,3,2,3,3,2,3,5,3,5,2,5,6,7,3,3,5,5,4,3,5,2,3,4,3,6,5,7,2,6,5,4,4,7,1,2,27,5,4,7,5,5,7,,5eb35a84-ed84-6680-19a1-15db2fa0641a,27,2,7,1,1,7,1,3,40515
1,1,5,1,5,2,5,1,3,3,2,2,5,1,4,4,3,3,5,7,8,6,8,3,7,6,8,7,7,6,8,1,7,2,2,3,6,2,1,1,4,1,1,1,5,2,2,38,5,6,7,7,7,6,,5eb35888-b1e6-75a9-7ce3-e55bd6fb61d6,44,2,8,2,1,2,5,1,6787
1,1,3,2,3,2,1,2,2,3,4,3,2,2,3,3,3,3,2,5,4,5,7,4,6,4,4,5,4,4,4,5,4,4,7,4,2,3,5,5,3,4,2,2,4,1,2,47,5,5,4,4,5,5,,5eb359cb-dc13-3ca4-7cf6-f8d871eb60b9,47,2,1,1,1,6,7,3,40212
1,1,1,5,1,2,1,3,1,3,1,2,1,2,1,3,1,3,5,3,6,6,5,6,5,6,4,5,4,5,5,5,5,4,6,2,5,5,1,2,4,3,4,3,5,2,2,60,5,6,6,7,7,4,None,5eb359de-1143-d01d-2130-ba4c78c6e43f,60,2,9,1,1,4,9,4,84738
1,1,5,5,5,2,5,3,5,5,5,5,5,3,5,3,5,2,5,7,5,6,3,7,7,7,9,7,5,5,5,1,6,5,5,7,5,5,4,1,7,7,7,7,5,2,2,35,5,4,7,7,7,1,,5eb359f1-04c1-d60e-2df3-644ab1a0e9a5,35,2,20,1,1,4,10,1,7508
1,3,1,2,1,2,3,1,1,2,2,2,1,4,1,4,1,3,5,5,7,5,5,9,5,9,5,3,5,8,4,7,3,3,7,1,9,5,1,1,1,4,4,4,5,3,2,29,5,4,7,7,7,2,No,5eb35a0c-44a6-b895-0584-469c21ec43d6,29,2,9,1,1,6,4,3,33948
1,2,3,2,2,3,3,3,3,3,3,3,3,4,3,4,3,3,5,3,4,5,5,5,4,5,3,4,4,3,5,4,3,5,5,5,5,3,5,1,4,4,4,2,5,1,2,37,5,4,5,7,4,7,,5eb35a56-dad6-5dc2-8a5c-0375c82fe424,37,2,3,1,1,4,1,1,18660
1,3,1,5,2,2,1,1,1,2,2,4,1,5,1,4,3,3,5,2,9,6,8,8,5,8,4,4,8,8,6,7,7,1,7,2,8,2,2,2,5,6,7,6,6,1,2,47,5,7,6,5,7,6,Nope,5eb359b0-1377-e1a4-70cb-c3608a76bfcc,47,2,19,1,1,6,1,1,13132
1,2,3,3,4,3,3,2,4,3,3,4,3,2,3,3,3,3,3,5,4,7,4,8,2,1,5,5,6,4,4,4,6,5,6,7,6,5,2,2,4,1,1,1,6,1,2,25,5,6,4,4,6,4,,5eb35a60-ca3e-4f6b-72c1-4a61c8e88dda,25,2,11,1,1,6,1,2,43701
1,2,2,3,4,2,4,2,3,5,4,2,4,2,3,2,5,2,3,8,4,9,9,7,8,8,6,9,7,8,8,8,5,4,8,8,9,8,8,1,5,2,2,4,5,1,2,52,4,2,7,7,7,,Its ok,5eb35996-e9c6-d64a-9fb1-16f3b85268fa,53,2,7,15,2,6,2,1,8618
1,4,3,3,,3,1,5,4,2,1,5,3,4,3,4,1,3,5,2,6,6,9,6,2,7,2,8,2,1,4,9,6,6,5,1,9,2,1,2,5,6,2,6,6,1,2,45,3,6,7,7,6,3,,5eb35818-36a7-1906-a504-4a3a26af8eaa,45,2,4,2,1,6,1,3,33313
1,2,2,2,2,2,3,1,2,3,3,3,3,3,3,5,3,3,5,7,8,7,7,6,5,5,6,7,7,6,6,5,8,6,5,6,7,4,6,1,5,4,4,5,5,1,2,33,5,6,5,4,4,5,None it’s good ,5eb35a68-2fcc-7345-82c1-c73676a4c410,33,2,4,1,1,4,1,1,7307
1,3,3,1,2,3,2,2,3,5,,3,3,2,3,3,3,3,5,8,9,8,8,8,9,9,9,7,4,8,9,9,9,8,7,9,8,7,8,1,6,7,7,7,6,2,2,36,5,7,7,7,6,7,Great,5eb35a88-532c-07b7-cba7-98b57f3f5f91,34,2,14,1,1,6,10,3,33040
1,5,4,5,5,5,1,5,5,2,5,4,1,5,2,5,5,3,5,1,9,1,9,9,1,9,5,1,9,9,1,9,1,1,9,1,9,9,1,2,4,6,7,3,6,1,2,35,5,3,7,7,7,2,,5eb359ce-287c-6b75-8825-4c2beb3c49da,35,2,3,1,1,6,2,1,6770
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5eb35b08-46a4-6cfc-ef76-9f6de444e8cb,78,2,8,1,1,2,2,3,23601
