Kind,Structure,Is,Is_not,Check1,Check2,Info,Gender,Age,,,,,,,
2,2,3,6,,I have read the instructions,,1,25,,,,,,,
2,2,5,4,,I have read the instructions,,1,26,,,,,,,
2,2,5,3,,I have read the instructions,,1,32,,,,,,,
2,2,5,5,,I have read the instructions,,2,58,,,,,,,
2,2,5,3,,I have read the instructions,,2,44,,,,,,,
2,2,5,4,,I have read the instructions,,1,30,,,,,,,
2,2,6,4,,I have read the instructions,,1,22,,,,,,,
2,2,5,7,,I have read the instructions,,1,34,,,,,,,
2,2,4,3,,I have read the instructions,,2,21,,,,,,,
2,2,7,1,,I have read the instructions,,1,38,,,,,,,
2,2,7,6,,I have read the instructions,,1,30,,,,,,,
2,2,5,5,,I have read the instructions,,1,24,,,,,,,
2,2,5,3,,I have read the instructions,,1,44,,,,,,,
2,2,5,5,,I have read the instructions,,1,34,,,,,,,
2,2,3,5,,I have read the instructions,,2,43,,,,,,,
2,2,7,3,,I have read the instructions,,2,49,,,,,,,
2,2,2,4,,I have read the instructions,,1,32,,,,,,,
2,2,3,5,,I have read the instructions,,1,26,,,,,,,
2,2,6,3,,I have read the instructions,,2,28,,,,,,,
2,2,5,4,,I have read the instructions,,1,33,,,,,,,
2,2,5,4,,I have read the instruction,,2,26,,,,,,,
2,2,4,2,,I have read the instructions,,2,37,,,,,,,
2,2,5,4,,I have read the instructions,,1,28,,,,,,,
2,2,5,5,,I have read the instructions,,2,47,,,,,,,
