"Codeall","longtermall","lockoutall","meanRLall","meanD1all","meanE1all","positionall","recognitionall"
1039,"explicit","no",2.55,7.9267915,4.75,5.4,7.65
1040,"explicit","no",1.25,15.8707185,7.3,6.05,7.85
1041,"explicit","no",1.2,17.534035,7.6,7.65,7.85
1042,"explicit","no",1.5,15.15429,7.1,4.9,7.05
1043,"explicit","no",2.55,6.265825,3.3,2.75,6.4
2001,"explicit","yes",1.15,22.864035,7.35,7.9,8
2002,"explicit","yes",1,18.609235,8,7.6,7.95
2003,"explicit","yes",1.1,15.0514115,7.65,7.3,7.8
2004,"explicit","yes",2,9.014005,5.4,6.9,7.85
2005,"explicit","yes",2.05,9.684267,5.1,6.75,7.85
2006,"explicit","yes",1.1,15.63437,7.8,7.6,7.9
2007,"explicit","yes",1,23.02192,8,6.9,7.85
2008,"explicit","yes",1,22.69545,8,7.8,7.9
2009,"explicit","yes",1.25,19.29896,7.25,7.35,7.85
2010,"explicit","yes",1,21.149135,8,6.45,7.65
2011,"explicit","yes",1.15,15.1493265,7.65,7.6,8
2012,"explicit","yes",1.45,9.0177085,6.65,6.95,7.95
2013,"explicit","yes",2,13.275368,5.65,3.75,6.9
2014,"explicit","yes",1.2,25.229835,7.8,7.15,8
2015,"explicit","yes",1.55,21.04622,7.45,5.6,7.6
2016,"explicit","yes",1.05,25.502425,7.9,6.25,7.45
2017,"explicit","yes",1.15,14.022033,7.6,6.85,7.95
2018,"explicit","yes",1.3,18.0512265,7,7.25,7.9
2019,"explicit","yes",1.65,28.214385,7.05,6.35,7.6
2020,"explicit","yes",1.05,15.54277,7.9,6.35,7.35
2021,"explicit","yes",1.95,7.9767465,4.4,4.05,7.25
2022,"explicit","yes",1.35,21.25858,7.1,5.65,7.05
2023,"explicit","yes",2.05,11.0116225,4.3,4.7,7.45
2024,"explicit","yes",2,13.9853,7,6.15,7.7
2025,"explicit","yes",1.5,16.35581,6.35,6.6,7.75
2026,"explicit","yes",1.8,16.4189515,6.7,4.9,7.5
2027,"explicit","yes",1.35,11.4249405,6.9,5.2,7.35
2028,"explicit","yes",1.05,15.459615,7.85,5.35,7.25
2029,"explicit","yes",2,10.34489,5.05,6.05,7.6
2030,"explicit","yes",1.05,33.489805,7.9,8,8
2031,"explicit","yes",1.1,17.405215,7.75,7.75,7.9
2032,"explicit","yes",1.9,16.1132555,6.1,4.9,7.35
2033,"explicit","yes",1.9,12.344468,5.15,4.1,7.45
2034,"explicit","yes",1.05,24.898025,7.85,7.65,7.8
2035,"explicit","yes",2.35,13.702139,4.25,3.9,7.45
2036,"explicit","yes",1.1,17.885845,8,8,8
2037,"explicit","yes",1.5,33.48299,7.9,7.9,8
2038,"explicit","yes",2.4,12.9051735,4.65,5.2,7.55
2039,"explicit","yes",1.05,20.431995,7.8,4.8,7.45
2040,"explicit","yes",1.05,22.682355,7.65,5.4,7.2
2041,"explicit","yes",1.15,20.449585,7.7,7.5,7.8
2042,"explicit","yes",1.25,24.59267,7.7,6.2,7.75
2043,"explicit","yes",2.05,10.0660835,4.05,3.65,7.3
3001,"implicit","no",5.3,1.2399295,1.7,0.65,5.25
3002,"implicit","no",2.1,15.875252,5.25,3.55,7.1
3003,"implicit","no",2.2,10.560409,4.75,1.75,6.05
3004,"implicit","no",3.8,5.0765195,2.7,1.75,5.7
3005,"implicit","no",3.5,8.725852,4.45,4.25,7.15
3006,"implicit","no",1,24.63313,8,6.35,7.8
3007,"implicit","no",1.8,7.4712695,5.2,7.65,7.95
3008,"implicit","no",4.05,2.885393,2.05,3.8,6.2
3009,"implicit","no",2.15,16.57839,7.05,4.75,7.3
3010,"implicit","no",2.4,3.9785995,2.95,3.6,6.5
3011,"implicit","no",2.6,7.2438995,4.1,4.55,7.1
3012,"implicit","no",2.25,6.434095,4.15,2.05,6.55
3013,"implicit","no",2.2,8.311844,4.8,3.9,7.05
3014,"implicit","no",2.3,6.6762405,3.85,4.05,6.75
3015,"implicit","no",2.35,6.9450195,3.95,3.85,6.55
3016,"implicit","no",1.3,13.7113605,7.55,2.3,7.95
3017,"implicit","no",2.35,13.1059715,5.7,6.8,8
3018,"implicit","no",1.65,17.652095,6.8,7.5,7.9
3019,"implicit","no",2.25,14.634877,6.8,3.55,6.95
3020,"implicit","no",3.85,4.5705505,2.6,1.6,6.35
3021,"implicit","no",2.85,5.2345395,3.25,2,6.3
3022,"implicit","no",2.8,5.9155255,3.2,4.55,7.45
3023,"implicit","no",2.4,4.697105,3.7,2.45,6.25
3024,"implicit","no",2.25,9.104337,4.65,3.1,7.2
3025,"implicit","no",1.9,14.4478465,7.45,4.9,7.4
3026,"implicit","no",2.35,9.345171,4,3.7,7
3027,"implicit","no",1.35,19.92317,7.25,2.35,6.5
3028,"implicit","no",1.6,9.882024,6.8,3.75,6.95
3029,"implicit","no",2.15,6.0183791,4.15,5.7,7.25
3030,"implicit","no",3.95,5.4773325,2.35,3.5,7
3031,"implicit","no",1.9,8.388789,6,6.65,7.8
3032,"implicit","no",1.8,8.2512275,5.4,6.35,7.9
3033,"implicit","no",3.1,5.199049,3.25,6.25,7.85
3034,"implicit","no",2.55,9.7187025,4.55,4.75,7.35
3035,"implicit","no",2.2,9.7246715,4.7,1.95,6.5
3036,"implicit","no",2.2,8.509803,4.8,4.45,7.25
3037,"implicit","no",2.75,5.91828325,3.55,4.4,6.9
3038,"implicit","no",5.5,5.20236,1.4,0.8,4.5
3039,"implicit","no",1.05,16.920175,7.6,7.55,7.9
3040,"implicit","no",1.15,17.395065,7.75,7.65,7.95
3041,"implicit","no",3.85,5.4133815,2.8,4.3,6.9
3042,"implicit","no",2.05,4.641844,3.95,3.95,6.8
3043,"implicit","no",2.15,17.672445,6.7,7.4,7.9
4001,"implicit","yes",1.55,17.7560605,6.85,3.75,7.2
4002,"implicit","yes",2.05,6.4780765,4.3,0.9,4.2
4003,"implicit","yes",1.8,9.0455485,4.85,4.1,7.1
4004,"implicit","yes",1.75,10.036518,5.95,3.75,7.2
4005,"implicit","yes",1.65,11.9885945,6,4.85,7.45
4006,"implicit","yes",1.25,24.076875,7.15,5.45,7.45
4007,"implicit","yes",1.15,13.7487355,7.4,6.85,7.8
4008,"implicit","yes",1.4,12.313273,6.8,4.7,7.1
4009,"implicit","yes",2.9,8.4304525,3.85,0.6,3.75
4010,"implicit","yes",1,15.951895,8,7.8,7.95
4011,"implicit","yes",1.05,19.556675,7.8,7.55,7.75
4012,"implicit","yes",1,3.7377245,8,7.95,7.95
4013,"implicit","yes",1.1,24.5155,7.75,7.2,7.9
4014,"implicit","yes",1.15,11.4516025,7.55,7.05,7.75
4015,"implicit","yes",2.75,6.0634975,2.85,1.85,5.6
4016,"implicit","yes",1.7,33.234815,6.35,2.9,7.45
4017,"implicit","yes",2.15,10.5132885,4.15,6.2,7.65
4018,"implicit","yes",2.55,3.69157,2.8,2.95,6.4
4019,"implicit","yes",1.1,21.355985,7.75,7.7,7.95
4020,"implicit","yes",1.2,16.978248,7.4,4.6,7.2
4021,"implicit","yes",1.5,11.818279,6.8,5.9,7.55
4022,"implicit","yes",2.25,10.9671975,4.65,4.15,7.3
4023,"implicit","yes",1.25,6.815852,7.15,5.9,7.45
4024,"implicit","yes",1.95,7.063493,4.55,2.05,7.15
4025,"implicit","yes",1,18.65024,8,7.85,7.85
4026,"implicit","yes",1.1,25.300045,7.9,7.35,7.95
4027,"implicit","yes",1.95,9.47636,4.25,2.85,7.15
4028,"implicit","yes",2,7.837355,4,4.15,6.9
4029,"implicit","yes",2.6,9.063846,4.25,6.95,7.7
4030,"implicit","yes",2.55,8.862166,4.4,4.2,7.25
4031,"implicit","yes",1.1,24.78143,7.8,6.6,7.95
4032,"implicit","yes",2.8,9.3047975,3.8,6.35,7.8
4033,"implicit","yes",1.75,11.486293,5.8,6.85,7.7
4034,"implicit","yes",1.8,8.0036975,5.55,3,6.8
4035,"implicit","yes",1.45,10.9767315,6.85,2.4,5.85
4036,"implicit","yes",1.45,15.4474785,6.75,6,7.5
4037,"implicit","yes",1.5,22.7079715,6.4,5.65,7.4
4038,"implicit","yes",1.45,13.3999775,7.1,6.75,7.95
4039,"implicit","yes",1.1,13.0857025,7.8,7.25,7.9
4040,"implicit","yes",1.25,14.012559,7.45,7.1,7.85
4041,"implicit","yes",1,22.939465,8,6.15,7.9
4042,"implicit","yes",2,9.430417,4.55,5.55,7.6
4043,"implicit","yes",2.1,13.93972,4.45,5.55,7.35
