StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Agree_doctor,Agree_fire,Agree_donor,neg_cons,unfair,moral_worth,Attention_check,Attention_check_DO,age,gender,educationScore,femalesAs1MaleAs0,income,incomeScore,householdIncomeEstimate,participant_id,assignment_id,computer_country,PROLIFIC_PID,generality,context,FL_16_DO,FL_31_DO
10/03/2019 14:41,10/03/2019 14:42,0,100,63,1,10/03/2019 14:42,R_uy16GRyLjGuY3yp,,,,,anonymous,EN-GB,7,7,7,7,1,7,4,4|3|1|2,23,male,5,,"$40,000 to $59,999",3,50000,5bbe2ecb,45deda08,United States,,one-off,healthcare,FL_32,Donor|Firefighters|Doctors
10/03/2019 14:40,10/03/2019 14:42,0,100,113,1,10/03/2019 14:42,R_wY06VrOSQwX08vf,,,,,anonymous,EN-GB,2,2,2,7,7,7,4,1|3|4|2,62,female,2,,"Less than $9,999",0,5000,37f0d54f,88199ae6,United States,,rule,volcano,FL_18,Donor|Doctors|Firefighters
10/03/2019 14:40,10/03/2019 14:42,0,100,112,1,10/03/2019 14:42,R_Tq0Jlq2FOFmAKDn,,,,,anonymous,EN-GB,3,2,2,5,6,7,4,3|2|4|1,32,female,3,,"$60,000 to $84,999",4,72500,2a015178,4007497b,United States,,rule,healthcare,FL_33,Doctors|Donor|Firefighters
10/03/2019 14:42,10/03/2019 14:43,0,100,76,1,10/03/2019 14:43,R_73xwicTguW6sQ7v,,,,,anonymous,EN-GB,6,3,6,5,5,7,4,4|2|1|3,24,male,5,,"$85,000 to $114,999",5,100000,6d7849c0,dd419619,United States,,one-off,healthcare,FL_32,Donor|Firefighters|Doctors
10/03/2019 14:41,10/03/2019 14:45,0,100,205,1,10/03/2019 14:45,R_1cYN6UwF4sOxwpB,,,,,anonymous,EN-GB,5,5,5,6,6,6,4,1|2|3|4,30,male,5,,"$25,000 to $39,999",2,32500,571319ce,f8d23d8e,Philippines,,one-off,volcano,FL_17,Donor|Doctors|Firefighters
10/03/2019 14:44,10/03/2019 14:45,0,100,53,1,10/03/2019 14:45,R_3KBnellyVpKKrP2,,,,,anonymous,EN-GB,3,2,3,5,5,6,4,1|3|2|4,29,female,4,,"$60,000 to $84,999",4,72500,60d917a4,e409dfa2,United States,,one-off,volcano,FL_17,Donor|Doctors|Firefighters
10/03/2019 14:45,10/03/2019 14:46,0,100,29,1,10/03/2019 14:46,R_2Clmc2HUGVd0qs8,,,,,anonymous,EN-GB,2,2,2,7,7,7,4,1|2|3|4,31,female,4,,"$25,000 to $39,999",2,32500,cbcaf0f9,4006c0e1,United States,,rule,healthcare,FL_33,Firefighters|Donor|Doctors
10/03/2019 14:47,10/03/2019 14:47,0,100,33,1,10/03/2019 14:47,R_3J2dR1AW7jbLVzU,,,,,anonymous,EN-GB,3,5,5,4,3,5,3,2|3|1|4,29,male,4,,"$25,000 to $39,999",2,32500,779062a8,65e98fc5,United States,,rule,volcano,FL_18,Firefighters|Donor|Doctors
10/03/2019 14:47,10/03/2019 14:48,0,100,52,1,10/03/2019 14:48,R_tEBPa2ztcA2Zc41,,,,,anonymous,EN-GB,3,3,3,5,7,7,4,2|1|4|3,47,female,2,,"$85,000 to $114,999",5,100000,6b402de7,132bef8f,United States,,rule,healthcare,FL_33,Firefighters|Donor|Doctors
10/03/2019 14:47,10/03/2019 14:49,0,100,95,1,10/03/2019 14:49,R_3q9xbYF8uPbguwy,,,,,anonymous,EN-GB,5,3,5,3,5,6,4,3|4|1|2,50,male,3,,"$60,000 to $84,999",4,72500,ea0d0931,6fb208d8,United States,,one-off,healthcare,FL_32,Doctors|Donor|Firefighters
10/03/2019 14:50,10/03/2019 14:51,0,100,66,1,10/03/2019 14:51,R_1ClkdLGWnmgKJsH,,,,,anonymous,EN-GB,5,3,1,7,6,7,4,1|3|2|4,33,female,6,,"$60,000 to $84,999",4,72500,698eab6c,4471ead1,United States,,rule,volcano,FL_18,Donor|Firefighters|Doctors
10/03/2019 14:50,10/03/2019 14:52,0,100,101,1,10/03/2019 14:52,R_2ePQ7fkKvVwpR32,,,,,anonymous,EN-GB,6,4,5,4,5,2,4,1|2|3|4,38,female,5,,"$40,000 to $59,999",3,50000,0da24688,4f9af547,United States,,one-off,healthcare,FL_32,Doctors|Donor|Firefighters
10/03/2019 14:52,10/03/2019 14:53,0,100,39,1,10/03/2019 14:53,R_3JschZqWenvjvZu,,,,,anonymous,EN-GB,6,6,5,3,3,5,4,3|2|4|1,28,male,7,,"$60,000 to $84,999",4,72500,c696f41b,479bf851,United States,,one-off,volcano,FL_17,Firefighters|Donor|Doctors
10/03/2019 14:52,10/03/2019 14:54,0,100,101,1,10/03/2019 14:54,R_1mqv5jqVywCnd3B,,,,,anonymous,EN-GB,6,6,6,5,2,6,4,2|4|1|3,34,male,5,,"$40,000 to $59,999",3,50000,837b4872,67ed6116,United States,,rule,volcano,FL_18,Firefighters|Donor|Doctors
10/03/2019 14:52,10/03/2019 14:55,0,100,166,1,10/03/2019 14:55,R_3m3ig6VPEnwQAjt,,,,,anonymous,EN-GB,3,3,3,6,6,7,4,1|3|4|2,42,female,6,,"$60,000 to $84,999",4,72500,ac26b6bf,39b89aa4,United States,,rule,healthcare,FL_33,Firefighters|Donor|Doctors
10/03/2019 14:54,10/03/2019 14:55,0,100,84,1,10/03/2019 14:55,R_Dfbq8Ogavz4ZVnP,,,,,anonymous,EN-GB,6,5,6,6,6,7,4,1|3|2|4,44,female,5,,"$200,000 or more",8,225000,d201991b,5e3863f8,United States,,one-off,healthcare,FL_32,Donor|Doctors|Firefighters
10/03/2019 14:54,10/03/2019 14:57,0,100,139,1,10/03/2019 14:57,R_bddMgdEFqnWTo41,,,,,anonymous,EN-GB,1,1,1,5,7,7,4,4|2|3|1,67,female,6,,"$40,000 to $59,999",3,50000,e8f0079c,13c14484,United States,,rule,healthcare,FL_33,Doctors|Firefighters|Donor
10/03/2019 14:55,10/03/2019 14:58,0,100,169,1,10/03/2019 14:58,R_DzZ6wNBxvQHv6jT,,,,,anonymous,EN-GB,2,2,2,6,6,6,4,1|3|4|2,39,male,5,,"$40,000 to $59,999",3,50000,586686b4,02c34a7a,United States,,rule,volcano,FL_18,Firefighters|Donor|Doctors
10/03/2019 15:01,10/03/2019 15:03,0,100,70,1,10/03/2019 15:03,R_3fVjOVevhMoa2OP,,,,,anonymous,EN-GB,5,5,5,6,6,7,4,2|3|4|1,30,male,6,,"$115,000 to $149,999",6,132500,cbcaa7cb,3a0857cb,United States,,one-off,volcano,FL_17,Firefighters|Doctors|Donor
10/03/2019 15:04,10/03/2019 15:05,0,100,87,1,10/03/2019 15:05,R_AAk8DWk3oNANG2B,,,,,anonymous,EN-GB,2,1,2,6,7,7,4,4|1|3|2,24,male,5,,"Less than $9,999",0,5000,85acd8f9,43d40986,United States,,one-off,healthcare,FL_32,Donor|Doctors|Firefighters
11/03/2019 07:34,11/03/2019 07:34,0,100,25,1,11/03/2019 07:34,R_Xze5HLxZqhGfetr,,,,,anonymous,EN-GB,5,5,3,5,7,7,4,3|4|1|2,26,male,5,,"$115,000 to $149,999",6,132500,64f624f1,6614d809,United States,,one-off,volcano,FL_17,Firefighters|Donor|Doctors
11/03/2019 07:33,11/03/2019 07:34,0,100,63,1,11/03/2019 07:34,R_2f0wXfgPvthrVee,,,,,anonymous,EN-GB,7,4,5,4,4,6,4,3|4|1|2,33,male,2,,"$85,000 to $114,999",5,100000,f96da274,76f98092,United States,,rule,healthcare,FL_33,Donor|Firefighters|Doctors
11/03/2019 07:34,11/03/2019 07:34,0,100,38,1,11/03/2019 07:34,R_tWYo64YUmrn3PJT,,,,,anonymous,EN-GB,5,5,5,5,4,5,4,1|4|2|3,28,male,7,,"$60,000 to $84,999",4,72500,c696f41b,1729de89,United States,,rule,volcano,FL_18,Firefighters|Doctors|Donor
11/03/2019 07:34,11/03/2019 07:35,0,100,72,1,11/03/2019 07:35,R_2TAeyrIclnY5MLS,,,,,anonymous,EN-GB,1,1,1,7,7,6,4,4|1|3|2,35,male,5,,"$200,000 or more",8,225000,56e618bf,56679ac3,United States,,rule,volcano,FL_18,Firefighters|Doctors|Donor
11/03/2019 07:34,11/03/2019 07:36,0,100,91,1,11/03/2019 07:36,R_2AMQuH8OpbMI7rW,,,,,anonymous,EN-GB,7,6,7,3,3,5,4,4|2|1|3,28,male,3,,"$60,000 to $84,999",4,72500,669bd5e6,66014feb,United States,,one-off,volcano,FL_17,Firefighters|Donor|Doctors
11/03/2019 07:34,11/03/2019 07:36,0,100,72,1,11/03/2019 07:36,R_1kSqOO35bGPM1Pg,,,,,anonymous,EN-GB,5,4,4,6,4,5,4,2|1|4|3,32,male,5,,"$40,000 to $59,999",3,50000,665e0b52,7957d269,United States,,one-off,healthcare,FL_32,Donor|Firefighters|Doctors
11/03/2019 07:35,11/03/2019 07:36,0,100,46,1,11/03/2019 07:36,R_2e5bwQGCkU5PjPY,,,,,anonymous,EN-GB,5,5,3,4,5,5,4,2|4|3|1,24,female,5,,"$85,000 to $114,999",5,100000,2707dcc1,f9f7e80b,United States,,rule,healthcare,FL_33,Firefighters|Donor|Doctors
11/03/2019 07:33,11/03/2019 07:36,0,100,176,1,11/03/2019 07:36,R_1F9YXdxHMeEdNe5,,,,,anonymous,EN-GB,5,1,1,4,7,7,4,2|4|3|1,27,female,3,,"$25,000 to $39,999",2,32500,11b60840,bc8f8e4e,United States,,rule,healthcare,FL_33,Firefighters|Donor|Doctors
11/03/2019 07:35,11/03/2019 07:37,0,100,101,1,11/03/2019 07:37,R_1cYuCqKiBTLitbU,,,,,anonymous,EN-GB,7,4,7,2,1,7,4,2|1|3|4,32,male,4,,"$10,000 to $24,999",1,17500,7711f604,4902372a,United States,,one-off,healthcare,FL_32,Doctors|Donor|Firefighters
11/03/2019 07:35,11/03/2019 07:37,0,100,115,1,11/03/2019 07:37,R_siefCe6H5JoxbQ5,,,,,anonymous,EN-GB,6,6,5,2,2,5,4,3|4|2|1,23,male,5,,"$60,000 to $84,999",4,72500,c6152949,2284218b,United States,,rule,volcano,FL_18,Donor|Doctors|Firefighters
11/03/2019 07:35,11/03/2019 07:37,0,100,130,1,11/03/2019 07:37,R_BPQnenviWKoLUIh,,,,,anonymous,EN-GB,6,4,4,5,5,5,4,2|4|1|3,35,female,5,,"$25,000 to $39,999",2,32500,d6067973,e273d57f,United States,,rule,healthcare,FL_33,Donor|Doctors|Firefighters
11/03/2019 07:36,11/03/2019 07:37,0,100,66,1,11/03/2019 07:37,R_d0hkHWJBWay7n5D,,,,,anonymous,EN-GB,1,1,1,6,7,7,4,1|2|4|3,29,male,6,,"$25,000 to $39,999",2,32500,4a3ba034,3bcfcb76,United States,,one-off,volcano,FL_17,Firefighters|Donor|Doctors
11/03/2019 07:34,11/03/2019 07:37,0,100,165,1,11/03/2019 07:37,R_3DwHRiHRmEzIElZ,,,,,anonymous,EN-GB,5,4,3,5,5,6,4,4|3|1|2,34,male,5,,"$25,000 to $39,999",2,32500,8aaee89c,089080dc,United States,,one-off,volcano,FL_17,Donor|Firefighters|Doctors
11/03/2019 07:37,11/03/2019 07:37,0,100,24,1,11/03/2019 07:37,R_BtEoJn4QsTbP7gJ,,,,,anonymous,EN-GB,5,5,5,5,5,5,4,3|2|4|1,28,male,2,,"$10,000 to $24,999",1,17500,90c5ccc4,c9c1b139,United States,,one-off,healthcare,FL_32,Doctors|Donor|Firefighters
11/03/2019 07:36,11/03/2019 07:38,0,100,65,1,11/03/2019 07:38,R_3QFW75OKGPDEtl2,,,,,anonymous,EN-GB,6,6,6,7,7,7,4,1|2|4|3,32,male,5,,"$25,000 to $39,999",2,32500,c14332b3,c63f6473,United States,,one-off,volcano,FL_17,Donor|Firefighters|Doctors
11/03/2019 07:35,11/03/2019 07:38,0,100,146,1,11/03/2019 07:38,R_sLGUSm4NPUnx4jf,,,,,anonymous,EN-GB,7,7,7,1,1,7,4,2|4|1|3,35,male,5,,"Less than $9,999",0,5000,d53e4f00,1ab7802d,Philippines,,rule,healthcare,FL_33,Firefighters|Donor|Doctors
11/03/2019 07:37,11/03/2019 07:38,0,100,39,1,11/03/2019 07:38,R_1CJ6uHuTFDfjG0S,,,,,anonymous,EN-GB,4,3,3,5,5,6,4,2|3|1|4,25,male,6,,"$60,000 to $84,999",4,72500,42dc5e7f,ec2e9c5c,United States,,rule,volcano,FL_18,Donor|Doctors|Firefighters
11/03/2019 07:36,11/03/2019 07:38,0,100,103,1,11/03/2019 07:38,R_bPoTyMbwlYnZtYt,,,,,anonymous,EN-GB,5,5,6,3,3,4,2,1|2|3|4,31,other,5,,"$85,000 to $114,999",5,100000,36a9a11c,214d6067,Canada,,rule,volcano,FL_18,Firefighters|Doctors|Donor
11/03/2019 07:38,11/03/2019 07:38,0,100,44,1,11/03/2019 07:38,R_cO6ukqFQlYuJmZb,,,,,anonymous,EN-GB,5,6,5,4,5,6,4,1|3|4|2,32,female,6,,"$25,000 to $39,999",2,32500,bced4236,663bdf6b,United States,,rule,healthcare,FL_33,Doctors|Firefighters|Donor
11/03/2019 07:36,11/03/2019 07:38,0,100,171,1,11/03/2019 07:38,R_1E58pdNKbvYZohh,,,,,anonymous,EN-GB,7,7,7,5,5,5,4,3|1|4|2,34,male,4,,"$10,000 to $24,999",1,17500,748c51aa,83b07f86,United States,,one-off,healthcare,FL_32,Doctors|Firefighters|Donor
11/03/2019 07:35,11/03/2019 07:39,0,100,201,1,11/03/2019 07:39,R_29hbuNaRR16mr4E,,,,,anonymous,EN-GB,4,4,1,6,5,7,4,2|3|1|4,56,female,2,,"$40,000 to $59,999",3,50000,ace2500a,0afed547,United States,,rule,healthcare,FL_33,Donor|Doctors|Firefighters
11/03/2019 07:35,11/03/2019 07:39,0,100,204,1,11/03/2019 07:39,R_1ib7pUP1qajRpkm,,,,,anonymous,EN-GB,3,4,3,6,6,6,4,4|2|1|3,53,female,7,,"$60,000 to $84,999",4,72500,e3dfb2f6,00ff9e2f,United States,,rule,volcano,FL_18,Firefighters|Doctors|Donor
11/03/2019 07:36,11/03/2019 07:39,0,100,149,1,11/03/2019 07:39,R_3HgYns3Txf8RaDL,,,,,anonymous,EN-GB,5,5,4,5,4,6,4,1|3|2|4,35,female,5,,"$25,000 to $39,999",2,32500,92ac6a5e,0e144d38,United States,,one-off,volcano,FL_17,Firefighters|Donor|Doctors
11/03/2019 07:38,11/03/2019 07:40,0,100,127,1,11/03/2019 07:40,R_3K5aGtxc12tnRXH,,,,,anonymous,EN-GB,2,1,4,7,7,7,4,1|4|3|2,27,male,2,,"$115,000 to $149,999",6,132500,705cf1e7,063763cb,United States,,rule,healthcare,FL_33,Firefighters|Doctors|Donor
11/03/2019 07:38,11/03/2019 07:41,0,100,152,1,11/03/2019 07:41,R_A5O8vSl35OxvyWR,,,,,anonymous,EN-GB,7,6,5,3,4,7,4,1|4|3|2,39,male,2,,"$10,000 to $24,999",1,17500,7b45dbaf,a9742586,Philippines,,rule,volcano,FL_18,Doctors|Donor|Firefighters
11/03/2019 07:39,11/03/2019 07:41,0,100,110,1,11/03/2019 07:41,R_2TRXfNoGOxU7x17,,,,,anonymous,EN-GB,2,2,1,6,7,7,4,2|1|4|3,29,female,5,,"Less than $9,999",0,5000,8e8f0f1a,6dda07cb,United States,,rule,volcano,FL_18,Firefighters|Doctors|Donor
11/03/2019 07:38,11/03/2019 07:41,0,100,169,1,11/03/2019 07:41,R_3DbVXPK43G9hdWJ,,,,,anonymous,EN-GB,6,5,5,2,5,6,4,4|2|3|1,52,male,2,,"$60,000 to $84,999",4,72500,bcc64d96,669daaae,United States,,one-off,healthcare,FL_32,Firefighters|Donor|Doctors
11/03/2019 07:40,11/03/2019 07:41,0,100,78,1,11/03/2019 07:41,R_tG1KKB5SWVMA945,,,,,anonymous,EN-GB,6,2,5,5,5,6,4,2|3|1|4,32,male,5,,"$60,000 to $84,999",4,72500,c0a4003f,3764b58e,Philippines,,one-off,healthcare,FL_32,Firefighters|Donor|Doctors
11/03/2019 07:38,11/03/2019 07:41,0,100,159,1,11/03/2019 07:41,R_0SZcoc6cVUgZAuR,,,,,anonymous,EN-GB,1,1,1,7,7,7,4,3|4|2|1,31,male,5,,"$10,000 to $24,999",1,17500,ff365b9f,dacbcd6d,United States,,rule,healthcare,FL_33,Firefighters|Doctors|Donor
11/03/2019 07:39,11/03/2019 07:41,0,100,153,1,11/03/2019 07:41,R_3hEYpe2btnopFfD,,,,,anonymous,EN-GB,6,5,4,3,4,6,4,1|4|2|3,29,female,5,,"$60,000 to $84,999",4,72500,bef6a5d2,0171e524,United States,,one-off,volcano,FL_17,Firefighters|Doctors|Donor
11/03/2019 07:40,11/03/2019 07:42,0,100,94,1,11/03/2019 07:42,R_b2RkrJ4aoGS38Kl,,,,,anonymous,EN-GB,6,5,6,3,3,5,4,4|1|3|2,48,male,6,,"$85,000 to $114,999",5,100000,cda382ba,bc1bffe3,United States,,one-off,healthcare,FL_32,Donor|Firefighters|Doctors
11/03/2019 07:40,11/03/2019 07:43,0,100,175,1,11/03/2019 07:43,R_27y5oj6DbY9BNZp,,,,,anonymous,EN-GB,6,6,6,2,6,5,4,1|2|3|4,49,male,3,,"Less than $9,999",0,5000,17d089ec,22976dae,Philippines,,one-off,volcano,FL_17,Donor|Doctors|Firefighters
11/03/2019 07:42,11/03/2019 07:44,0,100,86,1,11/03/2019 07:44,R_rqdO9wrZb2KQ5oZ,,,,,anonymous,EN-GB,3,4,5,4,2,6,2,1|3|4|2,35,male,5,,"$85,000 to $114,999",5,100000,9b85507f,b823901b,United States,,rule,healthcare,FL_33,Donor|Doctors|Firefighters
11/03/2019 07:42,11/03/2019 07:44,0,100,69,1,11/03/2019 07:44,R_1Kg6MPNZvRCAuiw,,,,,anonymous,EN-GB,5,3,5,5,5,5,4,4|2|3|1,34,female,4,,"$60,000 to $84,999",4,72500,9a149b59,331c3ef3,United States,,rule,volcano,FL_18,Doctors|Firefighters|Donor
11/03/2019 07:42,11/03/2019 07:44,0,100,116,1,11/03/2019 07:44,R_Uo9yvCRwjgWHLQ5,,,,,anonymous,EN-GB,3,3,3,6,6,6,4,4|3|1|2,64,male,5,,"$25,000 to $39,999",2,32500,be0af0a6,8c448235,United States,,one-off,healthcare,FL_32,Doctors|Donor|Firefighters
11/03/2019 07:41,11/03/2019 07:45,0,100,242,1,11/03/2019 07:45,R_dn8ApMsfzkB1xV7,,,,,anonymous,EN-GB,3,4,4,5,6,6,4,4|2|1|3,45,male,3,,"$25,000 to $39,999",2,32500,e6afe972,af8fac54,United States,,rule,volcano,FL_18,Donor|Doctors|Firefighters
11/03/2019 07:45,11/03/2019 07:45,0,100,44,1,11/03/2019 07:45,R_3ekoec1gEzmsAK8,,,,,anonymous,EN-GB,5,4,5,5,3,6,4,4|2|3|1,52,female,6,,"$25,000 to $39,999",2,32500,54ed53f8,4a57a2fe,United States,,one-off,volcano,FL_17,Donor|Firefighters|Doctors
11/03/2019 07:46,11/03/2019 07:47,0,100,79,1,11/03/2019 07:47,R_1f9jLfvZvWbQ9fT,,,,,anonymous,EN-GB,4,3,1,7,6,6,4,3|1|4|2,23,male,5,,"$25,000 to $39,999",2,32500,30bbbe10,e0ea9e3c,United States,,rule,healthcare,FL_33,Firefighters|Doctors|Donor
11/03/2019 07:46,11/03/2019 07:47,0,100,60,1,11/03/2019 07:47,R_2WvZgrV9bpTESbz,,,,,anonymous,EN-GB,6,6,6,6,5,6,1,4|2|3|1,29,female,5,,"$60,000 to $84,999",4,72500,704f2398,dca684a1,United States,,rule,volcano,FL_18,Donor|Firefighters|Doctors
11/03/2019 07:47,11/03/2019 07:48,0,100,89,1,11/03/2019 07:48,R_3oMw4B9AQX9F40l,,,,,anonymous,EN-GB,4,4,3,5,6,6,4,2|1|3|4,45,male,3,,"$25,000 to $39,999",2,32500,e6afe972,4f77512f,United States,,one-off,healthcare,FL_32,Firefighters|Donor|Doctors
11/03/2019 07:48,11/03/2019 07:49,0,100,37,1,11/03/2019 07:49,R_2VftisOuxVo9WVw,,,,,anonymous,EN-GB,4,4,2,5,7,7,4,4|3|1|2,23,male,5,,"$25,000 to $39,999",2,32500,30bbbe10,e0ea9e3c,United States,,rule,volcano,FL_18,Firefighters|Donor|Doctors
11/03/2019 07:47,11/03/2019 07:49,0,100,89,1,11/03/2019 07:49,R_D2e6MidGajdW2pH,,,,,anonymous,EN-GB,3,3,4,6,5,5,4,4|3|1|2,33,male,5,,"$200,000 or more",8,225000,10c2ec21,3d0e9574,United States,,rule,healthcare,FL_33,Donor|Firefighters|Doctors
11/03/2019 07:46,11/03/2019 07:50,0,100,253,1,11/03/2019 07:50,R_1osXPtjUq3j9FXn,,,,,anonymous,EN-GB,1,1,1,7,7,7,4,4|3|1|2,70,female,2,,"$10,000 to $24,999",1,17500,8802c13e,2a3c8a4a,United States,,rule,volcano,FL_18,Donor|Firefighters|Doctors
11/03/2019 07:48,11/03/2019 07:50,0,100,168,1,11/03/2019 07:50,R_5ARDC2UkMTrOtQl,,,,,anonymous,EN-GB,5,2,2,6,6,6,4,2|1|3|4,57,female,5,,"$60,000 to $84,999",4,72500,c969dcd8,49299bb0,United States,,one-off,volcano,FL_17,Doctors|Firefighters|Donor
11/03/2019 07:50,11/03/2019 07:52,0,100,115,1,11/03/2019 07:52,R_SOUt8HyDPpmDDPz,,,,,anonymous,EN-GB,2,2,2,4,5,6,4,4|2|1|3,42,male,3,,"Less than $9,999",0,5000,9d5605fe,de12793f,United States,,rule,healthcare,FL_33,Doctors|Firefighters|Donor
11/03/2019 07:51,11/03/2019 07:53,0,100,114,1,11/03/2019 07:53,R_32Xjmt3zncogRzw,,,,,anonymous,EN-GB,6,7,5,4,5,6,4,2|3|1|4,22,female,5,,"$10,000 to $24,999",1,17500,8687ec69,f99c634e,United States,,one-off,volcano,FL_17,Doctors|Firefighters|Donor
11/03/2019 07:51,11/03/2019 07:53,0,100,90,1,11/03/2019 07:53,R_27vP4dN242xn2EZ,,,,,anonymous,EN-GB,6,7,5,5,6,7,4,2|4|1|3,37,male,6,,"$25,000 to $39,999",2,32500,ce2f6af8,6677e17b,India,,rule,volcano,FL_18,Doctors|Donor|Firefighters
11/03/2019 07:51,11/03/2019 07:53,0,100,97,1,11/03/2019 07:53,R_2D2KxscKbsVEJjv,,,,,anonymous,EN-GB,6,6,6,4,4,6,4,2|4|3|1,36,female,4,,"$85,000 to $114,999",5,100000,231a8a09,b98501d0,United States,,rule,healthcare,FL_33,Doctors|Donor|Firefighters
11/03/2019 07:51,11/03/2019 07:53,0,100,156,1,11/03/2019 07:53,R_3JF8qXUZHCwEWHN,,,,,anonymous,EN-GB,5,3,5,5,6,6,4,1|4|3|2,39,male,5,,"$60,000 to $84,999",4,72500,d4722cda,ba1b4248,United States,,one-off,healthcare,FL_32,Firefighters|Doctors|Donor
11/03/2019 07:52,11/03/2019 07:54,0,100,108,1,11/03/2019 07:54,R_1Ii7VcazUyImzJX,,,,,anonymous,EN-GB,6,6,6,4,5,7,4,3|1|2|4,37,male,8,,"$85,000 to $114,999",5,100000,57331016,158423c0,United States,,one-off,volcano,FL_17,Firefighters|Doctors|Donor
11/03/2019 07:42,11/03/2019 07:55,0,100,743,1,11/03/2019 07:55,R_u9WfELyA8MuTKLv,,,,,anonymous,EN-GB,7,7,7,7,1,7,4,1|2|3|4,38,male,5,,"$40,000 to $59,999",3,50000,a9b32363,b1d31b11,Kenya,,one-off,healthcare,FL_32,Donor|Doctors|Firefighters
11/03/2019 07:54,11/03/2019 07:55,0,100,83,1,11/03/2019 07:55,R_2TAHXYeKeCc8CNS,,,,,anonymous,EN-GB,2,2,2,7,7,6,4,1|2|4|3,23,female,2,,"$10,000 to $24,999",1,17500,c8ead098,6817eca1,United States,,rule,healthcare,FL_33,Doctors|Donor|Firefighters
