"StartDate","EndDate","Impact","Counterfactual measure","mcheck_late","Gender","AGE_1","Timing","Counterfactual thinking"
18247,18247,5,7,3,1,32.0,"Early","Induced"
18247,18247,7,7,7,2,37.0,"Late","Induced"
18247,18247,7,7,7,1,29.0,"Late","Induced"
18247,18247,6,6,3,1,28.0,"Early","Induced"
18247,18247,3,6,2,1,30.0,"Early","Not induced"
18247,18247,5,6,5,2,25.0,"Early","Not induced"
18247,18247,7,7,7,1,38.0,"Late","Not induced"
18247,18247,2,7,7,2,38.0,"Late","Induced"
18247,18247,7,7,7,2,43.0,"Late","Induced"
18247,18247,7,7,7,1,21.0,"Late","Not induced"
18247,18247,7,7,7,2,42.0,"Late","Not induced"
18247,18247,4,7,2,1,27.0,"Early","Not induced"
18247,18247,7,7,7,1,33.0,"Late","Induced"
18247,18247,7,7,7,2,35.0,"Late","Induced"
18247,18247,7,7,7,2,60.0,"Late","Not induced"
18247,18247,4,3,5,1,35.0,"Early","Not induced"
18247,18247,4,6,5,2,43.0,"Late","Not induced"
18247,18247,6,7,6,1,40.0,"Late","Not induced"
18247,18247,5,5,5,1,31.0,"Late","Not induced"
18247,18247,6,5,7,1,55.0,"Late","Induced"
18247,18247,2,2,1,2,29.0,"Late","Induced"
18247,18247,7,7,7,2,51.0,"Late","Induced"
18247,18247,5,5,3,2,40.0,"Early","Not induced"
18247,18247,2,1,3,1,38.0,"Early","Not induced"
18247,18247,1,2,1,1,50.0,"Early","Not induced"
18247,18247,7,7,4,2,42.0,"Early","Induced"
18247,18247,6,6,3,1,55.0,"Early","Not induced"
18247,18247,1,7,3,1,36.0,"Early","Induced"
18247,18247,6,2,7,1,26.0,"Late","Induced"
18247,18247,6,7,6,2,25.0,"Late","Induced"
18247,18247,5,7,7,1,45.0,"Late","Not induced"
18247,18247,3,3,3,1,40.0,"Early","Not induced"
18247,18247,2,1,7,2,57.0,"Late","Induced"
18247,18247,4,6,3,2,29.0,"Early","Not induced"
18247,18247,3,5,7,1,33.0,"Late","Not induced"
18247,18247,6,3,6,1,56.0,"Early","Induced"
18247,18247,5,7,2,1,35.0,"Early","Not induced"
18247,18247,1,1,3,1,30.0,"Early","Not induced"
18247,18247,1,7,7,1,48.0,"Late","Induced"
18247,18247,6,5,6,1,91.0,"Late","Not induced"
18247,18247,5,4,2,1,39.0,"Early","Not induced"
18247,18247,5,6,5,2,25.0,"Early","Induced"
18247,18247,4,5,5,2,27.0,"Late","Induced"
18247,18247,5,4,2,1,32.0,"Early","Induced"
18247,18247,1,1,2,1,26.0,"Early","Induced"
18247,18247,1,1,1,2,33.0,"Early","Not induced"
18247,18247,7,5,6,1,27.0,"Late","Not induced"
18247,18247,5,7,2,2,29.0,"Early","Induced"
18247,18247,4,4,2,2,45.0,"Early","Not induced"
18247,18247,6,5,3,2,46.0,"Early","Not induced"
18247,18247,7,4,7,1,26.0,"Late","Induced"
18247,18247,5,1,3,1,51.0,"Early","Induced"
18247,18247,7,7,7,2,24.0,"Late","Induced"
18247,18247,5,7,4,1,31.0,"Late","Induced"
18247,18247,6,7,6,2,58.0,"Late","Not induced"
18247,18247,2,5,2,1,57.0,"Early","Not induced"
18247,18247,6,5,6,2,30.0,"Early","Induced"
18247,18247,2,6,2,2,50.0,"Early","Induced"
18247,18247,7,5,2,2,65.0,"Early","Not induced"
18247,18247,5,5,7,1,32.0,"Late","Induced"
18247,18247,4,4,7,1,53.0,"Late","Induced"
18247,18247,6,7,4,1,20.0,"Late","Induced"
18247,18247,7,7,7,2,54.0,"Late","Induced"
18247,18247,7,7,6,2,98.0,"Late","Not induced"
18247,18247,5,6,2,1,30.0,"Early","Not induced"
18247,18247,2,3,3,1,31.0,"Early","Not induced"
18247,18247,7,2,6,2,32.0,"Early","Not induced"
18247,18247,3,6,1,2,42.0,"Early","Not induced"
18247,18247,5,1,7,1,35.0,"Late","Not induced"
18247,18247,7,7,7,2,41.0,"Early","Induced"
18247,18247,3,5,7,2,35.0,"Late","Not induced"
18247,18247,6,5,5,1,28.0,"Early","Induced"
18247,18247,7,4,7,2,49.0,"Late","Not induced"
18247,18247,7,6,3,2,65.0,"Early","Not induced"
18247,18247,4,4,3,1,42.0,"Early","Induced"
18247,18247,6,7,7,2,34.0,"Late","Induced"
18247,18247,7,7,7,2,45.0,"Late","Induced"
18247,18247,3,5,2,1,32.0,"Early","Not induced"
18247,18247,7,3,7,1,30.0,"Late","Not induced"
18247,18247,3,6,5,1,28.0,"Early","Not induced"
18247,18247,5,4,5,2,28.0,"Early","Not induced"
18247,18247,3,5,2,2,46.0,"Early","Not induced"
18247,18247,4,4,4,1,42.0,"Early","Induced"
18247,18247,2,6,2,1,55.0,"Early","Induced"
18247,18247,6,7,7,1,36.0,"Late","Induced"
18247,18247,5,7,7,1,29.0,"Late","Induced"
18247,18247,2,2,3,1,42.0,"Early","Induced"
18247,18247,5,5,5,2,48.0,"Early","Induced"
18247,18247,7,7,7,1,25.0,"Late","Induced"
18247,18247,2,5,2,2,42.0,"Early","Not induced"
18247,18247,6,7,6,2,30.0,"Early","Not induced"
18247,18247,7,7,2,2,59.0,"Early","Induced"
18247,18247,3,5,2,1,29.0,"Early","Not induced"
18247,18247,7,1,4,2,32.0,"Early","Induced"
18247,18247,5,5,3,1,29.0,"Early","Induced"
18247,18247,7,7,7,2,34.0,"Late","Induced"
18247,18247,5,4,6,1,36.0,"Late","Not induced"
18247,18247,5,6,7,2,24.0,"Late","Not induced"
18247,18247,6,1,5,2,31.0,"Early","Not induced"
18247,18247,5,4,6,1,30.0,"Early","Not induced"
18247,18247,3,6,2,1,21.0,"Early","Not induced"
18247,18247,4,5,2,1,31.0,"Early","Induced"
18247,18247,6,4,6,1,63.0,"Late","Induced"
18247,18247,4,6,3,2,39.0,"Early","Induced"
18247,18247,2,6,7,1,33.0,"Late","Not induced"
18247,18247,7,7,7,2,23.0,"Late","Induced"
18247,18247,6,4,5,1,33.0,"Early","Not induced"
18247,18247,6,7,6,2,32.0,"Late","Not induced"
18247,18247,7,7,7,2,56.0,"Late","Induced"
18247,18247,4,6,7,2,32.0,"Late","Induced"
18247,18247,7,7,3,1,25.0,"Early","Induced"
18247,18247,7,2,7,1,48.0,"Late","Not induced"
18247,18247,6,6,7,2,31.0,"Late","Not induced"
18247,18247,7,7,7,1,43.0,"Late","Not induced"
18247,18247,3,4,7,1,31.0,"Late","Not induced"
18247,18247,6,7,3,1,28.0,"Early","Not induced"
18247,18247,7,1,7,1,35.0,"Late","Induced"
18247,18247,4,5,2,1,46.0,"Early","Induced"
18247,18247,6,5,6,1,27.0,"Early","Not induced"
18247,18247,1,6,2,1,32.0,"Early","Not induced"
18247,18247,3,4,2,1,45.0,"Early","Induced"
18247,18247,5,6,7,1,36.0,"Late","Not induced"
18247,18247,1,4,7,1,25.0,"Late","Not induced"
18247,18247,6,6,6,1,35.0,"Late","Induced"
18247,18247,4,5,2,1,47.0,"Early","Not induced"
18247,18247,7,7,3,1,26.0,"Early","Induced"
18247,18247,3,7,6,2,58.0,"Late","Not induced"
18247,18247,7,2,7,2,49.0,"Late","Not induced"
18247,18247,7,7,7,1,31.0,"Late","Induced"
18247,18247,6,5,7,1,41.0,"Late","Not induced"
18247,18247,7,1,7,1,40.0,"Late","Induced"
18247,18247,7,4,7,2,36.0,"Late","Induced"
18247,18247,4,2,2,1,52.0,"Early","Not induced"
18247,18247,7,7,7,2,66.0,"Late","Induced"
18247,18247,7,5,7,2,56.0,"Late","Not induced"
18247,18247,5,1,3,2,37.0,"Early","Not induced"
18247,18247,7,7,7,2,35.0,"Late","Induced"
18247,18247,4,6,6,2,40.0,"Early","Not induced"
18247,18247,6,6,7,2,47.0,"Late","Induced"
18247,18247,6,2,7,2,48.0,"Late","Not induced"
18247,18247,7,1,7,1,59.0,"Late","Induced"
18247,18247,5,6,7,1,26.0,"Late","Not induced"
18247,18247,6,6,7,2,48.0,"Late","Induced"
18247,18247,1,7,2,1,44.0,"Early","Not induced"
18247,18247,6,4,6,1,60.0,"Early","Induced"
18247,18247,5,4,7,2,38.0,"Late","Not induced"
18247,18247,6,5,6,1,32.0,"Late","Not induced"
18247,18247,6,6,6,1,26.0,"Late","Induced"
18247,18247,5,3,4,2,36.0,"Early","Not induced"
18247,18247,6,6,7,2,42.0,"Late","Not induced"
18247,18247,4,2,1,2,46.0,"Early","Induced"
18247,18247,2,6,2,1,31.0,"Early","Induced"
18247,18247,4,4,3,2,52.0,"Early","Not induced"
18247,18247,5,4,5,2,26.0,"Late","Not induced"
18247,18247,3,2,3,1,31.0,"Early","Not induced"
18247,18247,4,4,3,2,34.0,"Early","Induced"
18247,18247,5,7,4,1,41.0,"Early","Induced"
18247,18247,4,3,5,1,36.0,"Early","Induced"
18247,18247,7,5,7,2,37.0,"Late","Induced"
18247,18247,5,3,2,2,36.0,"Early","Induced"
18247,18247,6,6,7,2,28.0,"Early","Induced"
18247,18247,6,6,6,1,29.0,"Early","Not induced"
18247,18247,6,5,7,1,25.0,"Late","Not induced"
18247,18247,4,7,4,1,32.0,"Early","Induced"
18247,18247,5,6,2,2,43.0,"Early","Not induced"
18247,18247,6,5,3,2,54.0,"Early","Induced"
18247,18247,7,6,7,1,29.0,"Late","Induced"
18247,18247,7,7,7,1,46.0,"Late","Not induced"
18247,18247,7,7,6,1,24.0,"Late","Induced"
18247,18247,2,3,2,1,30.0,"Early","Not induced"
18247,18247,2,3,4,1,34.0,"Early","Not induced"
18247,18247,7,5,7,1,34.0,"Late","Induced"
18247,18247,7,7,3,2,39.0,"Early","Not induced"
18247,18247,5,5,5,1,44.0,"Late","Induced"
18247,18247,7,5,7,1,21.0,"Late","Induced"
18247,18247,5,6,7,1,49.0,"Late","Induced"
18247,18247,5,4,5,1,32.0,"Early","Induced"
18247,18247,4,2,2,1,41.0,"Early","Not induced"
18247,18247,7,7,3,2,46.0,"Early","Not induced"
18247,18247,6,7,7,2,30.0,"Late","Not induced"
18247,18247,6,7,6,1,32.0,"Late","Not induced"
18247,18247,6,6,7,2,30.0,"Late","Induced"
18247,18247,5,5,2,2,33.0,"Early","Not induced"
18247,18247,4,3,3,1,32.0,"Late","Not induced"
18247,18247,4,5,2,1,34.0,"Early","Not induced"
18247,18247,7,7,2,2,62.0,"Early","Induced"
18247,18247,1,1,2,1,29.0,"Early","Not induced"
18247,18247,7,7,7,2,44.0,"Late","Not induced"
18247,18247,5,2,2,1,40.0,"Early","Not induced"
18247,18247,7,7,3,2,50.0,"Early","Not induced"
18247,18247,5,6,5,2,29.0,"Early","Not induced"
18247,18247,5,5,4,2,40.0,"Early","Not induced"
18247,18247,2,1,7,2,23.0,"Late","Not induced"
18247,18247,6,7,7,2,48.0,"Late","Not induced"
18247,18247,7,7,7,2,41.0,"Late","Induced"
18247,18247,7,2,7,2,30.0,"Late","Induced"
18247,18247,3,7,2,1,30.0,"Early","Induced"
18247,18247,4,6,4,2,33.0,"Early","Not induced"
18247,18247,7,7,7,2,30.0,"Late","Induced"
18247,18247,7,7,7,2,30.0,"Late","Induced"
18247,18247,6,7,6,1,26.0,"Late","Induced"
18247,18247,7,7,2,2,36.0,"Early","Not induced"
18247,18247,4,2,3,2,29.0,"Early","Not induced"
18247,18247,1,1,2,1,52.0,"Early","Induced"
18247,18247,7,6,7,1,35.0,"Early","Not induced"
18247,18247,7,2,7,1,59.0,"Late","Not induced"
18247,18247,6,6,2,1,63.0,"Early","Induced"
18247,18247,6,7,7,2,54.0,"Late","Induced"
18247,18247,4,7,3,1,41.0,"Early","Induced"
18247,18247,4,7,7,2,40.0,"Late","Not induced"
18247,18247,1,1,1,1,54.0,"Early","Not induced"
18247,18247,2,3,2,1,21.0,"Early","Not induced"
18247,18247,7,7,7,2,27.0,"Early","Induced"
18247,18247,6,6,7,1,52.0,"Late","Not induced"
18247,18247,2,4,3,1,36.0,"Early","Not induced"
18247,18247,6,3,3,2,26.0,"Early","Not induced"
18247,18247,7,5,7,2,19.0,"Late","Not induced"
18247,18247,7,2,7,2,55.0,"Late","Not induced"
18247,18247,7,7,7,1,38.0,"Late","Not induced"
18247,18247,5,6,4,1,22.0,"Early","Induced"
18247,18247,6,7,5,2,38.0,"Early","Induced"
18247,18247,7,7,2,2,35.0,"Early","Induced"
18247,18247,7,3,6,1,64.0,"Late","Induced"
18247,18247,6,5,7,1,48.0,"Late","Induced"
18247,18247,4,5,3,1,55.0,"Early","Not induced"
18247,18247,5,6,3,2,53.0,"Early","Not induced"
18247,18247,7,6,7,1,35.0,"Early","Induced"
18247,18247,6,6,7,1,32.0,"Late","Induced"
18247,18247,1,1,3,2,35.0,"Early","Not induced"
18247,18247,4,5,3,1,24.0,"Early","Not induced"
18247,18247,4,5,2,2,45.0,"Early","Not induced"
18247,18247,6,7,7,2,33.0,"Late","Not induced"
18247,18247,6,5,3,1,29.0,"Early","Induced"
18247,18247,5,6,5,1,34.0,"Early","Not induced"
18247,18247,2,4,3,2,56.0,"Early","Induced"
18247,18247,7,7,7,2,40.0,"Late","Not induced"
18247,18247,7,1,6,2,55.0,"Early","Not induced"
18247,18247,7,7,3,1,26.0,"Early","Induced"
18247,18247,5,3,3,1,29.0,"Early","Not induced"
18247,18247,6,7,5,2,31.0,"Early","Not induced"
18247,18247,6,5,7,1,56.0,"Late","Not induced"
18247,18247,6,7,7,2,60.0,"Late","Induced"
18247,18247,4,7,3,1,34.0,"Early","Induced"
18247,18247,2,5,7,1,31.0,"Late","Induced"
18247,18247,5,4,3,2,29.0,"Early","Induced"
18247,18247,6,5,6,1,35.0,"Late","Not induced"
18247,18247,7,7,7,2,22.0,"Late","Induced"
18247,18247,7,1,2,2,35.0,"Early","Induced"
18247,18247,3,2,1,2,39.0,"Early","Not induced"
18247,18247,1,2,2,1,38.0,"Early","Induced"
18247,18247,7,7,3,1,30.0,"Early","Induced"
18247,18247,7,7,7,1,32.0,"Late","Induced"
18247,18247,6,1,3,2,39.0,"Early","Not induced"
18247,18247,6,7,7,2,27.0,"Late","Not induced"
18247,18247,2,7,7,1,28.0,"Late","Induced"
18247,18247,6,4,7,1,28.0,"Early","Induced"
18247,18247,7,7,3,1,36.0,"Early","Induced"
18247,18247,7,7,7,2,57.0,"Late","Induced"
18247,18247,7,6,7,1,31.0,"Late","Not induced"
18247,18247,5,4,5,2,37.0,"Early","Induced"
18247,18247,6,7,7,1,82.0,"Late","Induced"
18247,18247,2,6,3,1,25.0,"Early","Not induced"
18247,18247,7,7,7,1,29.0,"Late","Induced"
18247,18247,7,2,7,2,50.0,"Late","Induced"
18247,18247,6,7,7,2,48.0,"Late","Not induced"
18247,18247,5,5,6,1,41.0,"Late","Not induced"
18247,18247,7,6,7,1,58.0,"Late","Not induced"
18247,18247,6,6,2,1,34.0,"Early","Induced"
18247,18247,4,5,7,2,34.0,"Late","Induced"
18247,18247,2,1,3,1,36.0,"Early","Not induced"
18247,18247,7,6,5,1,29.0,"Late","Not induced"
18247,18247,7,1,7,1,65.0,"Late","Induced"
18247,18247,4,1,2,2,69.0,"Early","Not induced"
18247,18247,7,3,3,2,31.0,"Early","Induced"
18247,18247,5,4,4,1,32.0,"Late","Induced"
18247,18247,7,7,7,2,31.0,"Late","Not induced"
18247,18247,5,3,7,1,32.0,"Late","Not induced"
18247,18247,6,6,7,2,42.0,"Late","Induced"
18247,18247,6,7,7,2,44.0,"Late","Not induced"
18247,18247,7,5,7,2,37.0,"Late","Induced"
18247,18247,6,5,5,1,32.0,"Late","Induced"
18247,18247,6,6,7,1,55.0,"Late","Not induced"
18247,18247,5,6,5,1,28.0,"Late","Not induced"
18247,18247,6,7,7,2,22.0,"Late","Not induced"
18247,18247,1,5,2,2,27.0,"Early","Not induced"
18247,18247,6,6,7,2,54.0,"Late","Induced"
18247,18247,1,7,7,2,44.0,"Late","Not induced"
18247,18247,5,7,4,2,27.0,"Early","Not induced"
18247,18247,6,5,7,2,42.0,"Early","Not induced"
18247,18247,5,5,7,1,36.0,"Late","Induced"
18247,18247,4,4,1,1,26.0,"Early","Induced"
18247,18247,5,7,3,1,66.0,"Early","Induced"
18247,18247,6,6,2,2,29.0,"Early","Not induced"
18247,18247,6,7,6,1,29.0,"Early","Induced"
18247,18247,7,4,4,2,42.0,"Late","Induced"
18247,18247,6,6,7,1,42.0,"Late","Not induced"
18247,18247,6,5,5,1,42.0,"Late","Not induced"
18247,18247,6,5,6,2,25.0,"Early","Not induced"
18247,18247,3,5,7,1,29.0,"Late","Induced"
18247,18247,3,1,3,1,54.0,"Early","Not induced"
18247,18247,4,7,3,1,46.0,"Early","Induced"
18247,18247,3,5,4,2,26.0,"Late","Induced"
18247,18247,7,7,7,2,27.0,"Late","Not induced"
18247,18247,7,7,7,1,44.0,"Late","Induced"
18247,18247,6,7,2,2,29.0,"Early","Induced"
18247,18247,3,5,3,2,31.0,"Early","Induced"
18247,18247,5,6,7,2,31.0,"Late","Not induced"
18247,18247,5,6,7,1,34.0,"Late","Induced"
18247,18247,5,3,3,2,50.0,"Early","Not induced"
18247,18247,7,7,3,2,49.0,"Early","Induced"
18247,18247,7,1,7,2,55.0,"Late","Induced"
18247,18247,7,7,7,2,36.0,"Late","Induced"
18247,18247,5,7,4,2,76.0,"Early","Not induced"
18247,18247,1,5,2,2,35.0,"Early","Not induced"
18247,18247,7,6,7,1,78.0,"Late","Induced"
18247,18247,7,7,7,2,35.0,"Late","Not induced"
18247,18247,2,1,3,2,36.0,"Early","Not induced"
18247,18247,7,7,7,2,44.0,"Late","Induced"
18247,18247,7,7,7,2,46.0,"Late","Induced"
18247,18247,4,5,4,2,41.0,"Early","Not induced"
18247,18247,5,5,7,2,36.0,"Late","Not induced"
18247,18247,5,5,6,1,25.0,"Late","Not induced"
18247,18247,6,5,7,1,30.0,"Late","Induced"
18247,18247,7,2,3,1,48.0,"Early","Induced"
18247,18247,7,4,5,2,31.0,"Early","Induced"
18247,18247,2,2,2,1,46.0,"Early","Not induced"
18247,18247,7,7,7,2,42.0,"Late","Induced"
18247,18247,6,7,6,1,35.0,"Early","Not induced"
18247,18247,2,3,3,1,66.0,"Early","Not induced"
18247,18247,6,7,3,2,57.0,"Early","Induced"
18247,18247,1,1,3,1,40.0,"Early","Not induced"
18247,18247,5,5,3,2,45.0,"Early","Not induced"
18247,18247,7,7,7,1,45.0,"Late","Induced"
18247,18247,5,4,7,2,40.0,"Late","Induced"
18247,18247,3,5,3,2,51.0,"Early","Not induced"
18247,18247,7,7,7,1,22.0,"Late","Induced"
18247,18247,3,4,4,1,32.0,"Early","Induced"
18247,18247,7,7,7,2,34.0,"Late","Induced"
18247,18247,6,2,7,2,30.0,"Late","Not induced"
18247,18247,5,7,2,1,38.0,"Early","Not induced"
18247,18247,7,5,7,1,40.0,"Late","Induced"
18247,18247,7,5,7,1,24.0,"Late","Not induced"
18247,18247,6,7,7,1,49.0,"Late","Induced"
18247,18247,6,6,3,2,26.0,"Early","Not induced"
18247,18247,5,6,7,1,33.0,"Late","Induced"
18247,18247,6,7,2,2,61.0,"Early","Induced"
18247,18247,4,2,3,1,67.0,"Early","Not induced"
18247,18247,5,7,7,2,41.0,"Late","Induced"
18247,18247,7,7,7,1,31.0,"Early","Not induced"
18247,18247,7,7,7,1,33.0,"Late","Induced"
18247,18247,5,7,3,2,37.0,"Early","Induced"
18247,18247,5,2,3,1,40.0,"Early","Not induced"
18247,18247,7,6,7,1,34.0,"Late","Induced"
18247,18247,5,6,3,2,28.0,"Early","Not induced"
18247,18247,2,1,3,1,21.0,"Early","Not induced"
18247,18247,3,5,3,1,50.0,"Early","Not induced"
18247,18247,7,7,7,2,48.0,"Late","Induced"
18247,18247,7,7,4,1,47.0,"Early","Induced"
18247,18247,6,7,6,1,26.0,"Late","Not induced"
18247,18247,4,5,3,2,28.0,"Early","Induced"
18247,18247,2,1,3,1,24.0,"Early","Induced"
18247,18247,1,7,7,2,41.0,"Late","Induced"
18247,18247,4,6,2,1,26.0,"Early","Not induced"
18247,18247,5,7,2,2,33.0,"Early","Induced"
18247,18247,1,7,7,1,44.0,"Late","Induced"
18247,18247,6,6,7,1,57.0,"Late","Induced"
18247,18247,7,6,3,2,26.0,"Early","Not induced"
18247,18247,7,6,5,2,29.0,"Late","Induced"
18247,18247,4,1,3,1,28.0,"Early","Not induced"
18247,18247,7,1,2,2,55.0,"Early","Induced"
18247,18247,5,4,6,1,32.0,"Early","Induced"
18247,18247,5,7,3,2,61.0,"Early","Induced"
18247,18247,7,1,7,2,55.0,"Late","Not induced"
18247,18247,6,5,5,2,28.0,"Late","Not induced"
18247,18247,7,5,7,1,60.0,"Late","Not induced"
18247,18247,2,3,2,1,36.0,"Early","Not induced"
18247,18247,4,6,2,1,43.0,"Early","Not induced"
18247,18247,7,7,7,1,25.0,"Late","Not induced"
18247,18247,5,4,7,1,36.0,"Late","Not induced"
18247,18247,7,7,2,1,31.0,"Early","Not induced"
18247,18247,2,6,2,2,42.0,"Early","Induced"
18247,18247,4,3,1,2,36.0,"Early","Not induced"
18247,18247,2,5,4,2,30.0,"Early","Not induced"
18247,18247,7,7,3,2,53.0,"Early","Induced"
18247,18247,7,7,2,2,57.0,"Early","Induced"
18247,18247,1,7,7,2,56.0,"Late","Induced"
18247,18247,7,4,7,2,58.0,"Late","Not induced"
18247,18247,6,5,6,2,30.0,"Late","Induced"
18247,18247,7,7,7,1,32.0,"Late","Not induced"
18247,18247,7,6,7,1,21.0,"Late","Induced"
18247,18247,7,7,2,2,49.0,"Early","Induced"
18247,18247,5,7,7,2,25.0,"Late","Induced"
18247,18247,6,5,6,1,22.0,"Late","Induced"
18247,18247,4,5,6,1,27.0,"Early","Not induced"
18247,18247,6,6,7,2,57.0,"Late","Induced"
18247,18247,5,5,7,1,29.0,"Late","Induced"
18247,18247,6,7,7,2,37.0,"Early","Not induced"
18247,18247,7,6,7,1,25.0,"Late","Not induced"
18247,18247,6,4,5,2,37.0,"Late","Induced"
18247,18247,7,7,7,2,29.0,"Late","Induced"
18247,18247,2,7,4,1,64.0,"Early","Induced"
18247,18247,5,2,3,2,22.0,"Early","Not induced"
18247,18247,5,5,3,2,41.0,"Early","Not induced"
18247,18247,6,6,3,2,31.0,"Early","Not induced"
18247,18247,6,7,7,2,40.0,"Late","Not induced"
18247,18247,7,6,7,2,45.0,"Late","Induced"
18247,18247,7,7,3,2,37.0,"Early","Not induced"
18247,18247,7,7,7,2,42.0,"Late","Induced"
18247,18247,4,1,2,2,39.0,"Early","Not induced"
18247,18247,1,1,4,2,40.0,"Early","Not induced"
18247,18247,7,2,7,2,37.0,"Late","Induced"
18247,18247,7,5,6,2,42.0,"Late","Not induced"
18247,18247,2,6,2,2,28.0,"Early","Induced"
18247,18247,6,5,3,2,63.0,"Early","Induced"
18247,18247,7,7,7,1,25.0,"Late","Induced"
18247,18247,3,5,3,1,29.0,"Early","Not induced"
18247,18247,3,7,6,2,22.0,"Early","Induced"
18247,18247,7,6,6,1,30.0,"Early","Induced"
18247,18247,1,2,3,1,19.0,"Early","Not induced"
18247,18247,6,5,7,2,38.0,"Late","Not induced"
18247,18247,2,7,3,2,53.0,"Early","Not induced"
18247,18247,6,4,7,1,45.0,"Late","Induced"
18247,18247,5,5,2,1,58.0,"Early","Not induced"
18247,18247,4,5,7,2,42.0,"Late","Not induced"
18247,18247,5,6,7,2,28.0,"Early","Induced"
18247,18247,1,7,2,2,64.0,"Early","Induced"
18247,18247,4,6,3,1,34.0,"Early","Induced"
18247,18247,4,4,4,1,32.0,"Early","Induced"
18247,18247,7,6,7,2,28.0,"Late","Not induced"
18247,18247,6,7,2,2,30.0,"Early","Induced"
18247,18247,6,7,7,1,58.0,"Late","Not induced"
