age,Ethnicity..Simplified.,Highest.education.level.completed,Household.Income..USD...US.participants.only.,Sex,ideo,pid,ts_1,ts_2,ts_3,ts_4,ts_5,ts_6,ts_7,nfclosure_1,nfclosure_2,nfclosure_3,nfclosure_4,nfclosure_5,nfclosure_6,auth1,auth2,auth3,auth4,sdo_1,sdo_2,sdo_3,sdo_4,sdo_5,sdo_6,sdo_7,sdo_8,pb_1,pb_2,pb_3,pb_4,pb_5,pb_6,panic_b,gov_effect_1,gov_effect_2,gov_effect_3,seri_you_1.x,State,range,Number_of_cases_in_their_state,community.transmision,nfcl2_1,nfcl2_2,nfcl2_3,nfcl2_4,nfcl2_5,nfcl2_6,nfcl2_7,nfcl2_8,nfcl2_9,NaID_1,NaID_2,NaID_3,NaID_4,RaceID_1,RaceID_2,RaceID_3,RaceID_4,nfcog_1,nfcog_2,nfcog_3,nfcog_4,nfcog_5,nfcog_6,seri_you_1.y,covid_consp_1,covid_consp_2,covid_consp_3,pb_w2_1,pb_w2_2,pb_w2_3,pb_w2_4,pb_w2_5,pb_w2_6
26,White,Undergraduate degree (BA/BSc/other),$60000–$69999,Male,2,2,5,4,3,5,3,4,2,2,3,2,4,4,3,2,1,2,2,4,2,6,6,2,2,6,6,3,2,1,1,1,1,2,2,6,4,1,Illinois,1001 to 5000,1535,"Yes, widespread",2,2,3,4,4,5,2,6,4,5,3,3,5,5,3,1,3,4,4,3,2,5,4,1,1,1,1,3,2,1,1,1,1
58,White,Technical/community college,Less than $10000,Male,4,4,4,4,2,3,2,4,3,3,3,3,1,3,4,2,2,1,1,5,2,6,5,2,6,4,6,3,2,1,2,2,3,1,6,6,2,2,California,1001 to 5000,2511,"Yes, widespread",3,5,5,3,5,6,5,5,3,6,2,6,2,5,3,6,3,4,4,1,2,5,4,2,4,2,1,3,2,1,2,3,3
50,White,Undergraduate degree (BA/BSc/other),$50000–$59999,Male,1,1,5,2,2,2,2,4,2,2,2,2,3,3,1,1,2,1,1,1,1,1,1,1,1,7,7,3,3,1,3,4,1,1,2,6,6,1,Massachusetts,1001 to 5000,1159,"Yes, widespread",4,2,6,2,2,5,2,6,2,5,3,5,3,2,6,2,6,5,5,1,1,5,5,1,1,1,1,3,3,1,4,4,3
56,Black,Technical/community college,$20000–$29999,Female,2,2,6,1,3,1,1,6,1,1,1,1,1,1,1,2,1,2,2,1,1,NA,7,1,1,7,7,5,1,1,5,5,1,3,5,5,4,1,Mississippi,101 to 500,377,"Yes, defined area(s)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3,3,1
50,White,Technical/community college,$20000–$29999,Male,4,2,5,2,2,3,3,4,3,3,3,3,2,3,3,2,1,1,2,5,3,5,3,5,3,5,6,2,2,1,2,2,2,1,3,5,6,2,Washington,1001 to 5000,2469,Yes (defined area or widespread),3,4,5,3,3,4,5,5,3,2,6,3,5,2,6,3,5,4,4,2,3,4,3,1,2,2,2,2,2,1,2,2,1
32,Mixed,Graduate degree (MA/MSc/MPhil/other),More than $150000,Male,5,4,3,5,5,5,3,5,5,6,6,6,7,6,3,2,1,2,2,1,1,7,5,1,2,6,6,2,1,1,3,2,1,2,2,7,4,3,New York,5001 or more,26358,Yes (defined area or widespread),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,3,3,1
66,White,Graduate degree (MA/MSc/MPhil/other),$100000–$149999,Male,6,6,4,3,4,3,4,3,2,4,3,4,5,5,2,2,2,1,1,6,5,7,4,1,7,1,1,3,2,1,3,2,1,1,5,7,4,3,Ohio,501 to 1000,564,Undetermined,4,3,5,2,4,4,3,4,5,4,3,5,3,5,3,5,4,3,5,1,3,4,5,2,3,3,2,4,2,1,3,3,1
29,White,High school diploma/A-levels,$50000–$59999,Female,2,3,4,2,2,3,1,5,2,1,2,2,2,2,1,2,2,2,2,2,1,6,5,3,2,6,6,3,1,1,1,3,1,2,2,6,2,1,Wisconsin,101 to 500,457,"Yes, defined area(s)",2,1,4,3,1,1,1,3,2,3,4,4,4,3,5,3,5,4,4,2,2,4,3,2,1,1,1,3,2,2,3,3,1
37,Asian,Undergraduate degree (BA/BSc/other),More than $150000,Female,5,4,5,2,2,2,2,5,1,1,2,2,3,2,2,2,2,1,1,5,5,3,3,6,6,3,5,2,2,1,1,1,1,1,5,5,2,1,California,1001 to 5000,2511,"Yes, widespread",3,2,3,3,2,2,2,4,2,4,4,4,4,4,4,4,4,2,2,1,4,2,2,1,1,1,1,1,1,1,1,1,1
56,White,High school diploma/A-levels,$20000–$29999,Female,7,6,3,4,4,4,3,4,3,5,5,6,5,5,3,2,2,1,1,6,2,6,5,6,6,3,3,2,1,1,2,1,1,1,6,4,2,5,California,1001 to 5000,2511,"Yes, widespread",5,3,5,2,3,3,3,2,5,2,6,2,6,2,6,2,6,4,4,2,2,4,4,5,5,6,5,2,1,1,3,1,1
47,White,Undergraduate degree (BA/BSc/other),$70000–$79999,Female,2,1,4,5,5,3,3,4,3,3,3,3,5,4,1,1,2,1,1,1,1,7,7,7,1,7,7,3,1,1,3,3,1,1,2,2,2,1,Florida,1001 to 5000,1373,"Yes, defined area(s)",4,1,7,4,7,7,1,7,3,3,5,3,5,3,5,3,5,3,5,1,3,5,3,1,3,5,5,1,1,1,1,1,1
41,White,Secondary education (e.g. GED/GCSE),Less than $10000,Female,5,4,6,2,1,1,1,6,1,2,2,1,3,5,3,1,2,2,1,2,1,7,7,3,2,7,7,2,3,1,1,1,1,3,6,5,6,1,Arkansas,101 to 500,230,"Yes, defined area(s)",5,3,3,2,1,2,2,6,1,2,6,2,6,2,6,2,6,2,2,2,2,4,2,1,5,5,3,4,2,1,3,1,1
49,White,Technical/community college,$16000–$19999,Male,5,4,3,3,4,4,4,3,4,3,6,2,4,4,2,2,2,1,2,3,1,4,6,5,5,6,7,1,1,1,1,1,1,1,5,2,1,3,Arizona,101 to 500,326,"Yes, widespread",4,3,4,2,4,5,2,1,3,3,5,3,4,3,5,3,5,2,2,4,4,1,1,5,3,3,1,1,1,1,1,1,1
38,White,Technical/community college,$100000–$149999,Female,4,4,6,4,2,3,2,5,1,3,2,2,3,3,2,1,2,1,1,2,1,2,6,2,1,6,6,3,3,1,1,2,2,2,2,6,3,2,Nevada,101 to 500,278,"Yes, defined area(s)",5,2,5,3,3,5,2,6,5,2,5,2,6,2,6,2,6,4,3,2,2,4,4,1,1,1,1,3,4,1,1,2,1
27,White,Graduate degree (MA/MSc/MPhil/other),$16000–$19999,Female,4,6,4,3,2,4,2,5,2,2,3,2,4,4,2,1,2,1,1,1,1,7,7,2,2,6,6,2,2,1,3,2,3,1,2,4,5,2,Florida,1001 to 5000,1373,"Yes, defined area(s)",6,1,6,4,6,6,1,6,4,2,6,2,6,1,7,1,7,4,5,1,1,5,3,1,1,1,1,1,1,1,1,1,1
35,White,High school diploma/A-levels,$50000–$59999,Female,8,7,5,5,4,1,5,3,3,1,4,1,1,1,1,2,1,2,2,4,1,7,7,7,7,1,1,5,5,1,5,5,1,1,7,7,1,1,Indiana,101 to 500,365,Undetermined,1,4,2,2,4,4,3,3,1,2,3,5,5,3,3,4,5,1,1,4,4,1,5,3,1,1,1,1,1,1,1,1,1
37,Black,Undergraduate degree (BA/BSc/other),$60000–$69999,Male,7,6,1,6,6,4,6,1,4,7,7,7,7,7,7,1,2,1,1,1,1,7,7,1,1,7,7,3,1,5,2,3,1,1,5,5,3,1,Florida,1001 to 5000,1373,"Yes, defined area(s)",1,1,1,1,5,3,1,1,1,1,7,1,7,1,7,1,7,5,5,1,1,5,5,1,7,7,7,NA,NA,NA,NA,NA,NA
31,White,Technical/community college,$30000–$39999,Female,2,2,5,2,2,3,2,5,3,4,4,3,5,3,3,2,2,2,1,1,1,7,7,2,1,6,7,3,3,1,3,3,3,2,3,3,4,1,Florida,1001 to 5000,1373,"Yes, defined area(s)",4,3,5,3,3,5,3,4,4,2,6,2,6,2,6,2,6,2,3,3,3,3,3,1,2,2,2,3,3,1,3,3,1
